left_pedal_smoothness,left_torque_effectiveness,power,right_pedal_smoothness,right_torque_effectiveness,timestamp,altitude,battery_soc,distance,enhanced_altitude,enhanced_speed,gps_accuracy,grade,position_lat,position_long,speed,cadence,temperature,left_right_balance,year,month,day,hour,wind_speed,wind_direction
31.5,99.0,0,23.0,97.0,2022-04-16 12:16:38,149.0,,0.0,149.0,0.0,1.0,0.0,52.1410004,-86.2554067,0.0,0.0,8.0,,2022,4,16,12,4.17,134.0
31.5,99.0,0,23.0,97.0,2022-04-16 12:16:39,149.0,,0.0,149.0,0.0,1.0,0.0,52.1410004,-86.2554067,0.0,0.0,8.0,,2022,4,16,12,4.17,134.0
31.5,99.0,0,23.0,97.0,2022-04-16 12:16:40,149.20000000000005,,0.76,149.20000000000005,0.574,2.0,0.0,52.1410038,-86.2553964,0.574,0.0,8.0,,2022,4,16,12,4.17,134.0
31.5,99.0,0,23.0,97.0,2022-04-16 12:16:41,149.20000000000005,,11.91,149.20000000000005,8.454,2.0,0.0,52.1410532,-86.2552462,8.454,0.0,8.0,,2022,4,16,12,4.17,134.0
31.0,98.5,24,23.5,97.0,2022-04-16 12:16:42,149.20000000000005,,13.76,149.20000000000005,3.49,2.0,0.0,52.1410679,-86.2552279,3.49,6.0,8.0,,2022,4,16,12,4.17,134.0
31.0,98.5,52,23.5,97.0,2022-04-16 12:16:43,149.20000000000005,,16.49,149.20000000000005,2.941,2.0,0.0,52.1410922,-86.2552055,2.941,12.0,8.0,,2022,4,16,12,4.17,134.0
30.5,98.0,81,24.0,96.5,2022-04-16 12:16:44,149.39999999999998,,20.21,149.39999999999998,3.51,2.0,0.57,52.1411247,-86.2551734,3.51,19.0,8.0,,2022,4,16,12,4.17,134.0
30.0,98.0,109,24.5,96.5,2022-04-16 12:16:45,149.60000000000002,,24.87,149.60000000000002,4.368,2.0,1.71,52.1411672,-86.2551369,4.368,25.0,8.0,,2022,4,16,12,4.17,134.0
29.5,97.5,138,25.0,96.5,2022-04-16 12:16:46,149.79999999999995,,30.18,149.79999999999995,5.096,2.0,2.24,52.1412154,-86.255095,5.096,32.0,8.0,,2022,4,16,12,4.17,134.0
29.5,97.0,166,25.0,96.5,2022-04-16 12:16:47,150.20000000000005,,35.99,150.20000000000005,5.631,2.0,2.42,52.1412686,-86.2550503,5.631,38.0,8.0,,2022,4,16,12,4.17,134.0
29.0,97.0,194,25.5,96.5,2022-04-16 12:16:48,150.39999999999998,,41.54,150.39999999999998,5.598,2.0,3.15,52.1413142,-86.2549974,5.598,45.0,8.0,,2022,4,16,12,4.17,134.0
28.5,96.5,223,26.0,96.0,2022-04-16 12:16:49,150.79999999999995,,47.49,150.79999999999995,5.854,2.0,4.26,52.1413657,-86.2549452,5.854,51.0,8.0,,2022,4,16,12,4.17,134.0
28.0,96.5,251,26.5,96.0,2022-04-16 12:16:50,151.0,,52.86,151.0,5.645,3.0,5.09,52.1414089,-86.2548926,5.645,58.0,8.0,,2022,4,16,12,4.17,134.0
28.0,96.0,279,26.5,96.0,2022-04-16 12:16:51,151.39999999999998,,59.12,151.39999999999998,5.934,3.0,5.6,52.1414608,-86.2548337,5.934,64.0,8.0,,2022,4,16,12,4.17,134.0
27.5,95.5,308,27.0,96.0,2022-04-16 12:16:52,151.60000000000002,,66.05,151.60000000000002,6.627,3.0,5.86,52.1415236,-86.2547792,6.627,71.0,8.0,,2022,4,16,12,4.17,134.0
27.0,95.5,336,27.5,96.0,2022-04-16 12:16:53,152.0,,71.91,152.0,6.066,3.0,5.85,52.141571,-86.2547219,6.066,77.0,8.0,,2022,4,16,12,4.17,134.0
26.5,95.0,365,28.0,95.5,2022-04-16 12:16:54,152.39999999999998,,77.62,152.39999999999998,5.783,3.0,5.75,52.1416172,-86.2546664,5.783,84.0,8.0,,2022,4,16,12,4.17,134.0
26.5,95.0,393,28.0,95.5,2022-04-16 12:16:55,152.79999999999995,,83.15,152.79999999999995,5.592,3.0,5.79,52.1416644,-86.2546169,5.592,90.0,8.0,47.0,2022,4,16,12,4.17,134.0
26.5,94.5,417,28.5,95.5,2022-04-16 12:16:56,153.20000000000005,,88.32,153.20000000000005,5.327,3.0,6.18,52.1417072,-86.2545682,5.327,97.0,8.0,48.0,2022,4,16,12,4.17,134.0
29.0,96.5,404,27.0,95.0,2022-04-16 12:16:57,153.60000000000002,,93.5,153.60000000000002,5.21,3.0,6.37,52.14175,-86.2545191,5.21,104.0,8.0,49.0,2022,4,16,12,4.17,134.0
30.0,97.5,419,26.5,94.5,2022-04-16 12:16:58,154.0,,99.38,154.0,5.718,3.0,6.21,52.1417975,-86.254462,5.718,105.0,8.0,47.0,2022,4,16,12,4.17,134.0
30.5,97.5,437,28.5,95.5,2022-04-16 12:16:59,154.39999999999998,,105.61,154.39999999999998,6.104,3.0,6.43,52.1418495,-86.2544039,6.104,104.0,8.0,47.0,2022,4,16,12,4.17,134.0
30.5,97.0,363,31.5,97.5,2022-04-16 12:17:00,155.0,,111.9,155.0,6.233,3.0,6.78,52.1419013,-86.2543441,6.233,103.0,8.0,49.0,2022,4,16,12,4.17,134.0
28.0,91.0,391,31.5,98.0,2022-04-16 12:17:01,155.39999999999998,,118.2,155.39999999999998,6.255,3.0,6.76,52.1419531,-86.2542842,6.255,103.0,8.0,46.0,2022,4,16,12,4.17,134.0
29.0,93.0,404,30.5,97.5,2022-04-16 12:17:02,155.79999999999995,,124.62,155.79999999999995,6.353,3.0,6.94,52.1420048,-86.2542214,6.353,102.0,8.0,47.0,2022,4,16,12,4.17,134.0
29.5,96.0,412,29.5,97.0,2022-04-16 12:17:03,156.20000000000005,,131.23,156.20000000000005,6.594,3.0,7.46,52.1420538,-86.2541506,6.594,102.0,8.0,48.0,2022,4,16,12,4.17,134.0
30.5,98.0,416,28.5,96.5,2022-04-16 12:17:04,156.60000000000002,,137.25,156.60000000000002,6.171,3.0,7.54,52.1420975,-86.254085,6.171,102.0,8.0,49.0,2022,4,16,12,4.17,134.0
30.5,98.0,396,28.5,96.5,2022-04-16 12:17:05,157.0,,143.4,157.0,6.147,3.0,7.25,52.1421415,-86.2540169,6.147,102.0,8.0,46.0,2022,4,16,12,4.17,134.0
29.5,97.5,413,29.5,97.5,2022-04-16 12:17:06,157.39999999999998,,149.56,157.39999999999998,6.156,3.0,7.09,52.1421852,-86.2539486,6.156,102.0,8.0,46.0,2022,4,16,12,4.17,134.0
29.5,97.5,469,29.5,97.5,2022-04-16 12:17:07,157.79999999999995,,156.55,157.79999999999995,6.876,3.0,7.01,52.1422317,-86.2538673,6.876,101.0,8.0,46.0,2022,4,16,12,4.17,134.0
29.5,97.5,458,29.5,97.5,2022-04-16 12:17:08,158.20000000000005,,163.98,158.20000000000005,7.197,3.0,7.03,52.1422802,-86.25378,7.197,103.0,8.0,46.0,2022,4,16,12,4.17,134.0
29.0,97.5,476,29.5,97.0,2022-04-16 12:17:09,158.79999999999995,,170.33,158.79999999999995,6.561,3.0,6.75,52.1423205,-86.2537042,6.561,104.0,8.0,47.0,2022,4,16,12,4.17,134.0
28.5,97.0,468,29.0,96.0,2022-04-16 12:17:10,159.20000000000005,,177.33,159.20000000000005,6.894,3.0,6.07,52.142367,-86.253623,6.894,104.0,8.0,48.0,2022,4,16,12,4.17,134.0
28.0,97.0,461,28.5,95.0,2022-04-16 12:17:11,159.60000000000002,,183.24,159.60000000000002,6.154,3.0,5.72,52.142398,-86.2535467,6.154,104.0,8.0,49.0,2022,4,16,12,4.17,134.0
28.0,97.0,454,28.0,94.5,2022-04-16 12:17:12,160.0,,189.3,160.0,6.041,3.0,5.63,52.1424199,-86.2534623,6.041,104.0,8.0,50.0,2022,4,16,12,4.17,134.0
27.5,96.5,447,27.5,93.5,2022-04-16 12:17:13,160.39999999999998,,195.42,160.39999999999998,6.174,3.0,5.5,52.1424393,-86.2533757,6.174,104.0,8.0,51.0,2022,4,16,12,4.17,134.0
27.0,96.5,450,27.5,93.0,2022-04-16 12:17:14,160.79999999999995,,201.83,160.79999999999995,6.325,3.0,5.93,52.1424569,-86.253284,6.325,104.0,8.0,52.0,2022,4,16,12,4.17,134.0
27.0,96.5,461,27.5,93.0,2022-04-16 12:17:15,161.20000000000005,,207.86,161.20000000000005,6.1,3.0,6.82,52.1424688,-86.2531962,6.1,104.0,8.0,52.0,2022,4,16,12,4.17,134.0
27.0,96.5,455,27.5,93.0,2022-04-16 12:17:16,161.60000000000002,,214.02,161.60000000000002,6.137,3.0,7.25,52.142481,-86.2531067,6.137,104.0,8.0,52.0,2022,4,16,12,4.17,134.0
27.0,96.5,398,27.5,93.0,2022-04-16 12:17:17,162.0,,220.12,162.0,6.112,3.0,7.27,52.1424964,-86.2530191,6.112,105.0,8.0,52.0,2022,4,16,12,4.17,134.0
26.5,96.0,391,27.5,94.0,2022-04-16 12:17:18,162.39999999999998,,226.66,162.39999999999998,6.44,3.0,7.24,52.142528,-86.2529328,6.44,106.0,8.0,51.0,2022,4,16,12,4.17,134.0
26.0,95.0,390,27.5,95.5,2022-04-16 12:17:19,162.79999999999995,,232.72,162.79999999999995,6.156,3.0,7.09,52.1425586,-86.2528538,6.156,106.0,8.0,49.0,2022,4,16,12,4.17,134.0
25.5,94.5,389,27.5,97.0,2022-04-16 12:17:20,163.20000000000005,,237.73,163.20000000000005,5.289,3.0,6.99,52.1425745,-86.252783,5.289,107.0,8.0,47.0,2022,4,16,12,4.17,134.0
25.5,94.5,365,27.5,97.0,2022-04-16 12:17:21,163.60000000000002,,242.22,163.60000000000002,4.697,3.0,6.79,52.1425921,-86.2527214,4.697,106.0,8.0,47.0,2022,4,16,12,4.17,134.0
27.5,96.5,350,28.0,92.5,2022-04-16 12:17:22,164.0,,247.87,164.0,5.38,3.0,6.43,52.1426312,-86.2526576,5.38,104.0,8.0,47.0,2022,4,16,12,4.17,134.0
27.0,92.0,357,30.5,94.0,2022-04-16 12:17:23,164.39999999999998,,254.32,164.39999999999998,6.225,3.0,6.41,52.1426831,-86.2525946,6.225,103.0,8.0,44.0,2022,4,16,12,4.17,134.0
26.5,90.5,380,31.5,94.5,2022-04-16 12:17:24,164.60000000000002,,260.91,164.60000000000002,6.502,3.0,6.35,52.1427268,-86.252518,6.502,104.0,8.0,43.0,2022,4,16,12,4.17,134.0
26.0,93.5,381,29.5,90.5,2022-04-16 12:17:25,165.0,,268.06,165.0,6.989,3.0,5.94,52.1427837,-86.252447,6.989,104.0,8.0,49.0,2022,4,16,12,4.17,134.0
24.5,93.5,357,29.5,94.5,2022-04-16 12:17:26,165.39999999999998,,274.22,165.39999999999998,6.349,3.0,5.89,52.1428312,-86.2523835,6.349,104.0,8.0,50.0,2022,4,16,12,4.17,134.0
24.5,93.5,370,29.5,94.5,2022-04-16 12:17:27,165.79999999999995,,279.65,165.79999999999995,5.68,3.0,6.12,52.1428724,-86.2523267,5.68,104.0,8.0,47.0,2022,4,16,12,4.17,134.0
24.5,93.5,364,29.5,94.5,2022-04-16 12:17:28,166.0,,284.66,166.0,5.163,3.0,6.01,52.1429101,-86.2522738,5.163,104.0,8.0,48.0,2022,4,16,12,4.17,134.0
24.5,93.5,394,29.5,94.5,2022-04-16 12:17:29,166.39999999999998,,290.25,166.39999999999998,5.483,3.0,5.99,52.1429461,-86.2522075,5.483,103.0,8.0,49.0,2022,4,16,12,4.17,134.0
28.0,95.0,354,29.0,97.5,2022-04-16 12:17:30,166.79999999999995,,296.17,166.79999999999995,5.81,3.0,6.35,52.1429841,-86.2521375,5.81,104.0,8.0,46.0,2022,4,16,12,4.17,134.0
26.0,90.0,335,29.0,97.5,2022-04-16 12:17:31,167.20000000000005,,302.17,167.20000000000005,5.92,3.0,6.66,52.1430301,-86.2520755,5.92,105.0,8.0,45.0,2022,4,16,12,4.17,134.0
23.5,86.0,334,28.0,95.5,2022-04-16 12:17:32,167.60000000000002,,308.3,167.60000000000002,6.063,3.0,6.82,52.1430695,-86.2520027,6.063,106.0,8.0,47.0,2022,4,16,12,4.17,134.0
22.5,86.5,370,27.0,91.0,2022-04-16 12:17:33,167.79999999999995,,314.13,167.79999999999995,5.946,3.0,6.47,52.1431073,-86.2519339,5.946,105.0,8.0,50.0,2022,4,16,12,4.17,134.0
24.0,89.0,409,28.5,88.0,2022-04-16 12:17:34,168.20000000000005,,319.63,168.20000000000005,5.736,3.0,5.62,52.1431457,-86.2518722,5.736,104.0,8.0,51.0,2022,4,16,12,4.17,134.0
24.0,89.0,413,28.5,88.0,2022-04-16 12:17:35,168.60000000000002,,325.4,168.60000000000002,5.656,3.0,5.13,52.143184,-86.2518051,5.656,105.0,8.0,51.0,2022,4,16,12,4.17,134.0
24.5,90.0,409,29.0,90.0,2022-04-16 12:17:36,169.0,,331.57,169.0,6.018,3.0,5.06,52.1432216,-86.25173,6.018,106.0,8.0,49.0,2022,4,16,12,4.17,134.0
25.5,91.0,396,29.5,92.5,2022-04-16 12:17:37,169.20000000000005,,337.46,169.20000000000005,5.917,3.0,5.05,52.1432489,-86.2516514,5.917,106.0,8.0,47.0,2022,4,16,12,4.17,134.0
26.0,92.0,383,30.0,95.0,2022-04-16 12:17:38,169.60000000000002,,343.86,169.60000000000002,6.295,3.0,5.49,52.143268,-86.2515604,6.295,107.0,8.0,45.0,2022,4,16,12,4.17,134.0
26.0,92.0,374,30.0,95.0,2022-04-16 12:17:39,170.0,,351.43,170.0,7.239,3.0,6.32,52.1432776,-86.2514493,7.239,107.0,8.0,46.0,2022,4,16,12,4.17,134.0
26.0,92.0,383,30.0,95.0,2022-04-16 12:17:40,170.39999999999998,,358.68,170.39999999999998,7.253,3.0,6.55,52.1432829,-86.2513422,7.253,107.0,8.0,49.0,2022,4,16,12,4.17,134.0
26.0,92.0,336,30.0,95.0,2022-04-16 12:17:41,170.60000000000002,,365.78,170.60000000000002,7.158,3.0,6.12,52.143281,-86.2512371,7.158,106.0,8.0,49.0,2022,4,16,12,4.17,134.0
26.0,92.0,359,30.0,95.0,2022-04-16 12:17:42,171.0,,372.97,171.0,7.145,3.0,5.76,52.1432784,-86.2511309,7.145,107.0,8.0,49.0,2022,4,16,12,4.17,134.0
26.0,92.0,371,30.0,95.0,2022-04-16 12:17:43,171.20000000000005,,380.68,171.20000000000005,7.559,3.0,5.52,52.1432687,-86.2510175,7.559,107.0,8.0,49.0,2022,4,16,12,4.17,134.0
26.0,91.5,368,29.5,94.5,2022-04-16 12:17:44,171.60000000000002,,387.96,171.60000000000002,7.353,3.0,5.2,52.1432622,-86.2509101,7.353,106.0,8.0,49.0,2022,4,16,12,4.17,134.0
26.0,90.0,356,28.0,93.0,2022-04-16 12:17:45,172.0,,395.14,172.0,7.221,3.0,4.76,52.1432503,-86.2508052,7.221,106.0,8.0,49.0,2022,4,16,12,4.17,134.0
26.0,89.0,344,26.5,91.5,2022-04-16 12:17:46,172.39999999999998,,402.0,172.39999999999998,6.964,3.0,4.26,52.1432385,-86.250705,6.964,106.0,8.0,50.0,2022,4,16,12,4.17,134.0
26.0,88.0,375,25.5,90.5,2022-04-16 12:17:47,172.60000000000002,,408.89,172.60000000000002,6.903,3.0,4.02,52.1432266,-86.2506043,6.903,105.0,8.0,50.0,2022,4,16,12,4.17,134.0
26.0,88.0,425,25.5,90.5,2022-04-16 12:17:48,173.0,,415.61,173.0,6.771,3.0,4.07,52.1432162,-86.2505059,6.771,104.0,8.0,50.0,2022,4,16,12,4.17,134.0
29.5,95.0,411,28.5,93.5,2022-04-16 12:17:49,173.39999999999998,,422.06,173.39999999999998,6.547,3.0,4.14,52.1432004,-86.250413,6.547,105.0,8.0,50.0,2022,4,16,12,4.17,134.0
31.0,97.5,408,29.5,94.5,2022-04-16 12:17:50,173.60000000000002,,428.38,173.60000000000002,6.363,3.0,4.44,52.1431836,-86.2503223,6.363,106.0,8.0,50.0,2022,4,16,12,4.17,134.0
31.0,97.5,389,29.5,94.5,2022-04-16 12:17:51,174.0,,435.5,174.0,6.928,3.0,5.11,52.1431579,-86.250223,6.928,106.0,8.0,50.0,2022,4,16,12,4.17,134.0
31.0,97.5,419,29.5,94.5,2022-04-16 12:17:52,174.39999999999998,,442.52,174.39999999999998,6.939,3.0,5.65,52.1431336,-86.2501248,6.939,106.0,8.0,50.0,2022,4,16,12,4.17,134.0
31.0,97.5,393,29.5,94.5,2022-04-16 12:17:53,174.79999999999995,,449.36,174.79999999999995,6.907,3.0,5.87,52.1431079,-86.2500299,6.907,106.0,8.0,50.0,2022,4,16,12,4.17,134.0
31.0,97.5,417,29.5,94.5,2022-04-16 12:17:54,175.20000000000005,,456.21,175.20000000000005,6.88,3.0,6.06,52.1430822,-86.2499348,6.88,105.0,8.0,47.0,2022,4,16,12,4.17,134.0
31.0,97.5,431,29.5,94.5,2022-04-16 12:17:55,175.79999999999995,,463.08,175.79999999999995,6.896,3.0,6.29,52.1430565,-86.2498396,6.896,104.0,8.0,48.0,2022,4,16,12,4.17,134.0
31.0,97.5,436,29.5,94.5,2022-04-16 12:17:56,176.20000000000005,,470.47,176.20000000000005,7.243,3.0,6.56,52.1430305,-86.2497362,7.243,103.0,8.0,49.0,2022,4,16,12,4.17,134.0
31.0,97.5,424,29.5,94.5,2022-04-16 12:17:57,176.60000000000002,,477.23,176.60000000000002,6.884,3.0,6.74,52.1430051,-86.2496424,6.884,103.0,8.0,49.0,2022,4,16,12,4.17,134.0
28.5,95.5,429,29.0,95.0,2022-04-16 12:17:58,177.0,,484.09,177.0,6.853,3.0,6.52,52.1429851,-86.2495448,6.853,103.0,8.0,49.0,2022,4,16,12,4.17,134.0
24.0,92.5,435,28.5,95.5,2022-04-16 12:17:59,177.60000000000002,,491.07,177.60000000000002,6.959,3.0,5.92,52.1429637,-86.2494458,6.959,103.0,8.0,48.0,2022,4,16,12,4.17,134.0
24.0,92.5,407,28.5,95.5,2022-04-16 12:18:00,178.0,,497.65,178.0,6.737,3.0,5.59,52.1429484,-86.2493507,6.737,102.0,8.0,47.0,2022,4,16,12,4.17,134.0
24.5,92.0,411,28.5,95.5,2022-04-16 12:18:01,178.39999999999998,,504.33,178.39999999999998,6.618,3.0,5.56,52.1429361,-86.2492533,6.618,101.0,8.0,47.0,2022,4,16,12,4.17,134.0
25.5,91.5,409,28.5,95.5,2022-04-16 12:18:02,178.79999999999995,,511.06,178.79999999999995,6.685,3.0,5.54,52.142922,-86.2491556,6.685,101.0,8.0,47.0,2022,4,16,12,4.17,134.0
24.5,93.0,401,28.0,96.5,2022-04-16 12:18:03,179.20000000000005,,517.65,179.20000000000005,6.651,3.0,5.91,52.1429057,-86.2490607,6.651,100.0,8.0,47.0,2022,4,16,12,4.17,134.0
25.0,92.0,313,29.5,97.0,2022-04-16 12:18:04,179.60000000000002,,524.13,179.60000000000002,6.631,3.0,6.62,52.1428843,-86.2489694,6.631,101.0,8.0,49.0,2022,4,16,12,4.17,134.0
23.0,86.5,289,30.5,95.0,2022-04-16 12:18:05,180.0,,531.36,180.0,6.955,3.0,6.83,52.1428594,-86.248868,6.955,101.0,8.0,49.0,2022,4,16,12,4.17,134.0
22.5,85.0,308,30.5,94.5,2022-04-16 12:18:06,180.20000000000005,,538.84,180.20000000000005,7.346,2.0,6.34,52.1428337,-86.2487632,7.346,101.0,8.0,49.0,2022,4,16,12,4.17,134.0
22.5,85.0,302,30.5,94.5,2022-04-16 12:18:07,180.39999999999998,,546.34,180.39999999999998,7.447,2.0,5.67,52.1428076,-86.2486582,7.447,104.0,8.0,49.0,2022,4,16,12,4.17,134.0
23.0,83.5,366,30.0,89.5,2022-04-16 12:18:08,180.79999999999995,,553.36,180.79999999999995,7.125,2.0,5.14,52.1427801,-86.2485615,7.125,106.0,8.0,49.0,2022,4,16,12,4.17,134.0
26.5,92.0,419,27.0,87.5,2022-04-16 12:18:09,181.20000000000005,,559.77,181.20000000000005,6.6,2.0,4.99,52.142756,-86.2484725,6.6,105.0,8.0,49.0,2022,4,16,12,4.17,134.0
29.5,97.0,465,29.5,91.5,2022-04-16 12:18:10,181.79999999999995,,566.02,181.79999999999995,6.341,2.0,4.96,52.1427282,-86.2483883,6.341,103.0,8.0,50.0,2022,4,16,12,4.17,134.0
30.5,98.5,511,31.0,96.0,2022-04-16 12:18:11,182.20000000000005,,571.9,182.20000000000005,6.0,2.0,4.85,52.1426976,-86.2483123,6.0,99.0,8.0,50.0,2022,4,16,12,4.17,134.0
30.0,99.0,501,32.0,99.5,2022-04-16 12:18:12,182.79999999999995,,578.05,182.79999999999995,6.064,2.0,5.25,52.1426589,-86.2482387,6.064,97.0,8.0,49.0,2022,4,16,12,4.17,134.0
30.0,98.5,496,32.5,100.0,2022-04-16 12:18:13,183.20000000000005,,584.66,183.20000000000005,6.512,2.0,6.06,52.1426106,-86.2481668,6.512,96.0,8.0,49.0,2022,4,16,12,4.17,134.0
30.0,98.5,493,32.5,100.0,2022-04-16 12:18:14,183.60000000000002,,591.69,183.60000000000002,6.915,2.0,6.59,52.1425567,-86.2480942,6.915,95.0,8.0,49.0,2022,4,16,12,4.17,134.0
30.0,98.5,487,32.5,100.0,2022-04-16 12:18:15,184.20000000000005,,598.83,184.20000000000005,7.09,2.0,7.07,52.1424968,-86.2480282,7.09,95.0,8.0,49.0,2022,4,16,12,4.17,134.0
30.0,98.5,463,32.5,100.0,2022-04-16 12:18:16,184.60000000000002,,606.01,184.60000000000002,7.142,2.0,7.74,52.1424371,-86.247961,7.142,95.0,8.0,48.0,2022,4,16,12,4.17,134.0
29.0,97.0,439,32.0,100.0,2022-04-16 12:18:17,185.0,,613.04,185.0,7.075,2.0,7.85,52.1423771,-86.2478979,7.075,96.0,8.0,49.0,2022,4,16,12,4.17,134.0
27.0,94.5,425,31.5,99.5,2022-04-16 12:18:18,185.39999999999998,,618.98,185.39999999999998,6.292,2.0,7.29,52.1423327,-86.2478353,6.292,97.0,8.0,50.0,2022,4,16,12,4.17,134.0
24.5,91.5,410,30.5,99.5,2022-04-16 12:18:19,185.79999999999995,,625.56,185.79999999999995,6.429,2.0,6.79,52.1423033,-86.2477469,6.429,97.0,8.0,51.0,2022,4,16,12,4.17,134.0
24.5,91.5,369,30.5,99.5,2022-04-16 12:18:20,186.0,,632.78,186.0,7.009,2.0,6.51,52.1422862,-86.2476427,7.009,101.0,8.0,51.0,2022,4,16,12,4.17,134.0
26.0,90.5,375,30.5,97.5,2022-04-16 12:18:21,186.39999999999998,,640.18,186.39999999999998,7.325,2.0,6.08,52.142279,-86.2475336,7.325,104.0,8.0,51.0,2022,4,16,12,4.17,134.0
28.0,89.5,400,30.5,95.0,2022-04-16 12:18:22,186.39999999999998,,647.9,186.39999999999998,7.561,2.0,5.22,52.1422791,-86.2474193,7.561,106.0,8.0,51.0,2022,4,16,12,4.17,134.0
30.0,88.5,424,30.5,92.0,2022-04-16 12:18:23,186.60000000000002,,655.81,186.60000000000002,7.89,2.0,4.16,52.1422811,-86.2473023,7.89,109.0,8.0,51.0,2022,4,16,12,4.17,134.0
30.0,88.5,339,30.5,92.0,2022-04-16 12:18:24,186.79999999999995,,663.78,186.79999999999995,7.935,2.0,3.28,52.1422832,-86.2471845,7.935,107.0,8.0,51.0,2022,4,16,12,4.17,134.0
30.0,88.5,386,30.5,92.0,2022-04-16 12:18:25,187.0,,672.27,187.0,8.344,2.0,2.61,52.1422871,-86.2470588,8.344,107.0,8.0,51.0,2022,4,16,12,4.17,134.0
30.0,88.5,422,30.5,92.0,2022-04-16 12:18:26,187.39999999999998,,680.85,187.39999999999998,8.544,2.0,2.23,52.1422891,-86.2469319,8.544,98.0,8.0,51.0,2022,4,16,12,4.17,134.0
30.0,89.0,376,30.5,92.5,2022-04-16 12:18:27,187.60000000000002,,689.41,187.60000000000002,8.588,2.0,2.36,52.1422909,-86.2468052,8.588,99.0,8.0,51.0,2022,4,16,12,4.17,134.0
30.0,90.5,372,31.5,94.0,2022-04-16 12:18:28,187.79999999999995,,698.33,187.79999999999995,8.816,2.0,2.78,52.1422909,-86.2466732,8.816,100.0,8.0,49.0,2022,4,16,12,4.17,134.0
29.5,92.5,368,32.0,95.5,2022-04-16 12:18:29,188.20000000000005,,707.36,188.20000000000005,8.962,2.0,3.08,52.1422909,-86.2465395,8.962,100.0,8.0,48.0,2022,4,16,12,4.17,134.0
29.5,94.0,363,32.5,97.0,2022-04-16 12:18:30,188.20000000000005,,716.24,188.20000000000005,8.908,2.0,3.14,52.142291,-86.2464081,8.908,101.0,8.0,47.0,2022,4,16,12,4.17,134.0
29.5,95.5,349,33.0,98.0,2022-04-16 12:18:31,188.39999999999998,,725.02,188.39999999999998,8.943,2.0,2.97,52.1422932,-86.2462781,8.943,102.0,8.0,46.0,2022,4,16,12,4.17,134.0
29.5,95.5,303,33.0,98.0,2022-04-16 12:18:32,188.60000000000002,,734.32,188.60000000000002,9.01,2.0,2.76,52.1422988,-86.2461407,9.01,106.0,8.0,46.0,2022,4,16,12,4.17,134.0
28.5,92.5,278,32.5,96.5,2022-04-16 12:18:33,188.79999999999995,,743.68,188.79999999999995,9.335,2.0,2.63,52.1422988,-86.2460023,9.335,108.0,8.0,46.0,2022,4,16,12,4.17,134.0
24.5,79.5,273,30.5,90.5,2022-04-16 12:18:34,189.0,,753.09,189.0,9.38,2.0,2.4,52.1422984,-86.245863,9.38,108.0,8.0,46.0,2022,4,16,12,4.17,134.0
23.0,85.0,373,25.5,85.5,2022-04-16 12:18:35,189.20000000000005,,762.71,189.20000000000005,9.557,2.0,2.01,52.1422927,-86.2457208,9.557,100.0,8.0,46.0,2022,4,16,12,4.17,134.0
