cadence,calories,power,timestamp,battery_soc,left_pedal_smoothness,left_right_balance,left_torque_effectiveness,right_pedal_smoothness,right_torque_effectiveness,temperature,distance,enhanced_speed,gps_accuracy,position_lat,position_long,speed,altitude,enhanced_altitude,ascent,descent,grade,year,month,day,hour,wind_speed,wind_direction
63,20,368,2022-09-10 02:37:21,,21.0,54.0,88.5,22.5,91.5,19.0,118.76,4.484,3.0,50.5040988,-84.8224921,4.484,,,,,,2022,9,10,2,1.41,262.0
69,20,370,2022-09-10 02:37:22,,19.5,53.0,85.0,20.5,88.5,19.0,123.45,4.483,3.0,50.5041206,-84.822556,4.483,,,,,,2022,9,10,2,1.41,262.0
72,21,334,2022-09-10 02:37:23,,19.0,52.0,82.5,20.0,86.5,19.0,128.3,4.724,3.0,50.5041434,-84.822613,4.724,,,,,,2022,9,10,2,1.41,262.0
73,21,319,2022-09-10 02:37:24,,18.5,51.0,81.0,19.5,84.5,19.0,133.26,4.702,3.0,50.5041592,-84.8226816,4.702,,,,,,2022,9,10,2,1.41,262.0
74,21,316,2022-09-10 02:37:25,,18.5,49.0,79.5,19.5,82.5,19.0,138.65,4.875,3.0,50.50418,-84.8227548,4.875,,,,,,2022,9,10,2,1.41,262.0
76,22,311,2022-09-10 02:37:26,,18.5,48.0,78.0,19.0,80.5,19.0,143.88,5.159,3.0,50.5042023,-84.8228263,5.159,,,,,,2022,9,10,2,1.41,262.0
76,22,291,2022-09-10 02:37:27,,18.5,49.0,76.5,19.0,78.5,19.0,149.23,5.376,3.0,50.5042247,-84.8228979,5.376,,,,,,2022,9,10,2,1.41,262.0
74,22,265,2022-09-10 02:37:28,,18.0,50.0,75.0,18.5,76.5,19.0,155.03,5.659,3.0,50.5042445,-84.8229792,5.659,,,,,,2022,9,10,2,1.41,262.0
74,22,247,2022-09-10 02:37:29,,17.5,50.0,73.0,18.0,74.5,19.0,160.74,5.688,3.0,50.5042627,-84.8230543,5.688,,,,,,2022,9,10,2,1.41,262.0
73,23,219,2022-09-10 02:37:30,,17.0,50.0,70.0,17.0,71.5,19.0,166.51,5.728,3.0,50.5042845,-84.8231346,5.728,,,,,,2022,9,10,2,1.41,262.0
72,23,214,2022-09-10 02:37:31,,16.0,54.0,67.0,16.0,68.5,19.0,172.06,5.604,3.0,50.5043073,-84.8232096,5.604,,,,,,2022,9,10,2,1.41,262.0
72,23,208,2022-09-10 02:37:32,,15.5,48.0,64.0,15.0,65.5,19.0,177.42,5.408,3.0,50.5043301,-84.8232755,5.408,,,,,,2022,9,10,2,1.41,262.0
49,23,199,2022-09-10 02:37:33,,20.5,46.0,66.0,15.0,63.5,19.0,182.66,5.294,3.0,50.5043563,-84.823346,5.294,,,,,,2022,9,10,2,1.41,262.0
61,23,158,2022-09-10 02:37:34,,32.5,49.0,75.5,15.5,64.0,19.0,187.64,5.068,3.0,50.50438,-84.8234116,5.068,,,,,,2022,9,10,2,1.41,262.0
65,23,187,2022-09-10 02:37:35,,19.5,52.0,75.5,15.5,64.0,19.0,192.77,5.115,3.0,50.5044096,-84.8234753,5.115,,,,,,2022,9,10,2,1.41,262.0
65,24,227,2022-09-10 02:37:36,,17.5,51.0,75.5,18.0,71.5,19.0,197.99,5.278,3.0,50.5044374,-84.8235375,5.278,,,,,,2022,9,10,2,1.41,262.0
66,24,245,2022-09-10 02:37:37,,17.5,51.0,76.0,19.0,75.5,19.0,203.4,5.384,3.0,50.5044614,-84.823608,5.384,,,,,,2022,9,10,2,1.41,262.0
66,24,251,2022-09-10 02:37:38,,17.0,50.0,76.5,19.5,76.5,19.0,208.78,5.303,3.0,50.5044846,-84.8236824,5.303,,,,,,2022,9,10,2,1.41,262.0
67,24,256,2022-09-10 02:37:39,,17.0,49.0,77.0,19.5,77.0,19.0,213.69,5.006,3.0,50.5045038,-84.8237478,5.006,,,,,,2022,9,10,2,1.41,262.0
66,25,264,2022-09-10 02:37:40,,18.0,50.0,76.5,18.5,78.0,19.0,218.77,5.039,3.0,50.5045222,-84.8238191,5.039,,,,,,2022,9,10,2,1.41,262.0
66,25,259,2022-09-10 02:37:41,,18.5,51.0,77.0,17.5,76.5,19.0,223.73,4.965,3.0,50.5045405,-84.8238853,4.965,,,,,,2022,9,10,2,1.41,262.0
65,25,252,2022-09-10 02:37:42,,18.0,51.0,76.5,17.0,74.5,19.0,228.74,4.999,3.0,50.5045552,-84.8239561,4.999,,,,,,2022,9,10,2,1.41,262.0
64,25,251,2022-09-10 02:37:43,,17.5,51.0,75.0,17.0,74.0,19.0,233.78,5.053,3.0,50.5045722,-84.8240216,5.053,,,,,,2022,9,10,2,1.41,262.0
62,26,236,2022-09-10 02:37:44,,18.5,53.0,72.5,19.0,77.0,19.0,238.79,5.018,3.0,50.5045905,-84.8240925,5.018,,,,,,2022,9,10,2,1.41,262.0
61,26,233,2022-09-10 02:37:45,,19.0,56.0,78.0,19.0,77.0,19.0,243.63,4.891,3.0,50.5046087,-84.8241581,4.891,,,,,,2022,9,10,2,1.41,262.0
60,26,232,2022-09-10 02:37:46,,18.0,51.0,74.5,19.5,76.5,19.0,248.24,4.683,3.0,50.5046233,-84.8242214,4.683,,,,,,2022,9,10,2,1.41,262.0
52,26,208,2022-09-10 02:37:47,,16.0,45.0,66.5,18.5,74.5,19.0,252.47,4.333,3.0,50.5046404,-84.8242781,4.333,,,,,,2022,9,10,2,1.41,262.0
34,26,170,2022-09-10 02:37:48,,15.5,41.0,62.5,17.5,72.5,19.0,256.32,3.98,3.0,50.5046552,-84.8243261,3.98,,,,,,2022,9,10,2,1.41,262.0
16,26,132,2022-09-10 02:37:49,,16.5,37.0,65.5,17.5,72.0,19.0,259.78,3.59,3.0,50.5046723,-84.8243717,3.59,30.600000000000023,30.600000000000023,,,,2022,9,10,2,1.41,262.0
0,26,0,2022-09-10 02:37:50,,18.0,33.0,69.0,17.5,71.5,19.0,262.84,3.183,3.0,50.5046802,-84.8244174,3.183,30.600000000000023,30.600000000000023,0.0,0.0,0.0,2022,9,10,2,1.41,262.0
0,26,0,2022-09-10 02:37:51,,19.0,29.0,72.5,17.5,70.5,19.0,264.61,2.132,3.0,50.5046847,-84.824442,2.132,30.600000000000023,30.600000000000023,0.0,0.0,0.0,2022,9,10,2,1.41,262.0
0,26,0,2022-09-10 02:37:52,,20.0,25.0,75.5,17.5,70.0,19.0,266.22,1.734,3.0,50.5046823,-84.8244671,1.734,30.799999999999955,30.799999999999955,0.0,0.0,0.0,2022,9,10,2,1.41,262.0
49,26,8,2022-09-10 02:37:53,,21.5,20.0,79.0,17.0,69.5,19.0,268.46,2.118,3.0,50.5046708,-84.8244944,2.118,30.799999999999955,30.799999999999955,0.0,0.0,0.0,2022,9,10,2,1.41,262.0
49,26,20,2022-09-10 02:37:54,,22.5,16.0,82.5,17.0,68.5,19.0,272.17,3.308,3.0,50.5046433,-84.8245356,3.308,30.799999999999955,30.799999999999955,0.0,0.0,0.0,2022,9,10,2,1.41,262.0
40,27,33,2022-09-10 02:37:55,,23.5,12.0,85.5,17.0,68.0,19.0,275.94,3.662,3.0,50.5046115,-84.8245672,3.662,30.799999999999955,30.799999999999955,0.0,0.0,0.0,2022,9,10,2,1.41,262.0
39,27,171,2022-09-10 02:37:56,,25.0,37.0,89.0,17.0,67.5,19.0,280.24,4.131,3.0,50.5045761,-84.8246015,4.131,30.799999999999955,30.799999999999955,0.0,0.0,0.0,2022,9,10,2,1.41,262.0
49,27,201,2022-09-10 02:37:57,,24.0,47.0,88.0,20.0,72.0,19.0,284.41,4.171,3.0,50.5045364,-84.8246309,4.171,30.799999999999955,30.799999999999955,0.0,0.0,0.47,2022,9,10,2,1.41,262.0
54,27,235,2022-09-10 02:37:58,,21.5,50.0,82.5,26.0,83.0,19.0,288.73,4.294,3.0,50.5044955,-84.8246581,4.294,30.799999999999955,30.799999999999955,0.0,0.0,0.56,2022,9,10,2,1.41,262.0
56,28,253,2022-09-10 02:37:59,,24.0,54.0,88.0,26.0,83.0,19.0,293.2,4.492,3.0,50.5044553,-84.8246916,4.492,31.0,31.0,0.0,0.0,0.71,2022,9,10,2,1.41,262.0
57,28,312,2022-09-10 02:38:00,,22.5,52.0,87.0,25.0,87.5,19.0,297.79,4.492,3.0,50.5044101,-84.8247219,4.492,31.200000000000045,31.200000000000045,0.0,0.0,0.96,2022,9,10,2,1.41,262.0
60,28,310,2022-09-10 02:38:01,,21.5,51.0,84.5,23.0,87.5,19.0,302.76,4.833,3.0,50.5043642,-84.8247563,4.833,31.200000000000045,31.200000000000045,0.0,0.0,1.23,2022,9,10,2,1.41,262.0
62,29,301,2022-09-10 02:38:02,,20.5,50.0,81.0,21.0,85.0,19.0,307.84,5.088,3.0,50.5043165,-84.8247918,5.088,31.399999999999977,31.399999999999977,0.0,0.0,1.57,2022,9,10,2,1.41,262.0
63,29,287,2022-09-10 02:38:03,,19.0,50.0,78.0,19.0,83.0,19.0,312.94,5.054,3.0,50.5042658,-84.8248219,5.054,31.600000000000023,31.600000000000023,1.0,0.0,1.81,2022,9,10,2,1.41,262.0
63,29,249,2022-09-10 02:38:04,,17.0,50.0,76.5,19.0,81.0,19.0,318.28,5.245,3.0,50.5042119,-84.8248494,5.245,31.799999999999955,31.799999999999955,1.0,0.0,2.09,2022,9,10,2,1.41,262.0
63,29,230,2022-09-10 02:38:05,,17.0,48.0,72.0,19.0,81.0,19.0,323.55,5.271,3.0,50.5041608,-84.8248836,5.271,32.0,32.0,1.0,0.0,2.33,2022,9,10,2,1.41,262.0
63,29,217,2022-09-10 02:38:06,,16.5,49.0,70.5,17.5,76.5,19.0,328.68,5.258,3.0,50.5041122,-84.8249189,5.258,32.0,32.0,1.0,0.0,2.49,2022,9,10,2,1.41,262.0
63,30,213,2022-09-10 02:38:07,,17.0,52.0,71.0,17.0,71.5,19.0,334.33,5.466,3.0,50.5040575,-84.8249562,5.466,32.200000000000045,32.200000000000045,1.0,0.0,2.59,2022,9,10,2,1.41,262.0
61,30,211,2022-09-10 02:38:08,,20.0,52.0,73.0,17.5,69.0,19.0,339.24,5.025,3.0,50.5040127,-84.824986,5.025,32.39999999999998,32.39999999999998,1.0,0.0,2.69,2022,9,10,2,1.41,262.0
50,30,174,2022-09-10 02:38:09,,18.0,47.0,67.0,17.5,69.0,19.0,343.73,4.631,3.0,50.5039719,-84.8250271,4.631,32.60000000000002,32.60000000000002,1.0,0.0,2.82,2022,9,10,2,1.41,262.0
34,30,131,2022-09-10 02:38:10,,,,,,,19.0,347.71,4.143,3.0,50.5039379,-84.8250588,4.143,32.799999999999955,32.799999999999955,2.0,0.0,3.01,2022,9,10,2,1.41,262.0
18,30,88,2022-09-10 02:38:11,,,,,,,19.0,351.04,3.526,3.0,50.503906,-84.8250791,3.526,33.0,33.0,2.0,0.0,3.21,2022,9,10,2,1.41,262.0
2,30,0,2022-09-10 02:38:12,,,,,,,19.0,354.22,3.268,3.0,50.503881,-84.8251114,3.268,33.200000000000045,33.200000000000045,2.0,0.0,3.46,2022,9,10,2,1.41,262.0
0,30,0,2022-09-10 02:38:13,,,,,,,19.0,356.55,2.578,3.0,50.5038653,-84.8251337,2.578,33.39999999999998,33.39999999999998,2.0,0.0,3.63,2022,9,10,2,1.41,262.0
0,30,0,2022-09-10 02:38:14,,,,,,,19.0,357.05,0.559,3.0,50.5038516,-84.825152,0.559,33.60000000000002,33.60000000000002,3.0,0.0,3.85,2022,9,10,2,1.41,262.0
0,30,0,2022-09-10 02:38:15,,,,,,,19.0,357.05,0.0,3.0,50.5038449,-84.8251563,0.0,33.799999999999955,33.799999999999955,3.0,0.0,3.98,2022,9,10,2,1.41,262.0
0,30,0,2022-09-10 02:38:16,,,,,,,19.0,357.05,0.0,3.0,50.5038405,-84.8251695,0.0,33.799999999999955,33.799999999999955,3.0,0.0,0.16,2022,9,10,2,1.41,262.0
0,30,0,2022-09-10 02:38:17,,,,,,,19.0,357.05,0.0,3.0,50.5038393,-84.8251745,0.0,34.0,34.0,3.0,0.0,0.0,2022,9,10,2,1.41,262.0
0,30,0,2022-09-10 02:38:18,,,,,,,19.0,357.05,0.0,3.0,50.5038393,-84.8251745,0.0,34.0,34.0,3.0,0.0,0.0,2022,9,10,2,1.41,262.0
0,30,0,2022-09-10 02:38:19,,,,,,,19.0,357.05,0.0,2.0,50.5038393,-84.8251745,0.0,34.0,34.0,3.0,0.0,0.0,2022,9,10,2,1.41,262.0
