distance,enhanced_speed,gps_accuracy,position_lat,position_long,speed,timestamp,battery_soc,cadence,calories,left_pedal_smoothness,left_torque_effectiveness,power,right_pedal_smoothness,right_torque_effectiveness,temperature,left_right_balance,altitude,enhanced_altitude,ascent,descent,grade,year,month,day,hour,wind_speed,wind_direction
221.28,8.781,3,50.5297599,-84.8147034,8.781,2023-05-26 21:50:53,,89.0,6.0,26.0,93.0,284.0,23.5,88.0,17.0,54.0,,,,,,2023,5,26,21,4.47,236.0
229.97,8.898,3,50.5296697,-84.8146581,8.898,2023-05-26 21:50:54,,89.0,6.0,26.0,95.0,289.0,24.5,90.0,17.0,54.0,,,,,,2023,5,26,21,4.47,236.0
238.55,9.007,3,50.5295842,-84.8146133,9.007,2023-05-26 21:50:55,,90.0,6.0,26.0,96.5,292.0,25.0,92.5,17.0,55.0,,,,,,2023,5,26,21,4.47,236.0
247.75,9.006,3,50.5294925,-84.8145674,9.006,2023-05-26 21:50:56,,91.0,6.0,27.5,98.0,295.0,25.5,94.0,17.0,53.0,,,,,,2023,5,26,21,4.47,236.0
256.83,8.986,3,50.5294015,-84.8145218,8.986,2023-05-26 21:50:57,,91.0,7.0,30.0,98.5,298.0,26.0,95.0,17.0,52.0,,,,,,2023,5,26,21,4.47,236.0
265.62,8.984,2,50.529314,-84.8144766,8.984,2023-05-26 21:50:58,,91.0,7.0,33.0,99.5,297.0,26.5,96.0,17.0,52.0,,,,,,2023,5,26,21,4.47,236.0
274.65,9.096,2,50.5292228,-84.8144387,9.096,2023-05-26 21:50:59,,91.0,7.0,29.0,94.5,280.0,28.0,98.0,17.0,52.0,,,,,,2023,5,26,21,4.47,236.0
283.4,9.082,2,50.5291331,-84.8143853,9.082,2023-05-26 21:51:00,,91.0,8.0,27.5,92.5,281.0,27.0,94.0,17.0,53.0,,,,,,2023,5,26,21,4.47,236.0
292.53,9.083,2,50.5290453,-84.8143385,9.083,2023-05-26 21:51:01,,92.0,8.0,28.5,94.5,300.0,24.5,87.0,17.0,53.0,,,,,,2023,5,26,21,4.47,236.0
301.71,9.165,2,50.5289537,-84.8142843,9.165,2023-05-26 21:51:02,,92.0,8.0,27.5,97.5,308.0,25.0,91.5,17.0,54.0,,,,,,2023,5,26,21,4.47,236.0
310.6,9.183,2,50.5288633,-84.8142387,9.183,2023-05-26 21:51:03,,93.0,9.0,28.0,96.5,310.0,25.5,91.5,17.0,53.0,,,,,,2023,5,26,21,4.47,236.0
319.97,9.28,2,50.5287683,-84.8141855,9.28,2023-05-26 21:51:04,,93.0,9.0,28.5,95.5,310.0,26.0,91.5,17.0,54.0,,,,,,2023,5,26,21,4.47,236.0
329.22,9.233,2,50.5286765,-84.8141482,9.233,2023-05-26 21:51:05,,94.0,9.0,29.5,96.5,312.0,26.0,91.5,17.0,55.0,,,,,,2023,5,26,21,4.47,236.0
338.32,9.066,2,50.5285815,-84.8141035,9.066,2023-05-26 21:51:06,,94.0,9.0,29.5,96.5,309.0,25.5,92.5,17.0,54.0,,,,,,2023,5,26,21,4.47,236.0
347.18,9.203,2,50.5284929,-84.8140677,9.203,2023-05-26 21:51:07,,93.0,10.0,27.5,85.5,301.0,27.0,96.0,17.0,52.0,,,,,,2023,5,26,21,4.47,236.0
356.6,9.091,2,50.528395,-84.8140216,9.091,2023-05-26 21:51:08,,92.0,10.0,26.5,87.0,262.0,25.0,89.5,17.0,52.0,,,,,,2023,5,26,21,4.47,236.0
365.64,9.069,2,50.5283041,-84.8139844,9.069,2023-05-26 21:51:09,,92.0,10.0,26.5,88.0,259.0,24.0,86.5,17.0,52.0,,,,,,2023,5,26,21,4.47,236.0
374.5,9.068,2,50.5282173,-84.8139389,9.068,2023-05-26 21:51:10,,92.0,11.0,25.0,82.5,255.0,24.5,87.5,17.0,51.0,,,,,,2023,5,26,21,4.47,236.0
383.37,8.976,2,50.5281266,-84.8138937,8.976,2023-05-26 21:51:11,,93.0,11.0,21.5,73.5,245.0,24.5,89.5,17.0,50.0,,,,,,2023,5,26,21,4.47,236.0
392.7,9.183,2,50.5280302,-84.8138476,9.183,2023-05-26 21:51:12,,93.0,11.0,19.5,68.5,203.0,23.5,82.5,17.0,50.0,,,,,,2023,5,26,21,4.47,236.0
401.71,9.16,2,50.5279409,-84.8138031,9.16,2023-05-26 21:51:13,,93.0,11.0,20.5,67.5,155.0,20.5,74.0,17.0,52.0,,,,,,2023,5,26,21,4.47,236.0
410.79,9.36,2,50.5278467,-84.8137587,9.36,2023-05-26 21:51:14,,94.0,11.0,19.5,63.5,140.0,19.5,68.0,17.0,52.0,,,,,,2023,5,26,21,4.47,236.0
420.47,9.369,2,50.5277485,-84.8137198,9.369,2023-05-26 21:51:15,,90.0,11.0,18.5,61.5,131.0,19.0,64.0,17.0,54.0,,,,,,2023,5,26,21,4.47,236.0
429.77,9.223,2,50.5276577,-84.8136661,9.223,2023-05-26 21:51:16,,73.0,11.0,18.5,63.0,123.0,18.0,61.0,17.0,53.0,,,,,,2023,5,26,21,4.47,236.0
439.22,9.517,2,50.5275615,-84.8136203,9.517,2023-05-26 21:51:17,,56.0,11.0,21.0,68.0,116.0,16.0,56.5,17.0,49.0,,,,,,2023,5,26,21,4.47,236.0
448.58,9.433,2,50.5274667,-84.8135745,9.433,2023-05-26 21:51:18,,38.0,11.0,23.5,73.0,108.0,14.5,52.0,17.0,45.0,,,,,,2023,5,26,21,4.47,236.0
458.09,9.429,2,50.5273717,-84.8135193,9.429,2023-05-26 21:51:19,,28.0,12.0,25.5,78.0,68.0,12.5,47.5,17.0,41.0,,,,,,2023,5,26,21,4.47,236.0
467.22,9.425,2,50.5272878,-84.8134575,9.425,2023-05-26 21:51:20,,41.0,12.0,26.0,78.5,66.0,11.0,44.0,17.0,58.0,,,,,,2023,5,26,21,4.47,236.0
477.16,9.653,2,50.5271937,-84.8133919,9.653,2023-05-26 21:51:21,,87.0,12.0,18.5,64.0,68.0,11.0,44.0,17.0,81.0,,,,,,2023,5,26,21,4.47,236.0
486.87,9.625,2,50.5270973,-84.8133283,9.625,2023-05-26 21:51:22,,95.0,12.0,21.5,75.5,170.0,16.0,66.5,17.0,61.0,2.8000000000000114,2.8000000000000114,,,,2023,5,26,21,4.47,236.0
496.51,9.522,2,50.5270016,-84.8132745,9.522,2023-05-26 21:51:23,,93.0,12.0,24.5,89.0,223.0,17.5,68.5,17.0,63.0,2.8000000000000114,2.8000000000000114,0.0,0.0,0.0,2023,5,26,21,4.47,236.0
506.24,10.032,2,50.5269041,-84.813229,10.032,2023-05-26 21:51:24,,94.0,12.0,28.0,97.0,282.0,17.5,71.5,17.0,58.0,3.1999999999999886,3.1999999999999886,0.0,0.0,0.0,2023,5,26,21,4.47,236.0
515.95,9.789,2,50.526812,-84.8131645,9.789,2023-05-26 21:51:25,,97.0,13.0,29.0,95.5,331.0,19.0,83.5,17.0,53.0,3.1999999999999886,3.1999999999999886,0.0,0.0,0.0,2023,5,26,21,4.47,236.0
525.89,10.138,2,50.5267177,-84.8131004,10.138,2023-05-26 21:51:26,,98.0,13.0,24.5,83.0,351.0,27.5,97.0,17.0,53.0,3.1999999999999886,3.1999999999999886,0.0,0.0,0.0,2023,5,26,21,4.47,236.0
536.43,10.797,2,50.5266089,-84.8130467,10.797,2023-05-26 21:51:27,,93.0,14.0,34.0,96.5,348.0,24.5,91.5,17.0,55.0,3.0,3.0,0.0,0.0,0.0,2023,5,26,21,4.47,236.0
547.12,10.498,2,50.5264999,-84.8130011,10.498,2023-05-26 21:51:28,,82.0,14.0,34.5,98.0,298.0,22.0,86.0,17.0,50.0,2.8000000000000114,2.8000000000000114,0.0,0.0,0.0,2023,5,26,21,4.47,236.0
557.36,10.118,2,50.5263965,-84.8129553,10.118,2023-05-26 21:51:29,,71.0,14.0,32.0,96.0,235.0,20.0,80.5,17.0,59.0,2.6000000000000227,2.6000000000000227,0.0,0.0,0.0,2023,5,26,21,4.47,236.0
567.52,9.993,2,50.5262955,-84.8129012,9.993,2023-05-26 21:51:30,,77.0,14.0,30.5,94.5,197.0,19.0,78.5,17.0,65.0,2.6000000000000227,2.6000000000000227,0.0,0.0,0.0,2023,5,26,21,4.47,236.0
577.76,10.177,2,50.5261909,-84.8128548,10.177,2023-05-26 21:51:31,,82.0,15.0,32.5,96.5,235.0,23.0,86.0,17.0,64.0,2.6000000000000227,2.6000000000000227,0.0,0.0,0.0,2023,5,26,21,4.47,236.0
587.91,10.054,2,50.5260903,-84.8128001,10.054,2023-05-26 21:51:32,,84.0,15.0,34.0,98.0,347.0,27.0,93.5,17.0,62.0,2.6000000000000227,2.6000000000000227,0.0,0.0,0.0,2023,5,26,21,4.47,236.0
598.05,10.045,3,50.5259861,-84.8127463,10.045,2023-05-26 21:51:33,,87.0,15.0,31.5,96.5,357.0,30.5,97.0,17.0,61.0,2.6000000000000227,2.6000000000000227,0.0,0.0,0.0,2023,5,26,21,4.47,236.0
608.18,9.976,3,50.5258864,-84.8126999,9.976,2023-05-26 21:51:34,,93.0,16.0,29.5,95.0,356.0,32.0,98.0,17.0,59.0,2.6000000000000227,2.6000000000000227,0.0,0.0,0.0,2023,5,26,21,4.47,236.0
617.34,9.508,3,50.5257953,-84.8126463,9.508,2023-05-26 21:51:35,,105.0,16.0,29.0,94.5,353.0,31.5,98.5,17.0,57.0,2.6000000000000227,2.6000000000000227,0.0,0.0,0.0,2023,5,26,21,4.47,236.0
627.25,10.027,3,50.5256949,-84.8126014,10.027,2023-05-26 21:51:36,,99.0,16.0,28.0,93.5,345.0,31.0,98.5,17.0,56.0,2.6000000000000227,2.6000000000000227,0.0,0.0,0.0,2023,5,26,21,4.47,236.0
636.51,9.117,3,50.5255968,-84.8125663,9.117,2023-05-26 21:51:37,,97.0,17.0,25.5,94.0,330.0,28.5,87.0,17.0,54.0,2.8000000000000114,2.8000000000000114,0.0,0.0,0.0,2023,5,26,21,4.47,236.0
646.27,9.377,3,50.5254954,-84.8125372,9.377,2023-05-26 21:51:38,,97.0,17.0,25.0,94.5,322.0,26.5,87.5,17.0,53.0,2.8000000000000114,2.8000000000000114,0.0,0.0,0.0,2023,5,26,21,4.47,236.0
655.56,9.49,3,50.5254006,-84.8124919,9.49,2023-05-26 21:51:39,,97.0,17.0,27.0,96.0,312.0,26.0,95.0,17.0,52.0,2.8000000000000114,2.8000000000000114,0.0,0.0,0.0,2023,5,26,21,4.47,236.0
664.6,9.032,3,50.5253103,-84.8124462,9.032,2023-05-26 21:51:40,,91.0,18.0,28.0,97.0,284.0,27.5,90.5,17.0,53.0,2.8000000000000114,2.8000000000000114,0.0,0.0,0.0,2023,5,26,21,4.47,236.0
673.38,8.621,3,50.5252215,-84.8123928,8.621,2023-05-26 21:51:41,,86.0,18.0,29.0,98.0,289.0,28.5,85.5,17.0,54.0,2.8000000000000114,2.8000000000000114,0.0,0.0,0.0,2023,5,26,21,4.47,236.0
681.52,7.655,3,50.5251458,-84.8123468,7.655,2023-05-26 21:51:42,,83.0,18.0,30.0,98.5,293.0,28.0,90.5,17.0,55.0,2.8000000000000114,2.8000000000000114,0.0,0.0,0.0,2023,5,26,21,4.47,236.0
689.93,8.429,3,50.5250588,-84.8123104,8.429,2023-05-26 21:51:43,,84.0,18.0,27.5,94.0,289.0,27.0,94.5,17.0,56.0,3.0,3.0,0.0,0.0,0.0,2023,5,26,21,4.47,236.0
698.91,8.563,3,50.5249643,-84.8122734,8.563,2023-05-26 21:51:44,,91.0,19.0,24.5,88.5,285.0,26.5,93.0,17.0,56.0,3.0,3.0,0.0,0.0,0.0,2023,5,26,21,4.47,236.0
707.23,7.836,2,50.5248829,-84.8122283,7.836,2023-05-26 21:51:45,,95.0,19.0,27.5,91.0,286.0,27.0,90.5,17.0,57.0,3.3999999999999773,3.3999999999999773,0.0,0.0,0.0,2023,5,26,21,4.47,236.0
715.78,8.173,2,50.5247956,-84.8121825,8.173,2023-05-26 21:51:46,,95.0,19.0,26.0,94.0,313.0,23.5,90.0,17.0,58.0,3.6000000000000227,3.6000000000000227,0.0,0.0,0.0,2023,5,26,21,4.47,236.0
724.7,8.318,2,50.5247042,-84.8121374,8.318,2023-05-26 21:51:47,,93.0,20.0,26.0,92.5,314.0,24.5,91.5,17.0,57.0,4.0,4.0,0.0,0.0,0.0,2023,5,26,21,4.47,236.0
733.35,8.519,2,50.5246186,-84.8121014,8.519,2023-05-26 21:51:48,,91.0,20.0,26.5,93.5,315.0,25.0,91.0,17.0,56.0,4.199999999999989,4.199999999999989,0.0,0.0,0.0,2023,5,26,21,4.47,236.0
742.11,8.242,2,50.524527,-84.8120647,8.242,2023-05-26 21:51:49,,91.0,20.0,27.0,97.5,325.0,24.5,91.5,17.0,55.0,4.199999999999989,4.199999999999989,0.0,0.0,0.0,2023,5,26,21,4.47,236.0
750.57,8.429,2,50.5244408,-84.8120284,8.429,2023-05-26 21:51:50,,91.0,21.0,27.5,98.5,363.0,25.0,97.5,17.0,54.0,4.399999999999977,4.399999999999977,0.0,0.0,0.0,2023,5,26,21,4.47,236.0
758.68,8.321,2,50.5243596,-84.8119941,8.321,2023-05-26 21:51:51,,91.0,21.0,27.0,97.0,333.0,25.0,96.5,17.0,53.0,4.600000000000023,4.600000000000023,0.0,0.0,1.71,2023,5,26,21,4.47,236.0
767.22,8.312,2,50.5242727,-84.8119393,8.312,2023-05-26 21:51:52,,92.0,21.0,26.5,95.5,295.0,25.5,95.0,17.0,52.0,4.800000000000011,4.800000000000011,0.0,0.0,2.07,2023,5,26,21,4.47,236.0
775.93,7.913,2,50.524186,-84.8118919,7.913,2023-05-26 21:51:53,,92.0,21.0,26.0,94.0,272.0,25.5,94.0,17.0,51.0,5.0,5.0,0.0,0.0,2.09,2023,5,26,21,4.47,236.0
784.54,8.322,2,50.5240996,-84.8118549,8.322,2023-05-26 21:51:54,,95.0,22.0,25.5,92.5,257.0,26.0,93.0,17.0,50.0,5.199999999999989,5.199999999999989,1.0,0.0,2.02,2023,5,26,21,4.47,236.0
793.08,8.465,2,50.5240127,-84.8118098,8.465,2023-05-26 21:51:55,,96.0,22.0,25.0,90.5,338.0,26.0,91.5,17.0,49.0,5.399999999999977,5.399999999999977,1.0,0.0,2.01,2023,5,26,21,4.47,236.0
801.82,8.298,3,50.5239261,-84.811774,8.298,2023-05-26 21:51:56,,94.0,22.0,24.5,89.0,338.0,26.5,90.5,17.0,50.0,5.399999999999977,5.399999999999977,1.0,0.0,2.03,2023,5,26,21,4.47,236.0
809.99,7.954,3,50.5238397,-84.8117467,7.954,2023-05-26 21:51:57,,92.0,23.0,23.0,87.0,317.0,25.0,89.5,17.0,51.0,5.600000000000023,5.600000000000023,1.0,0.0,1.94,2023,5,26,21,4.47,236.0
818.22,7.533,3,50.5237542,-84.8117191,7.533,2023-05-26 21:51:58,,91.0,23.0,20.5,79.5,276.0,22.5,87.0,17.0,51.0,5.600000000000023,5.600000000000023,1.0,0.0,1.84,2023,5,26,21,4.47,236.0
826.48,7.793,3,50.5236671,-84.8116824,7.793,2023-05-26 21:51:59,,90.0,23.0,17.5,63.0,179.0,22.5,81.5,17.0,50.0,5.600000000000023,5.600000000000023,1.0,0.0,1.64,2023,5,26,21,4.47,236.0
834.83,7.671,3,50.5235851,-84.8116459,7.671,2023-05-26 21:52:00,,89.0,23.0,23.0,78.0,246.0,22.0,80.5,17.0,50.0,5.600000000000023,5.600000000000023,1.0,0.0,1.35,2023,5,26,21,4.47,236.0
842.7,7.529,3,50.5235037,-84.8116105,7.529,2023-05-26 21:52:01,,90.0,24.0,28.0,93.0,394.0,21.5,79.5,17.0,50.0,5.600000000000023,5.600000000000023,1.0,0.0,1.08,2023,5,26,21,4.47,236.0
851.14,7.745,3,50.5234125,-84.8115822,7.745,2023-05-26 21:52:02,,83.0,24.0,29.5,98.0,472.0,21.0,79.0,17.0,49.0,5.800000000000011,5.800000000000011,1.0,0.0,0.17,2023,5,26,21,4.47,236.0
858.86,7.391,3,50.523336,-84.8115446,7.391,2023-05-26 21:52:03,,58.0,25.0,28.5,95.5,400.0,21.5,79.0,17.0,49.0,6.0,6.0,2.0,0.0,0.57,2023,5,26,21,4.47,236.0
866.21,6.939,3,50.5232681,-84.8114915,6.939,2023-05-26 21:52:04,,69.0,25.0,27.5,93.0,299.0,21.5,79.5,17.0,50.0,6.199999999999989,6.199999999999989,2.0,0.0,0.66,2023,5,26,21,4.47,236.0
872.94,6.423,3,50.5232002,-84.8114554,6.423,2023-05-26 21:52:05,,77.0,25.0,26.5,90.5,179.0,22.0,79.5,17.0,50.0,6.399999999999977,6.399999999999977,2.0,0.0,0.8,2023,5,26,21,4.47,236.0
880.12,7.177,3,50.5231275,-84.811421,7.177,2023-05-26 21:52:06,,83.0,25.0,25.5,88.0,206.0,22.0,79.5,17.0,53.0,6.600000000000023,6.600000000000023,2.0,0.0,1.04,2023,5,26,21,4.47,236.0
886.39,6.653,3,50.5230625,-84.8114171,6.653,2023-05-26 21:52:07,,83.0,25.0,24.5,85.5,238.0,22.5,80.0,17.0,57.0,6.800000000000011,6.800000000000011,2.0,0.0,1.4,2023,5,26,21,4.47,236.0
893.7,6.603,3,50.5229906,-84.8113639,6.603,2023-05-26 21:52:08,,85.0,26.0,24.0,85.0,271.0,22.5,81.0,17.0,56.0,6.800000000000011,6.800000000000011,2.0,0.0,1.78,2023,5,26,21,4.47,236.0
899.62,5.598,3,50.5229324,-84.8113307,5.598,2023-05-26 21:52:09,,91.0,26.0,24.5,87.5,304.0,23.0,84.0,17.0,52.0,6.800000000000011,6.800000000000011,3.0,0.0,2.04,2023,5,26,21,4.47,236.0
903.96,4.624,3,50.5228947,-84.8112926,4.624,2023-05-26 21:52:10,,93.0,26.0,25.0,89.5,306.0,24.0,86.5,17.0,47.0,6.800000000000011,6.800000000000011,3.0,0.0,2.14,2023,5,26,21,4.47,236.0
912.01,7.142,3,50.5228132,-84.8112712,7.142,2023-05-26 21:52:11,,92.0,27.0,25.5,92.0,306.0,24.5,89.5,16.0,56.0,7.0,7.0,3.0,0.0,2.04,2023,5,26,21,4.47,236.0
918.48,6.659,3,50.5227565,-84.8112174,6.659,2023-05-26 21:52:12,,94.0,27.0,25.5,94.5,367.0,25.0,92.5,16.0,55.0,7.199999999999989,7.199999999999989,3.0,0.0,1.81,2023,5,26,21,4.47,236.0
926.9,8.032,3,50.5226707,-84.8111724,8.032,2023-05-26 21:52:13,,93.0,27.0,26.0,97.0,373.0,25.5,95.5,16.0,54.0,7.199999999999989,7.199999999999989,3.0,0.0,1.55,2023,5,26,21,4.47,236.0
936.37,9.065,3,50.5225785,-84.8111259,9.065,2023-05-26 21:52:14,,88.0,28.0,26.5,99.5,349.0,26.0,97.5,16.0,56.0,7.199999999999989,7.199999999999989,3.0,0.0,1.27,2023,5,26,21,4.47,236.0
946.02,9.522,3,50.5224837,-84.811072,9.522,2023-05-26 21:52:15,,87.0,28.0,27.5,99.5,311.0,24.0,93.5,16.0,56.0,7.399999999999977,7.399999999999977,3.0,0.0,1.08,2023,5,26,21,4.47,236.0
956.33,10.101,3,50.5223782,-84.8110161,10.101,2023-05-26 21:52:16,,87.0,28.0,28.5,99.0,296.0,22.0,89.0,16.0,55.0,7.199999999999989,7.199999999999989,3.0,0.0,0.95,2023,5,26,21,4.47,236.0
966.06,10.039,3,50.5222841,-84.8109563,10.039,2023-05-26 21:52:17,,91.0,29.0,29.0,96.5,341.0,20.5,86.0,16.0,52.0,7.0,7.0,3.0,0.0,0.16,2023,5,26,21,4.47,236.0
976.39,10.011,3,50.5221827,-84.8108985,10.011,2023-05-26 21:52:18,,94.0,29.0,28.0,89.0,388.0,20.5,86.0,16.0,48.0,6.800000000000011,6.800000000000011,3.0,0.0,0.0,2023,5,26,21,4.47,236.0
986.24,9.972,3,50.5220843,-84.810845,9.972,2023-05-26 21:52:19,,66.0,29.0,26.0,87.5,263.0,20.5,86.0,16.0,44.0,6.600000000000023,6.600000000000023,3.0,0.0,-0.11,2023,5,26,21,4.47,236.0
996.74,10.356,3,50.5219789,-84.8107892,10.356,2023-05-26 21:52:20,,68.0,30.0,16.0,56.5,164.0,7.0,95.0,16.0,50.0,6.399999999999977,6.399999999999977,3.0,1.0,-0.46,2023,5,26,21,4.47,236.0
1006.76,10.035,3,50.5218817,-84.8107253,10.035,2023-05-26 21:52:21,,91.0,30.0,11.5,43.0,121.0,1.5,99.0,16.0,56.0,6.199999999999989,6.199999999999989,3.0,1.0,-0.88,2023,5,26,21,4.47,236.0
1016.85,10.101,2,50.5217828,-84.8106714,10.101,2023-05-26 21:52:22,,94.0,30.0,13.0,47.5,257.0,4.0,97.5,16.0,56.0,6.0,6.0,3.0,1.0,-1.25,2023,5,26,21,4.47,236.0
1027.02,10.133,2,50.5216781,-84.8106171,10.133,2023-05-26 21:52:23,,94.0,30.0,14.0,52.5,283.0,7.0,95.5,16.0,54.0,5.800000000000011,5.800000000000011,3.0,1.0,-1.48,2023,5,26,21,4.47,236.0
1036.75,9.826,2,50.5215821,-84.8105706,9.826,2023-05-26 21:52:24,,95.0,30.0,15.0,57.0,292.0,9.5,94.0,16.0,58.0,5.399999999999977,5.399999999999977,3.0,1.0,-1.63,2023,5,26,21,4.47,236.0
1045.63,9.135,2,50.5214926,-84.8105168,9.135,2023-05-26 21:52:25,,96.0,31.0,16.0,61.5,299.0,12.5,92.5,16.0,56.0,4.800000000000011,4.800000000000011,3.0,1.0,-1.78,2023,5,26,21,4.47,236.0
1054.75,9.133,2,50.5214048,-84.8104624,9.133,2023-05-26 21:52:26,,96.0,31.0,17.5,66.0,292.0,15.0,90.5,16.0,55.0,4.399999999999977,4.399999999999977,3.0,2.0,-2.02,2023,5,26,21,4.47,236.0
1064.65,9.673,2,50.5213038,-84.8104165,9.673,2023-05-26 21:52:27,,96.0,31.0,18.5,70.5,281.0,17.5,89.0,16.0,53.0,4.0,4.0,3.0,2.0,-2.36,2023,5,26,21,4.47,236.0
1074.37,9.761,2,50.5212049,-84.8103713,9.761,2023-05-26 21:52:28,,96.0,32.0,19.5,75.0,255.0,20.5,87.5,16.0,52.0,3.8000000000000114,3.8000000000000114,3.0,3.0,-2.77,2023,5,26,21,4.47,236.0
1083.31,9.507,2,50.5211154,-84.8103262,9.507,2023-05-26 21:52:29,,95.0,32.0,21.0,80.0,249.0,23.0,86.0,16.0,53.0,3.8000000000000114,3.8000000000000114,3.0,3.0,-3.01,2023,5,26,21,4.47,236.0
1093.09,9.505,3,50.5210181,-84.8102704,9.505,2023-05-26 21:52:30,,96.0,32.0,21.5,83.0,251.0,23.0,86.0,16.0,54.0,3.6000000000000227,3.6000000000000227,3.0,3.0,-3.1,2023,5,26,21,4.47,236.0
