distance,enhanced_speed,gps_accuracy,position_lat,position_long,speed,timestamp,battery_soc,temperature,altitude,enhanced_altitude,grade,left_pedal_smoothness,power,right_pedal_smoothness,right_torque_effectiveness,left_right_balance,cadence,left_torque_effectiveness,year,month,day,hour,wind_speed,wind_direction
81.47,7.699,3,50.5238324,-84.8093238,7.699,2022-04-07 20:50:53,,16.0,,,,,,,,,,,2022,4,7,20,5.86,65.0
89.45,7.858,3,50.5238015,-84.8094312,7.858,2022-04-07 20:50:54,,16.0,,,,,,,,,,,2022,4,7,20,5.86,65.0
97.26,7.828,3,50.5237796,-84.8095404,7.828,2022-04-07 20:50:55,,16.0,,,,,,,,,,,2022,4,7,20,5.86,65.0
105.39,8.035,3,50.5237617,-84.8096554,8.035,2022-04-07 20:50:56,,16.0,,,,,,,,,,,2022,4,7,20,5.86,65.0
113.61,8.121,3,50.5237459,-84.8097724,8.121,2022-04-07 20:50:57,,16.0,,,,,,,,,,,2022,4,7,20,5.86,65.0
121.61,8.093,3,50.5237251,-84.8098848,8.093,2022-04-07 20:50:58,,16.0,,,,,,,,,,,2022,4,7,20,5.86,65.0
129.92,8.274,3,50.5237004,-84.8100004,8.274,2022-04-07 20:50:59,,16.0,,,,,,,,,,,2022,4,7,20,5.86,65.0
138.5,8.478,4,50.5236725,-84.8101187,8.478,2022-04-07 20:51:00,,16.0,,,,,,,,,,,2022,4,7,20,5.86,65.0
146.07,8.221,4,50.5236438,-84.8102212,8.221,2022-04-07 20:51:01,,16.0,,,,,,,,,,,2022,4,7,20,5.86,65.0
153.44,7.936,4,50.5236146,-84.8103204,7.936,2022-04-07 20:51:02,,16.0,,,,,,,,,,,2022,4,7,20,5.86,65.0
160.43,7.83,4,50.5235887,-84.8104155,7.83,2022-04-07 20:51:03,,16.0,,,,,,,,,,,2022,4,7,20,5.86,65.0
165.19,7.745,4,50.5235727,-84.8104808,7.745,2022-04-07 20:51:04,,16.0,,,,,,,,,,,2022,4,7,20,5.86,65.0
174.73,7.017,4,50.5235428,-84.8106131,7.017,2022-04-07 20:51:05,,16.0,,,,,,,,,,,2022,4,7,20,5.86,65.0
179.44,6.717,4,50.5235283,-84.8106783,6.717,2022-04-07 20:51:06,,16.0,,,,,,,,,,,2022,4,7,20,5.86,65.0
185.94,5.646,4,50.5235047,-84.8107669,5.646,2022-04-07 20:51:07,,16.0,,,,,,,,,,,2022,4,7,20,5.86,65.0
190.88,4.615,4,50.5234837,-84.8108324,4.615,2022-04-07 20:51:08,,16.0,,,,,,,,,,,2022,4,7,20,5.86,65.0
195.2,3.935,4,50.52346,-84.8108861,3.935,2022-04-07 20:51:09,,16.0,,,,,,,,,,,2022,4,7,20,5.86,65.0
198.2,3.331,4,50.5234431,-84.8109228,3.331,2022-04-07 20:51:10,,16.0,,,,,,,,,,,2022,4,7,20,5.86,65.0
200.64,2.744,4,50.5234341,-84.8109557,2.744,2022-04-07 20:51:11,,16.0,,,,,,,,,,,2022,4,7,20,5.86,65.0
202.77,2.251,4,50.5234289,-84.8109856,2.251,2022-04-07 20:51:12,,16.0,,,,,,,,,,,2022,4,7,20,5.86,65.0
203.88,2.837,1,50.5234124,-84.8110839,2.837,2022-04-07 20:52:12,,14.0,46.39999999999998,46.39999999999998,0.0,0.0,0.0,20.0,58.5,,,,2022,4,7,20,5.86,65.0
205.44,4.937,1,50.5233758,-84.8111498,4.937,2022-04-07 20:52:13,,14.0,46.39999999999998,46.39999999999998,0.0,0.0,36.0,20.0,58.5,,,,2022,4,7,20,5.86,65.0
208.22,3.326,1,50.5233589,-84.8111828,3.326,2022-04-07 20:52:14,,14.0,46.39999999999998,46.39999999999998,0.0,0.0,94.0,20.0,58.5,,,,2022,4,7,20,5.86,65.0
210.9,2.849,1,50.5233382,-84.8112095,2.849,2022-04-07 20:52:15,,14.0,46.39999999999998,46.39999999999998,0.0,0.0,152.0,20.0,58.5,,,,2022,4,7,20,5.86,65.0
214.74,3.596,2,50.5233007,-84.8112249,3.596,2022-04-07 20:52:16,,14.0,46.39999999999998,46.39999999999998,0.0,0.0,210.0,20.0,58.5,59.0,,,2022,4,7,20,5.86,65.0
219.73,4.635,2,50.5232481,-84.8112163,4.635,2022-04-07 20:52:17,,14.0,46.39999999999998,46.39999999999998,0.0,0.0,314.0,20.0,58.5,53.0,,,2022,4,7,20,5.86,65.0
225.11,5.232,2,50.5231935,-84.8111912,5.232,2022-04-07 20:52:18,,14.0,46.60000000000002,46.60000000000002,0.0,0.0,382.0,20.0,58.5,55.0,63.0,,2022,4,7,20,5.86,65.0
231.01,5.741,2,50.523136,-84.8111557,5.741,2022-04-07 20:52:19,,14.0,46.799999999999955,46.799999999999955,0.39,2.5,387.0,20.5,62.5,58.0,66.0,,2022,4,7,20,5.86,65.0
237.25,6.072,2,50.5230743,-84.8111209,6.072,2022-04-07 20:52:20,,14.0,46.799999999999955,46.799999999999955,1.24,9.5,330.0,21.5,73.0,54.0,69.0,,2022,4,7,20,5.86,65.0
243.11,5.914,2,50.5230156,-84.8110903,5.914,2022-04-07 20:52:21,,14.0,46.60000000000002,46.60000000000002,1.26,17.0,272.0,22.5,84.0,50.0,73.0,82.0,2022,4,7,20,5.86,65.0
248.93,5.832,2,50.5229588,-84.8110554,5.832,2022-04-07 20:52:22,,14.0,46.799999999999955,46.799999999999955,0.65,19.5,170.0,23.0,88.0,49.0,69.0,82.0,2022,4,7,20,5.86,65.0
254.73,5.803,2,50.5229001,-84.8110283,5.803,2022-04-07 20:52:23,,14.0,46.799999999999955,46.799999999999955,0.92,19.5,123.0,23.0,88.0,49.0,71.0,82.0,2022,4,7,20,5.86,65.0
260.35,5.671,2,50.5228417,-84.8110085,5.671,2022-04-07 20:52:24,,14.0,47.0,47.0,0.97,19.5,112.0,22.0,86.5,49.0,74.0,81.0,2022,4,7,20,5.86,65.0
265.85,5.368,2,50.5227853,-84.8109849,5.368,2022-04-07 20:52:25,,14.0,47.0,47.0,0.55,20.0,92.0,20.5,84.5,49.0,74.0,80.0,2022,4,7,20,5.86,65.0
271.03,4.733,2,50.5227333,-84.8109581,4.733,2022-04-07 20:52:26,,14.0,47.0,47.0,0.83,20.0,72.0,18.5,82.5,49.0,73.0,78.5,2022,4,7,20,5.86,65.0
275.62,3.891,2,50.522688,-84.8109319,3.891,2022-04-07 20:52:27,,14.0,47.0,47.0,1.02,20.5,52.0,17.0,80.0,50.0,73.0,77.0,2022,4,7,20,5.86,65.0
279.34,3.456,2,50.5226512,-84.810911,3.456,2022-04-07 20:52:28,,14.0,47.0,47.0,0.4,20.5,32.0,15.0,78.0,50.0,73.0,75.5,2022,4,7,20,5.86,65.0
282.2,3.142,2,50.5226224,-84.810897,3.142,2022-04-07 20:52:29,,14.0,47.0,47.0,0.0,21.0,12.0,13.5,76.0,50.0,73.0,74.5,2022,4,7,20,5.86,65.0
284.5,2.517,2,50.5225985,-84.810888,2.517,2022-04-07 20:52:30,,14.0,47.0,47.0,0.0,21.0,0.0,12.5,74.5,50.0,0.0,73.5,2022,4,7,20,5.86,65.0
285.6,1.172,2,50.5225814,-84.810882,1.172,2022-04-07 20:52:31,,14.0,46.799999999999955,46.799999999999955,0.0,21.0,0.0,12.5,74.5,50.0,0.0,73.5,2022,4,7,20,5.86,65.0
285.6,0.0,2,50.5225714,-84.810879,0.0,2022-04-07 20:52:32,,14.0,46.799999999999955,46.799999999999955,0.0,21.0,0.0,12.5,74.5,50.0,0.0,73.5,2022,4,7,20,5.86,65.0
285.6,0.0,2,50.5225653,-84.8108798,0.0,2022-04-07 20:52:33,,14.0,46.799999999999955,46.799999999999955,0.0,21.0,0.0,12.5,74.5,51.0,0.0,73.5,2022,4,7,20,5.86,65.0
285.6,0.0,2,50.5225633,-84.8108819,0.0,2022-04-07 20:52:34,,14.0,46.799999999999955,46.799999999999955,0.0,21.0,0.0,12.5,74.5,51.0,0.0,73.5,2022,4,7,20,5.86,65.0
285.6,0.0,2,50.5225633,-84.8108819,0.0,2022-04-07 20:52:35,,14.0,46.799999999999955,46.799999999999955,0.0,21.0,0.0,12.5,74.5,51.0,0.0,73.5,2022,4,7,20,5.86,65.0
285.6,1.85,2,50.5225377,-84.8108904,1.85,2022-04-07 20:52:41,,14.0,46.799999999999955,46.799999999999955,0.0,21.0,0.0,12.5,74.5,52.0,0.0,73.5,2022,4,7,20,5.86,65.0
287.31,3.754,2,50.5224914,-84.810896,3.754,2022-04-07 20:52:42,,14.0,46.799999999999955,46.799999999999955,0.0,21.0,0.0,12.5,74.5,52.0,0.0,73.5,2022,4,7,20,5.86,65.0
291.49,4.068,2,50.5224478,-84.8108822,4.068,2022-04-07 20:52:43,,14.0,46.60000000000002,46.60000000000002,0.0,22.0,205.0,17.5,75.0,52.0,10.0,80.5,2022,4,7,20,5.86,65.0
296.76,4.989,2,50.5223952,-84.8108547,4.989,2022-04-07 20:52:44,,14.0,46.60000000000002,46.60000000000002,0.0,23.5,366.0,23.0,79.5,52.0,34.0,90.0,2022,4,7,20,5.86,65.0
302.93,5.891,2,50.5223367,-84.8108131,5.891,2022-04-07 20:52:45,,14.0,46.39999999999998,46.39999999999998,0.0,22.5,428.0,18.5,88.5,52.0,54.0,87.0,2022,4,7,20,5.86,65.0
310.01,6.781,2,50.522267,-84.8107739,6.781,2022-04-07 20:52:46,,14.0,46.60000000000002,46.60000000000002,-0.16,22.5,466.0,18.0,89.5,53.0,66.0,86.5,2022,4,7,20,5.86,65.0
317.38,7.239,2,50.5221907,-84.8107452,7.239,2022-04-07 20:52:47,,14.0,46.200000000000045,46.200000000000045,-0.78,22.5,445.0,18.0,89.5,53.0,74.0,86.5,2022,4,7,20,5.86,65.0
324.65,7.257,2,50.5221143,-84.810725,7.257,2022-04-07 20:52:48,,13.0,46.0,46.0,-1.63,22.5,336.0,18.0,89.5,52.0,78.0,86.5,2022,4,7,20,5.86,65.0
331.9,7.251,3,50.5220367,-84.810716,7.251,2022-04-07 20:52:49,,13.0,45.799999999999955,45.799999999999955,-2.21,22.5,227.0,18.0,89.5,51.0,82.0,86.5,2022,4,7,20,5.86,65.0
338.8,7.014,3,50.5219629,-84.8107101,7.014,2022-04-07 20:52:50,,13.0,45.60000000000002,45.60000000000002,-2.48,22.5,118.0,18.0,89.5,50.0,85.0,86.5,2022,4,7,20,5.86,65.0
345.8,6.998,3,50.5218883,-84.8106984,6.998,2022-04-07 20:52:51,,13.0,45.39999999999998,45.39999999999998,-2.85,22.5,10.0,18.0,89.5,49.0,89.0,86.5,2022,4,7,20,5.86,65.0
352.88,7.006,3,50.5218133,-84.8106812,7.006,2022-04-07 20:52:52,,13.0,45.200000000000045,45.200000000000045,-3.33,22.5,0.0,18.0,89.5,49.0,0.0,86.5,2022,4,7,20,5.86,65.0
359.07,6.379,3,50.5217486,-84.8106614,6.379,2022-04-07 20:52:53,,13.0,45.0,45.0,-3.2,21.0,0.0,20.5,89.5,48.0,0.0,78.0,2022,4,7,20,5.86,65.0
365.01,6.078,3,50.5216875,-84.8106368,6.078,2022-04-07 20:52:54,,13.0,45.0,45.0,-2.61,18.0,0.0,23.5,90.0,47.0,0.0,65.0,2022,4,7,20,5.86,65.0
371.55,6.451,3,50.5216212,-84.8106053,6.451,2022-04-07 20:52:55,,13.0,45.0,45.0,-2.22,18.0,0.0,24.0,90.0,46.0,0.0,64.0,2022,4,7,20,5.86,65.0
378.61,6.899,3,50.5215503,-84.8105693,6.899,2022-04-07 20:52:56,,13.0,44.799999999999955,44.799999999999955,-1.77,18.0,128.0,24.0,90.0,46.0,48.0,64.0,2022,4,7,20,5.86,65.0
385.68,7.026,3,50.5214776,-84.8105402,7.026,2022-04-07 20:52:57,,13.0,44.60000000000002,44.60000000000002,-1.26,18.0,246.0,24.0,90.0,46.0,64.0,64.0,2022,4,7,20,5.86,65.0
392.95,7.209,3,50.5214021,-84.8105135,7.209,2022-04-07 20:52:58,,13.0,44.39999999999998,44.39999999999998,-1.34,20.5,269.0,25.0,91.0,48.0,66.0,71.0,2022,4,7,20,5.86,65.0
400.45,7.442,3,50.521325,-84.8104819,7.442,2022-04-07 20:52:59,,13.0,44.39999999999998,44.39999999999998,-1.73,24.5,245.0,26.0,93.0,50.0,68.0,82.0,2022,4,7,20,5.86,65.0
408.01,7.532,3,50.5212488,-84.8104445,7.532,2022-04-07 20:53:00,,13.0,44.200000000000045,44.200000000000045,-1.75,28.5,221.0,27.5,94.5,53.0,70.0,92.5,2022,4,7,20,5.86,65.0
415.77,7.694,3,50.5211747,-84.8103938,7.694,2022-04-07 20:53:01,,13.0,44.0,44.0,-2.01,29.5,245.0,29.5,95.5,48.0,71.0,95.5,2022,4,7,20,5.86,65.0
423.28,7.538,3,50.5211051,-84.8103391,7.538,2022-04-07 20:53:02,,13.0,44.0,44.0,-2.44,28.0,139.0,30.0,96.5,45.0,74.0,92.0,2022,4,7,20,5.86,65.0
430.46,7.254,3,50.5210366,-84.8102913,7.254,2022-04-07 20:53:03,,13.0,44.0,44.0,-2.07,27.0,109.0,29.0,97.0,40.0,69.0,87.5,2022,4,7,20,5.86,65.0
437.34,6.982,3,50.5209704,-84.8102472,6.982,2022-04-07 20:53:04,,13.0,43.799999999999955,43.799999999999955,-1.71,27.0,217.0,29.0,97.0,34.0,60.0,87.5,2022,4,7,20,5.86,65.0
444.42,7.074,3,50.5209012,-84.8102046,7.074,2022-04-07 20:53:05,,13.0,43.39999999999998,43.39999999999998,-1.95,27.0,345.0,29.0,97.0,55.0,60.0,87.5,2022,4,7,20,5.86,65.0
452.4,7.755,3,50.5208219,-84.8101609,7.755,2022-04-07 20:53:06,,13.0,43.39999999999998,43.39999999999998,-1.8,27.0,319.0,27.5,97.0,49.0,75.0,95.5,2022,4,7,20,5.86,65.0
460.63,8.109,3,50.5207392,-84.810119,8.109,2022-04-07 20:53:07,,13.0,43.39999999999998,43.39999999999998,-1.47,26.5,285.0,27.0,96.5,47.0,78.0,95.5,2022,4,7,20,5.86,65.0
468.73,8.173,3,50.5206569,-84.8100807,8.173,2022-04-07 20:53:08,,13.0,43.39999999999998,43.39999999999998,-1.5,25.0,279.0,27.5,97.5,45.0,79.0,90.0,2022,4,7,20,5.86,65.0
477.09,8.304,3,50.5205717,-84.810043,8.304,2022-04-07 20:53:09,,13.0,43.200000000000045,43.200000000000045,-1.36,24.0,268.0,27.5,98.5,44.0,80.0,85.0,2022,4,7,20,5.86,65.0
485.54,8.363,3,50.5204859,-84.8100028,8.363,2022-04-07 20:53:10,,13.0,42.799999999999955,42.799999999999955,-1.31,22.5,265.0,27.5,92.0,45.0,80.0,79.5,2022,4,7,20,5.86,65.0
493.94,8.398,3,50.5204017,-84.8099592,8.398,2022-04-07 20:53:11,,13.0,42.60000000000002,42.60000000000002,-1.8,25.5,303.0,27.5,89.0,50.0,80.0,85.5,2022,4,7,20,5.86,65.0
502.89,8.767,3,50.5203116,-84.8099141,8.767,2022-04-07 20:53:12,,13.0,42.39999999999998,42.39999999999998,-2.11,25.0,233.0,28.5,94.5,50.0,80.0,89.5,2022,4,7,20,5.86,65.0
512.05,9.035,3,50.5202188,-84.8098702,9.035,2022-04-07 20:53:13,,13.0,42.200000000000045,42.200000000000045,-2.26,25.0,221.0,28.5,96.0,50.0,81.0,90.5,2022,4,7,20,5.86,65.0
520.91,8.934,3,50.5201296,-84.8098257,8.934,2022-04-07 20:53:14,,13.0,42.0,42.0,-2.64,25.0,238.0,28.5,96.0,50.0,81.0,90.5,2022,4,7,20,5.86,65.0
529.54,8.724,3,50.5200442,-84.8097771,8.724,2022-04-07 20:53:15,,13.0,42.0,42.0,-2.64,28.0,276.0,23.5,82.0,43.0,82.0,89.5,2022,4,7,20,5.86,65.0
538.32,8.757,3,50.5199569,-84.8097293,8.757,2022-04-07 20:53:16,,13.0,41.60000000000002,41.60000000000002,-2.26,28.0,299.0,23.0,81.0,42.0,83.0,89.5,2022,4,7,20,5.86,65.0
546.9,8.689,3,50.5198697,-84.809689,8.689,2022-04-07 20:53:17,,13.0,41.60000000000002,41.60000000000002,-2.16,27.0,300.0,24.5,85.5,43.0,83.0,88.5,2022,4,7,20,5.86,65.0
555.44,8.435,3,50.5197823,-84.8096513,8.435,2022-04-07 20:53:18,,13.0,41.39999999999998,41.39999999999998,-2.06,26.0,292.0,27.0,92.0,45.0,83.0,87.0,2022,4,7,20,5.86,65.0
563.92,8.222,3,50.5196953,-84.8096148,8.222,2022-04-07 20:53:19,,13.0,41.39999999999998,41.39999999999998,-1.65,25.0,283.0,29.0,96.5,46.0,84.0,86.0,2022,4,7,20,5.86,65.0
572.18,8.148,4,50.5196127,-84.8095723,8.148,2022-04-07 20:53:20,,13.0,41.39999999999998,41.39999999999998,-1.3,26.5,275.0,28.5,94.5,43.0,83.0,88.0,2022,4,7,20,5.86,65.0
580.64,8.182,4,50.5195304,-84.8095207,8.182,2022-04-07 20:53:21,,13.0,41.60000000000002,41.60000000000002,-0.85,27.5,267.0,28.0,92.0,40.0,83.0,90.0,2022,4,7,20,5.86,65.0
589.63,8.183,4,50.519441,-84.8094718,8.183,2022-04-07 20:53:22,,13.0,41.60000000000002,41.60000000000002,-0.25,28.0,293.0,28.0,91.0,39.0,83.0,91.0,2022,4,7,20,5.86,65.0
598.94,8.183,4,50.5193466,-84.8094271,8.183,2022-04-07 20:53:23,,13.0,41.60000000000002,41.60000000000002,0.0,28.0,328.0,27.5,91.0,40.0,85.0,91.0,2022,4,7,20,5.86,65.0
608.09,8.671,4,50.5192543,-84.8093816,8.671,2022-04-07 20:53:24,,13.0,41.39999999999998,41.39999999999998,0.0,27.5,322.0,27.0,91.0,44.0,88.0,91.0,2022,4,7,20,5.86,65.0
617.16,9.103,4,50.5191626,-84.8093375,9.103,2022-04-07 20:53:25,,13.0,41.39999999999998,41.39999999999998,0.0,27.5,315.0,26.0,91.0,47.0,91.0,91.0,2022,4,7,20,5.86,65.0
626.15,9.011,4,50.5190701,-84.8093006,9.011,2022-04-07 20:53:26,,13.0,41.39999999999998,41.39999999999998,0.0,27.5,325.0,26.0,91.0,47.0,92.0,91.0,2022,4,7,20,5.86,65.0
635.19,9.036,4,50.5189776,-84.809261,9.036,2022-04-07 20:53:27,,13.0,41.200000000000045,41.200000000000045,-0.2,27.5,328.0,26.0,91.0,47.0,91.0,91.0,2022,4,7,20,5.86,65.0
644.0,8.864,4,50.518888,-84.8092201,8.864,2022-04-07 20:53:28,,13.0,41.0,41.0,-0.88,27.5,329.0,26.0,91.0,47.0,91.0,91.0,2022,4,7,20,5.86,65.0
652.24,8.421,4,50.5188029,-84.8091874,8.421,2022-04-07 20:53:29,,13.0,40.60000000000002,40.60000000000002,-1.46,27.5,323.0,26.0,91.0,47.0,90.0,91.0,2022,4,7,20,5.86,65.0
660.39,8.219,4,50.5187189,-84.8091549,8.219,2022-04-07 20:53:30,,13.0,40.39999999999998,40.39999999999998,-1.55,27.5,300.0,26.0,91.0,47.0,89.0,91.0,2022,4,7,20,5.86,65.0
668.82,8.363,4,50.518633,-84.8091161,8.363,2022-04-07 20:53:31,,13.0,40.39999999999998,40.39999999999998,-1.78,27.5,324.0,26.0,91.0,47.0,89.0,91.0,2022,4,7,20,5.86,65.0
677.67,8.694,4,50.5185428,-84.8090759,8.694,2022-04-07 20:53:32,,13.0,40.39999999999998,40.39999999999998,-2.02,29.0,334.0,27.5,93.0,47.0,89.0,92.5,2022,4,7,20,5.86,65.0
686.5,8.788,4,50.5184522,-84.809038,8.788,2022-04-07 20:53:33,,13.0,40.39999999999998,40.39999999999998,-1.73,31.5,330.0,29.5,96.0,47.0,90.0,95.0,2022,4,7,20,5.86,65.0
695.01,8.614,4,50.5183651,-84.8090005,8.614,2022-04-07 20:53:34,,12.0,40.200000000000045,40.200000000000045,-1.3,32.0,316.0,30.0,97.0,47.0,90.0,95.5,2022,4,7,20,5.86,65.0
703.57,8.537,4,50.5182778,-84.8089618,8.537,2022-04-07 20:53:35,,12.0,40.39999999999998,40.39999999999998,-0.97,32.0,322.0,30.0,97.0,47.0,91.0,95.5,2022,4,7,20,5.86,65.0
712.16,8.549,4,50.5181906,-84.8089212,8.549,2022-04-07 20:53:36,,12.0,40.60000000000002,40.60000000000002,-0.4,32.0,324.0,30.0,97.0,47.0,92.0,95.5,2022,4,7,20,5.86,65.0
720.76,8.503,4,50.5181031,-84.8088813,8.503,2022-04-07 20:53:37,,12.0,40.60000000000002,40.60000000000002,0.0,31.0,312.0,29.5,96.0,47.0,93.0,95.0,2022,4,7,20,5.86,65.0
729.31,8.431,4,50.5180155,-84.8088445,8.431,2022-04-07 20:53:38,,12.0,40.60000000000002,40.60000000000002,0.16,29.5,289.0,28.5,94.5,47.0,93.0,93.5,2022,4,7,20,5.86,65.0
737.47,8.257,4,50.51793,-84.8088211,8.257,2022-04-07 20:53:39,,12.0,41.0,41.0,0.8,24.0,251.0,27.5,93.0,47.0,93.0,84.0,2022,4,7,20,5.86,65.0
745.65,8.21,3,50.5178449,-84.8087961,8.21,2022-04-07 20:53:40,,12.0,41.200000000000045,41.200000000000045,1.7,27.0,247.0,26.0,85.5,49.0,93.0,87.5,2022,4,7,20,5.86,65.0
754.43,8.64,3,50.5177604,-84.8087412,8.64,2022-04-07 20:53:41,,12.0,41.200000000000045,41.200000000000045,2.1,28.0,237.0,25.5,83.5,49.0,92.0,89.0,2022,4,7,20,5.86,65.0
763.55,8.95,3,50.5176807,-84.8086649,8.95,2022-04-07 20:53:42,,12.0,41.200000000000045,41.200000000000045,1.79,28.0,193.0,25.5,83.5,48.0,93.0,89.0,2022,4,7,20,5.86,65.0
772.67,8.865,3,50.5176057,-84.80858,8.865,2022-04-07 20:53:43,,12.0,41.60000000000002,41.60000000000002,1.51,24.0,189.0,24.0,80.5,47.0,93.0,82.0,2022,4,7,20,5.86,65.0
781.48,8.526,3,50.5175393,-84.8084896,8.526,2022-04-07 20:53:44,,12.0,41.799999999999955,41.799999999999955,1.58,20.0,187.0,22.0,77.5,45.0,92.0,74.5,2022,4,7,20,5.86,65.0
789.83,8.069,3,50.517481,-84.8083977,8.069,2022-04-07 20:53:45,,12.0,41.799999999999955,41.799999999999955,1.41,19.5,141.0,22.0,77.5,46.0,92.0,72.5,2022,4,7,20,5.86,65.0
797.73,7.618,3,50.5174244,-84.8083125,7.618,2022-04-07 20:53:46,,12.0,42.0,42.0,1.18,19.5,95.0,22.0,77.5,48.0,92.0,70.5,2022,4,7,20,5.86,65.0
804.88,7.106,3,50.5173718,-84.8082371,7.106,2022-04-07 20:53:47,,12.0,42.200000000000045,42.200000000000045,1.56,19.0,48.0,22.0,77.5,49.0,91.0,68.5,2022,4,7,20,5.86,65.0
811.69,6.611,3,50.5173222,-84.8081647,6.611,2022-04-07 20:53:48,,12.0,42.39999999999998,42.39999999999998,2.16,18.5,1.0,22.0,77.5,51.0,91.0,66.5,2022,4,7,20,5.86,65.0
818.45,6.418,3,50.5172752,-84.8080901,6.418,2022-04-07 20:53:49,,12.0,42.39999999999998,42.39999999999998,2.26,18.5,0.0,22.0,77.5,52.0,0.0,66.5,2022,4,7,20,5.86,65.0
824.9,6.372,3,50.5172325,-84.8080166,6.372,2022-04-07 20:53:50,,12.0,42.39999999999998,42.39999999999998,2.12,21.5,110.0,19.0,65.5,71.0,11.0,75.5,2022,4,7,20,5.86,65.0
831.1,6.318,3,50.5171926,-84.8079449,6.318,2022-04-07 20:53:51,,12.0,42.39999999999998,42.39999999999998,1.95,23.5,164.0,19.0,66.5,71.0,35.0,79.5,2022,4,7,20,5.86,65.0
837.14,6.05,3,50.5171537,-84.8078749,6.05,2022-04-07 20:53:52,,12.0,42.39999999999998,42.39999999999998,1.35,23.0,170.0,24.0,82.0,46.0,73.0,78.0,2022,4,7,20,5.86,65.0
842.94,5.707,3,50.5171119,-84.8078128,5.707,2022-04-07 20:53:53,,12.0,42.39999999999998,42.39999999999998,0.44,23.0,135.0,24.0,82.0,46.0,72.0,78.0,2022,4,7,20,5.86,65.0
847.73,4.766,3,50.5170723,-84.807769,4.766,2022-04-07 20:53:54,,12.0,42.39999999999998,42.39999999999998,0.0,23.0,78.0,24.0,82.0,46.0,69.0,78.0,2022,4,7,20,5.86,65.0
851.62,3.818,3,50.5170356,-84.8077428,3.818,2022-04-07 20:53:55,,12.0,42.60000000000002,42.60000000000002,0.0,20.0,63.0,23.5,81.0,47.0,67.0,68.0,2022,4,7,20,5.86,65.0
855.15,3.389,3,50.5170004,-84.8077408,3.389,2022-04-07 20:53:56,,12.0,42.39999999999998,42.39999999999998,0.0,15.5,65.0,23.5,79.0,49.0,65.0,54.5,2022,4,7,20,5.86,65.0
858.87,3.549,3,50.5169658,-84.8077672,3.549,2022-04-07 20:53:57,,12.0,42.39999999999998,42.39999999999998,0.0,11.5,67.0,23.0,77.5,50.0,63.0,40.5,2022,4,7,20,5.86,65.0
863.54,4.43,3,50.5169252,-84.8078067,4.43,2022-04-07 20:53:58,,12.0,42.200000000000045,42.200000000000045,0.0,15.5,132.0,23.0,78.5,50.0,54.0,53.5,2022,4,7,20,5.86,65.0
868.75,4.912,3,50.5168824,-84.8078552,4.912,2022-04-07 20:53:59,,12.0,42.0,42.0,-0.49,19.5,199.0,23.0,79.0,51.0,44.0,67.0,2022,4,7,20,5.86,65.0
874.03,5.112,3,50.5168407,-84.807907,5.112,2022-04-07 20:54:00,,12.0,41.799999999999955,41.799999999999955,-1.97,23.5,265.0,22.5,80.0,51.0,35.0,80.0,2022,4,7,20,5.86,65.0
879.61,5.412,3,50.5167952,-84.8079595,5.412,2022-04-07 20:54:01,,12.0,41.799999999999955,41.799999999999955,-3.12,27.5,331.0,22.5,81.0,52.0,25.0,93.5,2022,4,7,20,5.86,65.0
