distance,enhanced_speed,gps_accuracy,position_lat,position_long,speed,timestamp,battery_soc,cadence,calories,left_pedal_smoothness,left_right_balance,power,right_pedal_smoothness,right_torque_effectiveness,left_torque_effectiveness,temperature,altitude,ascent,descent,enhanced_altitude,grade,year,month,day,hour,wind_speed,wind_direction
58.29,5.055,3,50.5389508,-84.8215511,5.055,2023-01-19 23:52:09,,72.0,2.0,28.5,55.0,191.0,28.0,90.0,90.5,15.0,55.0,0.0,0.0,55.0,0.0,2023,1,19,23,3.96,43.0
64.06,5.69,3,50.5389089,-84.8214939,5.69,2023-01-19 23:52:10,,70.0,2.0,29.0,51.0,181.0,28.0,90.0,91.5,15.0,54.799999999999955,0.0,0.0,54.799999999999955,0.0,2023,1,19,23,3.96,43.0
70.72,6.174,3,50.5388538,-84.8214395,6.174,2023-01-19 23:52:11,,72.0,3.0,28.5,51.0,189.0,28.5,91.0,90.5,15.0,54.799999999999955,0.0,0.0,54.799999999999955,-0.01,2023,1,19,23,3.96,43.0
76.82,5.77,3,50.5388077,-84.8213783,5.77,2023-01-19 23:52:12,,74.0,3.0,27.5,50.0,230.0,29.5,92.0,88.5,15.0,54.60000000000002,0.0,0.0,54.60000000000002,-1.08,2023,1,19,23,3.96,43.0
82.35,5.635,3,50.5387632,-84.8213209,5.635,2023-01-19 23:52:13,,75.0,3.0,26.0,49.0,222.0,29.5,92.0,85.0,15.0,54.39999999999998,0.0,0.0,54.39999999999998,-1.32,2023,1,19,23,3.96,43.0
87.93,5.77,3,50.5387243,-84.8212596,5.77,2023-01-19 23:52:14,,76.0,3.0,23.0,47.0,212.0,27.5,87.0,77.0,15.0,54.39999999999998,0.0,1.0,54.39999999999998,-1.52,2023,1,19,23,3.96,43.0
93.42,5.802,3,50.5386946,-84.8211893,5.802,2023-01-19 23:52:15,,76.0,3.0,23.5,50.0,188.0,27.0,83.5,79.5,15.0,54.39999999999998,0.0,1.0,54.39999999999998,-1.58,2023,1,19,23,3.96,43.0
99.28,5.837,3,50.5386772,-84.8211099,5.837,2023-01-19 23:52:16,,76.0,3.0,24.5,52.0,167.0,26.0,80.5,82.5,15.0,54.200000000000045,0.0,1.0,54.200000000000045,-1.53,2023,1,19,23,3.96,43.0
105.52,6.08,3,50.5386669,-84.8210219,6.08,2023-01-19 23:52:17,,77.0,4.0,25.0,52.0,226.0,25.5,77.5,85.5,14.0,54.200000000000045,0.0,1.0,54.200000000000045,-1.45,2023,1,19,23,3.96,43.0
111.8,6.103,3,50.538648,-84.820931,6.103,2023-01-19 23:52:18,,78.0,4.0,25.5,50.0,237.0,25.5,77.0,88.0,14.0,54.200000000000045,0.0,1.0,54.200000000000045,-1.29,2023,1,19,23,3.96,43.0
118.35,6.468,3,50.5386185,-84.820846,6.468,2023-01-19 23:52:19,,81.0,4.0,26.5,49.0,243.0,28.0,87.5,89.0,14.0,54.200000000000045,0.0,1.0,54.200000000000045,0.0,2023,1,19,23,3.96,43.0
124.88,6.666,3,50.5385763,-84.82077,6.666,2023-01-19 23:52:20,,83.0,4.0,23.5,50.0,258.0,27.5,88.0,87.0,14.0,54.200000000000045,0.0,1.0,54.200000000000045,0.0,2023,1,19,23,3.96,43.0
131.33,6.803,3,50.5385344,-84.8206976,6.803,2023-01-19 23:52:21,,84.0,5.0,24.5,51.0,277.0,27.0,88.0,89.5,14.0,54.0,0.0,1.0,54.0,0.0,2023,1,19,23,3.96,43.0
137.36,6.971,3,50.5384934,-84.8206315,6.971,2023-01-19 23:52:22,,85.0,5.0,26.5,49.0,300.0,28.0,88.0,90.5,14.0,54.0,0.0,1.0,54.0,0.0,2023,1,19,23,3.96,43.0
143.4,6.934,2,50.5384492,-84.8205679,6.934,2023-01-19 23:52:23,,87.0,5.0,27.5,47.0,299.0,29.0,89.0,88.0,14.0,54.0,0.0,1.0,54.0,0.0,2023,1,19,23,3.96,43.0
150.36,7.102,2,50.5383937,-84.8204975,7.102,2023-01-19 23:52:24,,88.0,6.0,26.0,48.0,295.0,26.0,92.0,90.0,14.0,54.0,0.0,1.0,54.0,0.0,2023,1,19,23,3.96,43.0
156.54,7.176,2,50.5383445,-84.820438,7.176,2023-01-19 23:52:25,,90.0,6.0,25.5,46.0,285.0,26.5,93.5,85.5,14.0,54.200000000000045,0.0,1.0,54.200000000000045,0.0,2023,1,19,23,3.96,43.0
163.24,7.447,2,50.5382843,-84.8203848,7.447,2023-01-19 23:52:26,,91.0,6.0,25.0,44.0,254.0,26.0,91.5,82.0,14.0,54.200000000000045,0.0,1.0,54.200000000000045,0.0,2023,1,19,23,3.96,43.0
170.9,7.552,2,50.538218,-84.8203226,7.552,2023-01-19 23:52:27,,93.0,6.0,24.5,42.0,265.0,24.5,86.0,81.5,14.0,54.200000000000045,0.0,1.0,54.200000000000045,0.0,2023,1,19,23,3.96,43.0
178.44,7.412,2,50.5381544,-84.8202524,7.412,2023-01-19 23:52:28,,96.0,7.0,20.5,42.0,275.0,25.0,91.0,83.0,14.0,54.39999999999998,0.0,1.0,54.39999999999998,0.0,2023,1,19,23,3.96,43.0
185.78,7.631,2,50.5381008,-84.82018,7.631,2023-01-19 23:52:29,,96.0,7.0,23.0,50.0,256.0,26.5,89.5,83.5,14.0,54.200000000000045,0.0,1.0,54.200000000000045,0.0,2023,1,19,23,3.96,43.0
193.06,7.65,2,50.5380498,-84.8200992,7.65,2023-01-19 23:52:30,,96.0,7.0,26.0,49.0,244.0,28.5,87.0,84.0,14.0,54.200000000000045,0.0,1.0,54.200000000000045,0.0,2023,1,19,23,3.96,43.0
200.06,7.495,2,50.5380029,-84.820017,7.495,2023-01-19 23:52:31,,96.0,7.0,26.0,46.0,243.0,28.5,85.5,81.0,14.0,54.200000000000045,0.0,1.0,54.200000000000045,0.0,2023,1,19,23,3.96,43.0
206.95,7.475,2,50.5379612,-84.819936,7.475,2023-01-19 23:52:32,,96.0,8.0,22.5,46.0,231.0,26.0,84.5,72.5,14.0,54.39999999999998,0.0,1.0,54.39999999999998,0.0,2023,1,19,23,3.96,43.0
213.93,7.473,2,50.53792,-84.8198537,7.473,2023-01-19 23:52:33,,95.0,8.0,17.0,50.0,212.0,26.5,81.0,56.5,13.0,54.39999999999998,0.0,1.0,54.39999999999998,0.0,2023,1,19,23,3.96,43.0
221.24,7.299,2,50.537869,-84.8197716,7.299,2023-01-19 23:52:34,,95.0,8.0,20.0,54.0,186.0,22.5,73.5,69.0,13.0,54.60000000000002,0.0,1.0,54.60000000000002,0.0,2023,1,19,23,3.96,43.0
228.51,7.239,2,50.5378181,-84.8196903,7.239,2023-01-19 23:52:35,,94.0,8.0,23.5,52.0,172.0,23.0,75.0,80.0,13.0,54.60000000000002,0.0,1.0,54.60000000000002,0.0,2023,1,19,23,3.96,43.0
236.12,7.602,2,50.5377617,-84.8196088,7.602,2023-01-19 23:52:36,,95.0,8.0,25.0,50.0,231.0,25.0,80.5,83.0,13.0,54.60000000000002,0.0,1.0,54.60000000000002,0.0,2023,1,19,23,3.96,43.0
243.69,7.329,2,50.5377053,-84.8195327,7.329,2023-01-19 23:52:37,,95.0,9.0,24.0,50.0,234.0,26.0,84.0,79.0,13.0,54.60000000000002,0.0,1.0,54.60000000000002,0.0,2023,1,19,23,3.96,43.0
250.97,7.334,2,50.5376477,-84.8194603,7.334,2023-01-19 23:52:38,,95.0,9.0,23.5,51.0,232.0,26.0,84.0,79.0,13.0,54.799999999999955,0.0,1.0,54.799999999999955,0.0,2023,1,19,23,3.96,43.0
258.36,7.197,2,50.5375915,-84.819387,7.197,2023-01-19 23:52:39,,96.0,9.0,23.5,49.0,218.0,24.5,82.0,79.0,13.0,54.799999999999955,0.0,1.0,54.799999999999955,0.0,2023,1,19,23,3.96,43.0
264.91,6.747,2,50.5375402,-84.8193208,6.747,2023-01-19 23:52:40,,96.0,9.0,24.0,46.0,226.0,24.0,83.0,80.0,13.0,54.799999999999955,0.0,1.0,54.799999999999955,0.0,2023,1,19,23,3.96,43.0
271.47,6.956,2,50.5374906,-84.8192512,6.956,2023-01-19 23:52:41,,97.0,10.0,25.0,48.0,235.0,24.5,85.5,81.5,13.0,54.799999999999955,0.0,1.0,54.799999999999955,0.0,2023,1,19,23,3.96,43.0
278.85,7.413,2,50.5374369,-84.8191713,7.413,2023-01-19 23:52:42,,97.0,10.0,26.0,52.0,223.0,24.5,87.0,83.0,13.0,54.799999999999955,0.0,1.0,54.799999999999955,0.0,2023,1,19,23,3.96,43.0
286.66,7.664,3,50.5373787,-84.8190956,7.664,2023-01-19 23:52:43,,98.0,10.0,25.0,53.0,228.0,26.0,85.0,81.5,13.0,54.799999999999955,0.0,1.0,54.799999999999955,0.0,2023,1,19,23,3.96,43.0
294.17,7.55,3,50.5373201,-84.8190169,7.55,2023-01-19 23:52:44,,98.0,10.0,24.5,50.0,237.0,23.0,82.0,81.0,13.0,55.0,0.0,1.0,55.0,0.0,2023,1,19,23,3.96,43.0
301.38,7.162,3,50.5372584,-84.8189553,7.162,2023-01-19 23:52:45,,98.0,11.0,25.0,46.0,252.0,22.0,81.0,82.0,13.0,55.0,0.0,1.0,55.0,0.0,2023,1,19,23,3.96,43.0
308.57,7.41,3,50.537197,-84.8188932,7.41,2023-01-19 23:52:46,,99.0,11.0,25.0,47.0,245.0,24.0,83.5,84.0,13.0,55.0,0.0,1.0,55.0,0.0,2023,1,19,23,3.96,43.0
316.27,8.009,3,50.5371345,-84.8188229,8.009,2023-01-19 23:52:47,,98.0,11.0,24.0,51.0,235.0,23.5,84.5,81.5,13.0,54.799999999999955,0.0,1.0,54.799999999999955,0.0,2023,1,19,23,3.96,43.0
324.77,8.437,3,50.5370607,-84.8187499,8.437,2023-01-19 23:52:48,,97.0,11.0,25.0,50.0,232.0,23.5,82.5,85.5,13.0,54.799999999999955,0.0,1.0,54.799999999999955,0.0,2023,1,19,23,3.96,43.0
333.04,8.285,3,50.5369897,-84.8186702,8.285,2023-01-19 23:52:49,,98.0,12.0,26.0,50.0,238.0,23.5,80.5,90.0,12.0,54.799999999999955,0.0,1.0,54.799999999999955,0.0,2023,1,19,23,3.96,43.0
340.54,7.57,3,50.5369288,-84.8186023,7.57,2023-01-19 23:52:50,,98.0,12.0,27.0,48.0,251.0,25.5,84.0,92.0,12.0,54.799999999999955,0.0,1.0,54.799999999999955,0.0,2023,1,19,23,3.96,43.0
347.86,7.307,3,50.5368725,-84.8185316,7.307,2023-01-19 23:52:51,,99.0,12.0,27.5,46.0,255.0,28.5,91.5,88.5,12.0,54.799999999999955,0.0,1.0,54.799999999999955,0.0,2023,1,19,23,3.96,43.0
354.91,7.19,3,50.5368184,-84.8184594,7.19,2023-01-19 23:52:52,,99.0,12.0,23.5,45.0,231.0,28.0,91.0,71.5,12.0,54.799999999999955,0.0,1.0,54.799999999999955,0.0,2023,1,19,23,3.96,43.0
361.85,7.083,3,50.5367637,-84.818393,7.083,2023-01-19 23:52:53,,98.0,12.0,22.5,48.0,218.0,25.0,82.0,77.0,12.0,54.799999999999955,0.0,1.0,54.799999999999955,0.0,2023,1,19,23,3.96,43.0
369.09,7.235,3,50.5367026,-84.8183293,7.235,2023-01-19 23:52:54,,97.0,13.0,21.0,50.0,214.0,25.0,81.0,72.5,12.0,55.0,0.0,1.0,55.0,0.0,2023,1,19,23,3.96,43.0
376.57,7.24,3,50.5366356,-84.8182656,7.24,2023-01-19 23:52:55,,97.0,13.0,20.5,50.0,221.0,24.0,80.0,70.0,12.0,55.0,0.0,1.0,55.0,0.0,2023,1,19,23,3.96,43.0
384.21,7.388,3,50.5365674,-84.8182019,7.388,2023-01-19 23:52:56,,96.0,13.0,22.0,49.0,236.0,22.5,77.0,76.0,12.0,55.0,0.0,1.0,55.0,0.0,2023,1,19,23,3.96,43.0
392.0,7.466,3,50.5365019,-84.8181378,7.466,2023-01-19 23:52:57,,97.0,13.0,25.0,48.0,250.0,24.0,78.0,84.0,12.0,55.0,0.0,1.0,55.0,0.0,2023,1,19,23,3.96,43.0
399.79,7.528,3,50.5364318,-84.8180742,7.528,2023-01-19 23:52:58,,97.0,14.0,24.5,47.0,261.0,24.5,79.5,83.0,12.0,55.0,0.0,1.0,55.0,0.0,2023,1,19,23,3.96,43.0
407.54,7.365,3,50.536362,-84.8180102,7.365,2023-01-19 23:52:59,,98.0,14.0,24.0,48.0,269.0,25.0,81.0,81.5,12.0,55.0,0.0,1.0,55.0,0.0,2023,1,19,23,3.96,43.0
414.81,7.124,3,50.5362972,-84.8179533,7.124,2023-01-19 23:53:00,,98.0,14.0,23.5,49.0,275.0,24.5,81.0,78.5,12.0,55.200000000000045,0.0,1.0,55.200000000000045,0.0,2023,1,19,23,3.96,43.0
422.82,7.471,3,50.5362199,-84.8178984,7.471,2023-01-19 23:53:01,,99.0,15.0,23.5,50.0,271.0,24.0,79.5,74.0,12.0,55.200000000000045,0.0,1.0,55.200000000000045,0.0,2023,1,19,23,3.96,43.0
431.23,7.737,3,50.5361352,-84.8178573,7.737,2023-01-19 23:53:02,,98.0,15.0,20.0,52.0,249.0,24.0,79.5,72.0,12.0,55.200000000000045,0.0,1.0,55.200000000000045,0.0,2023,1,19,23,3.96,43.0
439.56,7.664,3,50.5360519,-84.8178142,7.664,2023-01-19 23:53:03,,99.0,15.0,22.5,54.0,239.0,24.0,78.0,79.5,12.0,55.0,0.0,1.0,55.0,0.0,2023,1,19,23,3.96,43.0
447.82,7.947,2,50.5359698,-84.8177752,7.947,2023-01-19 23:53:04,,100.0,15.0,23.0,48.0,261.0,24.5,83.5,82.5,12.0,55.0,0.0,1.0,55.0,0.0,2023,1,19,23,3.96,43.0
455.96,7.769,2,50.5358888,-84.8177327,7.769,2023-01-19 23:53:05,,100.0,16.0,23.0,50.0,263.0,25.5,86.0,84.0,11.0,54.799999999999955,0.0,1.0,54.799999999999955,0.0,2023,1,19,23,3.96,43.0
463.49,7.387,2,50.5358127,-84.8176887,7.387,2023-01-19 23:53:06,,100.0,16.0,23.5,56.0,254.0,26.5,84.0,84.5,11.0,54.799999999999955,0.0,1.0,54.799999999999955,0.0,2023,1,19,23,3.96,43.0
471.19,7.392,2,50.5357336,-84.8176486,7.392,2023-01-19 23:53:07,,98.0,16.0,24.5,59.0,254.0,26.0,87.5,85.0,11.0,54.799999999999955,0.0,1.0,54.799999999999955,0.0,2023,1,19,23,3.96,43.0
478.7,7.339,2,50.5356582,-84.8176115,7.339,2023-01-19 23:53:08,,98.0,16.0,23.0,52.0,263.0,25.0,86.5,79.0,11.0,54.799999999999955,0.0,1.0,54.799999999999955,0.0,2023,1,19,23,3.96,43.0
486.19,7.524,2,50.5355853,-84.8175751,7.524,2023-01-19 23:53:09,,98.0,17.0,21.5,53.0,272.0,24.5,85.0,73.0,11.0,54.799999999999955,0.0,1.0,54.799999999999955,0.0,2023,1,19,23,3.96,43.0
493.79,7.926,2,50.5355095,-84.8175258,7.926,2023-01-19 23:53:10,,98.0,17.0,20.0,44.0,281.0,23.5,84.0,67.0,11.0,54.799999999999955,0.0,1.0,54.799999999999955,0.0,2023,1,19,23,3.96,43.0
501.43,7.509,2,50.5354352,-84.8174776,7.509,2023-01-19 23:53:11,,97.0,17.0,19.5,41.0,252.0,23.5,83.5,64.5,11.0,54.799999999999955,0.0,1.0,54.799999999999955,0.0,2023,1,19,23,3.96,43.0
508.64,7.121,2,50.5353659,-84.8174322,7.121,2023-01-19 23:53:12,,98.0,17.0,22.0,45.0,270.0,25.0,85.5,72.0,11.0,54.60000000000002,0.0,1.0,54.60000000000002,0.0,2023,1,19,23,3.96,43.0
515.61,7.159,2,50.535298,-84.817387,7.159,2023-01-19 23:53:13,,98.0,18.0,24.5,45.0,297.0,26.5,88.0,79.5,11.0,54.60000000000002,0.0,1.0,54.60000000000002,0.0,2023,1,19,23,3.96,43.0
522.51,6.737,3,50.5352291,-84.8173541,6.737,2023-01-19 23:53:14,,98.0,18.0,25.5,48.0,281.0,26.5,87.0,84.0,11.0,54.799999999999955,0.0,1.0,54.799999999999955,0.0,2023,1,19,23,3.96,43.0
529.31,6.534,3,50.5351604,-84.81732,6.534,2023-01-19 23:53:15,,98.0,18.0,26.0,52.0,264.0,25.5,85.0,88.0,11.0,54.799999999999955,0.0,1.0,54.799999999999955,0.0,2023,1,19,23,3.96,43.0
536.04,6.593,2,50.5350961,-84.8172775,6.593,2023-01-19 23:53:16,,96.0,18.0,25.5,52.0,264.0,25.5,85.0,89.0,11.0,54.799999999999955,0.0,1.0,54.799999999999955,0.0,2023,1,19,23,3.96,43.0
543.21,6.685,2,50.535026,-84.8172386,6.685,2023-01-19 23:53:17,,94.0,19.0,22.0,51.0,263.0,29.0,90.5,82.5,11.0,55.0,0.0,1.0,55.0,0.0,2023,1,19,23,3.96,43.0
549.18,6.613,2,50.5349661,-84.8172021,6.613,2023-01-19 23:53:18,,93.0,19.0,23.5,54.0,252.0,29.0,90.5,84.5,11.0,55.0,0.0,1.0,55.0,0.0,2023,1,19,23,3.96,43.0
556.61,6.598,3,50.5348935,-84.8171595,6.598,2023-01-19 23:53:19,,91.0,19.0,21.5,43.0,239.0,27.0,87.5,75.5,11.0,55.0,0.0,1.0,55.0,0.0,2023,1,19,23,3.96,43.0
564.67,6.848,3,50.5348134,-84.8171202,6.848,2023-01-19 23:53:20,,90.0,19.0,18.0,43.0,167.0,25.5,85.0,63.5,11.0,55.200000000000045,0.0,1.0,55.200000000000045,0.0,2023,1,19,23,3.96,43.0
571.81,6.554,3,50.5347389,-84.8170836,6.554,2023-01-19 23:53:21,,88.0,19.0,17.0,46.0,137.0,24.0,81.5,58.5,11.0,55.200000000000045,0.0,1.0,55.200000000000045,0.0,2023,1,19,23,3.96,43.0
578.65,6.407,3,50.5346729,-84.8170409,6.407,2023-01-19 23:53:22,,87.0,20.0,16.0,49.0,131.0,18.0,68.0,57.0,10.0,55.200000000000045,0.0,1.0,55.200000000000045,0.0,2023,1,19,23,3.96,43.0
586.0,6.304,2,50.534599,-84.8170083,6.304,2023-01-19 23:53:23,,85.0,20.0,18.5,50.0,125.0,21.5,72.5,64.0,10.0,55.200000000000045,0.0,1.0,55.200000000000045,0.0,2023,1,19,23,3.96,43.0
593.41,6.253,2,50.5345209,-84.8169807,6.253,2023-01-19 23:53:24,,84.0,20.0,21.5,50.0,138.0,25.5,77.0,71.0,10.0,55.200000000000045,0.0,1.0,55.200000000000045,0.0,2023,1,19,23,3.96,43.0
600.34,6.143,2,50.5344479,-84.8169603,6.143,2023-01-19 23:53:25,,83.0,20.0,22.5,50.0,151.0,27.5,80.0,73.5,10.0,55.39999999999998,0.0,1.0,55.39999999999998,0.0,2023,1,19,23,3.96,43.0
607.13,6.6,2,50.534378,-84.816942,6.6,2023-01-19 23:53:26,,79.0,20.0,18.0,48.0,151.0,26.5,78.5,61.5,10.0,55.39999999999998,0.0,1.0,55.39999999999998,0.0,2023,1,19,23,3.96,43.0
613.41,6.4,2,50.5343127,-84.8169237,6.4,2023-01-19 23:53:27,,63.0,20.0,15.5,45.0,134.0,20.0,67.0,54.0,10.0,55.39999999999998,0.0,1.0,55.39999999999998,0.0,2023,1,19,23,3.96,43.0
619.12,5.877,2,50.5342521,-84.8168988,5.877,2023-01-19 23:53:28,,44.0,20.0,16.0,54.0,112.0,18.5,63.5,56.0,10.0,55.60000000000002,0.0,1.0,55.60000000000002,0.0,2023,1,19,23,3.96,43.0
624.19,5.258,2,50.5341996,-84.8168848,5.258,2023-01-19 23:53:29,,24.0,20.0,17.5,63.0,90.0,18.0,62.5,61.0,10.0,55.799999999999955,0.0,1.0,55.799999999999955,0.0,2023,1,19,23,3.96,43.0
628.21,4.356,2,50.5341566,-84.8168758,4.356,2023-01-19 23:53:30,,5.0,20.0,19.0,72.0,0.0,18.0,61.5,66.0,10.0,56.0,0.0,1.0,56.0,0.0,2023,1,19,23,3.96,43.0
631.54,3.594,2,50.5341221,-84.8168732,3.594,2023-01-19 23:53:31,,0.0,20.0,20.0,80.0,0.0,17.5,60.5,71.5,10.0,56.0,0.0,1.0,56.0,0.0,2023,1,19,23,3.96,43.0
634.58,3.177,2,50.5340904,-84.8168667,3.177,2023-01-19 23:53:32,,4.0,20.0,21.5,89.0,0.0,17.5,59.0,76.5,10.0,56.200000000000045,0.0,1.0,56.200000000000045,0.0,2023,1,19,23,3.96,43.0
637.71,3.141,2,50.5340582,-84.8168509,3.141,2023-01-19 23:53:33,,21.0,20.0,23.0,98.0,9.0,17.0,58.0,81.5,10.0,56.200000000000045,0.0,1.0,56.200000000000045,0.0,2023,1,19,23,3.96,43.0
641.33,3.499,2,50.534023,-84.816826,3.499,2023-01-19 23:53:34,,41.0,20.0,27.0,72.0,140.0,10.0,64.0,87.5,10.0,56.200000000000045,0.0,1.0,56.200000000000045,0.0,2023,1,19,23,3.96,43.0
645.52,4.016,2,50.5339835,-84.8167989,4.016,2023-01-19 23:53:35,,51.0,21.0,30.5,52.0,230.0,6.5,77.5,91.5,10.0,56.39999999999998,0.0,1.0,56.39999999999998,2.0,2023,1,19,23,3.96,43.0
650.42,4.671,2,50.533939,-84.8167581,4.671,2023-01-19 23:53:36,,56.0,21.0,27.5,51.0,291.0,31.0,90.0,86.0,10.0,56.39999999999998,1.0,1.0,56.39999999999998,2.26,2023,1,19,23,3.96,43.0
655.44,4.997,2,50.5338915,-84.8167202,4.997,2023-01-19 23:53:37,,61.0,21.0,25.0,53.0,320.0,27.5,88.0,87.5,10.0,56.39999999999998,1.0,1.0,56.39999999999998,2.23,2023,1,19,23,3.96,43.0
661.06,5.441,2,50.5338346,-84.81669,5.441,2023-01-19 23:53:38,,68.0,22.0,23.5,51.0,354.0,24.5,86.0,87.5,10.0,56.39999999999998,1.0,1.0,56.39999999999998,1.89,2023,1,19,23,3.96,43.0
667.16,5.9,2,50.5337745,-84.8166623,5.9,2023-01-19 23:53:39,,70.0,22.0,21.5,51.0,361.0,22.0,84.0,86.5,10.0,56.39999999999998,1.0,1.0,56.39999999999998,0.06,2023,1,19,23,3.96,43.0
673.35,6.113,2,50.5337118,-84.8166349,6.113,2023-01-19 23:53:40,,72.0,22.0,20.5,52.0,369.0,20.0,82.5,85.5,10.0,56.39999999999998,1.0,1.0,56.39999999999998,0.0,2023,1,19,23,3.96,43.0
679.69,6.279,2,50.5336481,-84.8166076,6.279,2023-01-19 23:53:41,,74.0,23.0,20.0,52.0,371.0,19.0,82.5,84.5,10.0,56.39999999999998,1.0,1.0,56.39999999999998,0.0,2023,1,19,23,3.96,43.0
686.3,6.517,2,50.5335809,-84.8165802,6.517,2023-01-19 23:53:42,,78.0,23.0,19.5,53.0,375.0,19.0,82.5,84.0,9.0,56.39999999999998,1.0,1.0,56.39999999999998,0.0,2023,1,19,23,3.96,43.0
693.31,6.911,2,50.53351,-84.8165466,6.911,2023-01-19 23:53:43,,81.0,24.0,20.0,54.0,410.0,19.0,82.5,85.5,9.0,56.60000000000002,1.0,1.0,56.60000000000002,0.0,2023,1,19,23,3.96,43.0
700.78,7.34,2,50.5334308,-84.8165103,7.34,2023-01-19 23:53:44,,87.0,24.0,22.0,54.0,472.0,19.0,82.5,88.5,9.0,56.60000000000002,1.0,1.0,56.60000000000002,0.0,2023,1,19,23,3.96,43.0
708.46,7.571,2,50.5333516,-84.8164736,7.571,2023-01-19 23:53:45,,91.0,25.0,27.5,53.0,518.0,20.0,85.0,91.5,9.0,56.60000000000002,1.0,1.0,56.60000000000002,0.0,2023,1,19,23,3.96,43.0
715.41,7.502,2,50.5332824,-84.8164456,7.502,2023-01-19 23:53:46,,93.0,25.0,27.5,46.0,534.0,23.5,90.5,92.5,9.0,56.60000000000002,1.0,1.0,56.60000000000002,0.0,2023,1,19,23,3.96,43.0
723.21,7.615,2,50.5332036,-84.8164109,7.615,2023-01-19 23:53:47,,96.0,26.0,27.0,43.0,466.0,27.0,96.0,93.5,9.0,56.60000000000002,1.0,1.0,56.60000000000002,0.0,2023,1,19,23,3.96,43.0
731.11,7.675,2,50.5331212,-84.8163736,7.675,2023-01-19 23:53:48,,96.0,26.0,28.0,43.0,453.0,29.0,98.0,95.5,9.0,56.799999999999955,1.0,1.0,56.799999999999955,0.0,2023,1,19,23,3.96,43.0
