cadence,calories,power,timestamp,altitude,ascent,battery_soc,descent,distance,enhanced_altitude,enhanced_speed,gps_accuracy,grade,position_lat,position_long,speed,left_pedal_smoothness,left_torque_effectiveness,right_pedal_smoothness,right_torque_effectiveness,left_right_balance,temperature,year,month,day,hour,wind_speed,wind_direction
0,0,0,2022-08-23 14:54:10,7.199999999999989,0.0,,0.0,53.28,7.199999999999989,2.675,2.0,0.0,50.5241351,-84.819933,2.675,26.0,90.0,22.5,78.0,48.0,26.0,2022,8,23,14,0.76,203.0
0,0,0,2022-08-23 14:54:11,7.199999999999989,0.0,,0.0,55.93,7.199999999999989,2.33,2.0,0.0,50.5241327,-84.8198967,2.33,25.5,91.0,22.0,77.0,48.0,26.0,2022,8,23,14,0.76,203.0
0,0,0,2022-08-23 14:54:12,7.199999999999989,0.0,,0.0,58.19,7.199999999999989,2.059,2.0,0.0,50.5241327,-84.8198648,2.059,25.5,91.5,21.5,76.0,49.0,26.0,2022,8,23,14,0.76,203.0
0,0,0,2022-08-23 14:54:13,7.199999999999989,0.0,,0.0,60.01,7.199999999999989,1.563,2.0,0.0,50.5241327,-84.8198374,1.563,25.5,92.0,21.0,75.0,49.0,26.0,2022,8,23,14,0.76,203.0
0,0,0,2022-08-23 14:54:14,7.199999999999989,0.0,,0.0,61.48,7.199999999999989,1.166,2.0,0.0,50.5241348,-84.8198139,1.166,25.5,93.0,20.5,74.0,50.0,26.0,2022,8,23,14,0.76,203.0
0,0,0,2022-08-23 14:54:15,7.199999999999989,0.0,,0.0,62.79,7.199999999999989,0.955,2.0,0.0,50.5241352,-84.819796,0.955,25.5,93.5,20.0,73.0,50.0,26.0,2022,8,23,14,0.76,203.0
0,0,0,2022-08-23 14:54:16,7.199999999999989,0.0,,0.0,64.58,7.199999999999989,1.521,2.0,0.0,50.5241286,-84.8197738,1.521,25.5,94.0,19.5,72.0,50.0,26.0,2022,8,23,14,0.76,203.0
0,0,0,2022-08-23 14:54:17,7.199999999999989,0.0,,0.0,67.34,7.199999999999989,2.65,2.0,0.0,50.5241257,-84.8197377,2.65,25.0,94.5,19.0,70.5,51.0,26.0,2022,8,23,14,0.76,203.0
0,0,0,2022-08-23 14:54:18,7.199999999999989,0.0,,0.0,70.81,7.199999999999989,3.44,2.0,0.0,50.5241281,-84.8196881,3.44,25.0,95.5,18.5,69.5,51.0,26.0,2022,8,23,14,0.76,203.0
10,0,10,2022-08-23 14:54:19,7.199999999999989,0.0,,0.0,74.87,7.199999999999989,3.903,2.0,0.0,50.5241281,-84.8196291,3.903,25.0,96.0,18.0,68.5,52.0,26.0,2022,8,23,14,0.76,203.0
41,0,47,2022-08-23 14:54:20,7.199999999999989,0.0,,0.0,78.98,7.199999999999989,4.049,2.0,0.0,50.5241281,-84.8195655,4.049,24.0,93.0,17.5,68.0,41.0,26.0,2022,8,23,14,0.76,203.0
48,0,85,2022-08-23 14:54:21,7.399999999999977,0.0,,0.0,83.06,7.399999999999977,4.067,2.0,0.0,50.5241281,-84.8195058,4.067,21.5,82.0,17.5,68.5,30.0,26.0,2022,8,23,14,0.76,203.0
53,1,150,2022-08-23 14:54:22,7.399999999999977,0.0,,0.0,87.43,7.399999999999977,4.289,2.0,0.0,50.524126,-84.8194429,4.289,21.5,80.0,20.0,75.5,41.0,26.0,2022,8,23,14,0.76,203.0
55,1,144,2022-08-23 14:54:23,7.199999999999989,0.0,,0.0,92.38,7.199999999999989,4.798,2.0,0.0,50.5241195,-84.8193706,4.798,21.5,78.0,23.0,82.5,52.0,26.0,2022,8,23,14,0.76,203.0
57,1,124,2022-08-23 14:54:24,7.199999999999989,0.0,,0.0,97.52,7.199999999999989,5.193,2.0,0.0,50.5241107,-84.8193003,5.193,23.0,80.5,25.0,87.0,51.0,26.0,2022,8,23,14,0.76,203.0
64,1,144,2022-08-23 14:54:25,7.199999999999989,0.0,,0.0,103.09,7.199999999999989,5.523,2.0,0.0,50.5241054,-84.8192247,5.523,26.0,86.5,26.0,90.0,47.0,26.0,2022,8,23,14,0.76,203.0
70,1,222,2022-08-23 14:54:26,7.199999999999989,0.0,,0.0,109.18,7.199999999999989,5.723,2.0,0.0,50.5241075,-84.819134,5.723,29.0,92.5,27.5,93.0,44.0,26.0,2022,8,23,14,0.76,203.0
74,2,249,2022-08-23 14:54:27,7.199999999999989,0.0,,0.0,115.17,7.199999999999989,5.935,2.0,0.0,50.524112,-84.8190435,5.935,31.5,97.0,29.0,92.0,40.0,26.0,2022,8,23,14,0.76,203.0
77,2,249,2022-08-23 14:54:28,7.199999999999989,0.0,,0.0,121.68,7.199999999999989,6.373,2.0,0.0,50.5241145,-84.8189525,6.373,30.5,95.5,29.0,92.0,39.0,26.0,2022,8,23,14,0.76,203.0
78,2,240,2022-08-23 14:54:29,7.199999999999989,0.0,,0.0,128.38,7.199999999999989,6.611,2.0,0.0,50.5241145,-84.8188569,6.611,29.0,94.0,29.0,93.0,45.0,26.0,2022,8,23,14,0.76,203.0
80,2,233,2022-08-23 14:54:30,7.199999999999989,0.0,,0.0,134.85,7.199999999999989,6.502,2.0,0.0,50.5241124,-84.818761,6.502,27.5,92.5,28.0,93.0,46.0,26.0,2022,8,23,14,0.76,203.0
84,3,272,2022-08-23 14:54:31,7.199999999999989,0.0,,0.0,141.49,7.199999999999989,6.595,2.0,0.0,50.5241099,-84.8186657,6.595,25.5,89.5,26.5,90.5,41.0,26.0,2022,8,23,14,0.76,203.0
87,3,319,2022-08-23 14:54:32,7.199999999999989,0.0,,0.0,148.49,7.199999999999989,6.9,2.0,0.0,50.524112,-84.8185656,6.9,25.0,90.0,26.5,90.5,37.0,26.0,2022,8,23,14,0.76,203.0
89,3,307,2022-08-23 14:54:33,7.199999999999989,0.0,,0.0,155.51,7.199999999999989,6.894,2.0,0.0,50.5241145,-84.8184652,6.894,23.0,85.5,27.5,93.0,36.0,26.0,2022,8,23,14,0.76,203.0
90,3,260,2022-08-23 14:54:34,7.399999999999977,0.0,,0.0,162.63,7.399999999999977,6.954,2.0,0.0,50.5241145,-84.8183611,6.954,22.5,83.0,27.5,91.0,41.0,26.0,2022,8,23,14,0.76,203.0
90,4,222,2022-08-23 14:54:35,7.399999999999977,0.0,,0.0,169.88,7.399999999999977,7.075,2.0,0.0,50.5241166,-84.8182524,7.075,23.5,82.5,26.0,85.5,48.0,26.0,2022,8,23,14,0.76,203.0
90,4,176,2022-08-23 14:54:36,7.399999999999977,0.0,,0.0,177.24,7.399999999999977,7.094,2.0,0.0,50.524119,-84.8181471,7.094,20.5,81.0,24.0,78.0,54.0,26.0,2022,8,23,14,0.76,203.0
92,4,174,2022-08-23 14:54:37,7.399999999999977,0.0,,0.0,184.64,7.399999999999977,7.237,2.0,0.0,50.524119,-84.8180439,7.237,22.5,79.0,23.0,80.5,57.0,26.0,2022,8,23,14,0.76,203.0
92,4,174,2022-08-23 14:54:38,7.399999999999977,0.0,,0.0,192.16,7.399999999999977,7.305,2.0,0.0,50.524119,-84.8179352,7.305,22.0,75.0,22.0,77.5,55.0,26.0,2022,8,23,14,0.76,203.0
93,4,165,2022-08-23 14:54:39,7.399999999999977,0.0,,0.0,199.87,7.399999999999977,7.483,2.0,0.0,50.524119,-84.8178204,7.483,20.0,70.5,20.5,70.5,53.0,26.0,2022,8,23,14,0.76,203.0
93,4,154,2022-08-23 14:54:40,7.399999999999977,0.0,,0.0,207.58,7.399999999999977,7.61,2.0,0.0,50.524117,-84.8177061,7.61,19.5,69.0,20.0,70.0,49.0,26.0,2022,8,23,14,0.76,203.0
91,5,154,2022-08-23 14:54:41,7.399999999999977,0.0,,0.0,215.07,7.399999999999977,7.383,2.0,0.0,50.5241124,-84.8176014,7.383,19.5,67.5,20.0,69.5,41.0,26.0,2022,8,23,14,0.76,203.0
89,5,162,2022-08-23 14:54:42,7.399999999999977,0.0,,0.0,222.3,7.399999999999977,7.113,2.0,0.0,50.5241099,-84.8174978,7.113,22.0,76.0,19.5,72.0,48.0,26.0,2022,8,23,14,0.76,203.0
90,5,172,2022-08-23 14:54:43,7.399999999999977,0.0,,0.0,229.64,7.399999999999977,7.12,2.0,0.0,50.5241079,-84.8173877,7.12,22.5,76.5,21.0,78.5,40.0,26.0,2022,8,23,14,0.76,203.0
90,5,189,2022-08-23 14:54:44,7.399999999999977,0.0,,0.0,237.16,7.399999999999977,7.212,2.0,0.0,50.5241012,-84.8172781,7.212,20.5,69.0,22.0,82.5,41.0,26.0,2022,8,23,14,0.76,203.0
90,5,179,2022-08-23 14:54:45,7.399999999999977,0.0,,0.0,244.83,7.399999999999977,7.441,2.0,0.0,50.5240963,-84.8171695,7.441,17.5,61.0,20.5,78.0,49.0,25.0,2022,8,23,14,0.76,203.0
90,5,135,2022-08-23 14:54:46,7.399999999999977,0.0,,0.0,252.63,7.399999999999977,7.686,2.0,0.0,50.5240922,-84.8170564,7.686,18.0,63.0,20.0,75.5,56.0,25.0,2022,8,23,14,0.76,203.0
90,5,131,2022-08-23 14:54:47,7.399999999999977,0.0,,0.0,260.77,7.399999999999977,8.002,2.0,0.0,50.5240851,-84.8169377,8.002,18.5,65.0,20.0,73.5,50.0,25.0,2022,8,23,14,0.76,203.0
93,6,145,2022-08-23 14:54:48,7.199999999999989,0.0,,0.0,269.07,7.199999999999989,8.182,2.0,0.0,50.5240805,-84.8168189,8.182,18.5,66.5,19.5,71.0,48.0,25.0,2022,8,23,14,0.76,203.0
94,6,164,2022-08-23 14:54:49,7.0,0.0,,0.0,277.21,7.0,8.065,2.0,0.0,50.5240802,-84.8167003,8.065,19.5,71.0,19.0,68.0,47.0,25.0,2022,8,23,14,0.76,203.0
92,6,166,2022-08-23 14:54:50,7.0,0.0,,0.0,285.39,7.0,8.177,2.0,0.0,50.5240847,-84.8165818,8.177,20.5,78.5,17.5,65.0,48.0,25.0,2022,8,23,14,0.76,203.0
92,6,142,2022-08-23 14:54:51,7.0,0.0,,0.0,293.63,7.0,8.185,2.0,0.0,50.5240893,-84.8164636,8.185,20.0,68.0,19.0,69.0,55.0,25.0,2022,8,23,14,0.76,203.0
93,6,136,2022-08-23 14:54:52,6.800000000000011,0.0,,0.0,301.73,6.800000000000011,7.971,2.0,0.0,50.5240917,-84.8163454,7.971,22.5,71.0,19.5,69.5,53.0,25.0,2022,8,23,14,0.76,203.0
94,6,137,2022-08-23 14:54:53,6.800000000000011,0.0,,0.0,309.95,6.800000000000011,7.993,2.0,0.0,50.5240938,-84.8162272,7.993,21.0,69.0,18.5,66.0,51.0,25.0,2022,8,23,14,0.76,203.0
95,7,139,2022-08-23 14:54:54,6.800000000000011,0.0,,0.0,318.39,6.800000000000011,8.24,2.0,0.0,50.5240963,-84.8161047,8.24,18.5,64.5,17.5,62.0,51.0,25.0,2022,8,23,14,0.76,203.0
96,7,150,2022-08-23 14:54:55,6.800000000000011,0.0,,0.0,327.19,6.800000000000011,8.595,2.0,0.0,50.5240984,-84.8159778,8.595,19.5,66.5,17.5,62.5,52.0,25.0,2022,8,23,14,0.76,203.0
96,7,143,2022-08-23 14:54:56,6.800000000000011,0.0,,0.0,336.39,6.800000000000011,8.822,2.0,0.0,50.524105,-84.8158466,8.822,18.0,63.5,19.0,69.0,53.0,25.0,2022,8,23,14,0.76,203.0
96,7,139,2022-08-23 14:54:57,6.800000000000011,0.0,,0.0,345.61,6.800000000000011,8.726,2.0,0.0,50.524112,-84.8157132,8.726,19.0,65.5,15.5,60.0,55.0,25.0,2022,8,23,14,0.76,203.0
96,7,139,2022-08-23 14:54:58,6.600000000000023,0.0,,0.0,354.69,6.600000000000023,8.684,2.0,0.0,50.5241166,-84.8155814,8.684,19.0,65.0,15.0,58.0,54.0,25.0,2022,8,23,14,0.76,203.0
96,7,140,2022-08-23 14:54:59,6.600000000000023,0.0,,0.0,363.55,6.600000000000023,8.636,2.0,0.0,50.5241211,-84.8154505,8.636,18.5,63.5,16.5,60.5,51.0,25.0,2022,8,23,14,0.76,203.0
96,7,148,2022-08-23 14:55:00,6.600000000000023,0.0,,0.0,372.29,6.600000000000023,8.52,2.0,0.0,50.5241256,-84.815324,8.52,19.0,64.5,16.5,59.0,46.0,25.0,2022,8,23,14,0.76,203.0
95,8,146,2022-08-23 14:55:01,6.600000000000023,0.0,,0.0,381.09,6.600000000000023,8.452,2.0,0.0,50.5241281,-84.8151996,8.452,16.5,57.5,19.0,71.5,41.0,25.0,2022,8,23,14,0.76,203.0
91,8,164,2022-08-23 14:55:02,6.600000000000023,0.0,,0.0,389.53,6.600000000000023,8.179,2.0,0.0,50.5241281,-84.8150809,8.179,19.5,69.0,20.5,76.0,54.0,25.0,2022,8,23,14,0.76,203.0
89,8,194,2022-08-23 14:55:03,6.399999999999977,0.0,,0.0,397.7,6.399999999999977,8.136,2.0,0.0,50.5241261,-84.8149625,8.136,24.0,84.0,22.0,79.0,57.0,25.0,2022,8,23,14,0.76,203.0
90,8,216,2022-08-23 14:55:04,6.600000000000023,0.0,,0.0,406.15,6.600000000000023,8.283,2.0,0.0,50.5241236,-84.8148398,8.283,25.0,88.5,23.5,82.0,52.0,25.0,2022,8,23,14,0.76,203.0
90,8,220,2022-08-23 14:55:05,6.600000000000023,0.0,,0.0,414.78,6.600000000000023,8.37,2.0,0.0,50.5241236,-84.8147126,8.37,21.0,75.0,25.0,84.0,46.0,25.0,2022,8,23,14,0.76,203.0
89,9,216,2022-08-23 14:55:06,6.800000000000011,0.0,,0.0,423.36,6.800000000000011,8.457,2.0,0.0,50.5241216,-84.8145863,8.457,25.0,85.5,24.0,79.0,47.0,25.0,2022,8,23,14,0.76,203.0
89,9,217,2022-08-23 14:55:07,6.800000000000011,0.0,,0.0,431.97,6.800000000000011,8.343,2.0,0.0,50.524117,-84.8144627,8.343,24.5,89.5,23.5,82.0,47.0,25.0,2022,8,23,14,0.76,203.0
89,9,220,2022-08-23 14:55:08,7.0,0.0,,0.0,440.49,7.0,8.199,2.0,0.0,50.5241166,-84.8143394,8.199,25.5,91.5,23.0,83.0,50.0,25.0,2022,8,23,14,0.76,203.0
89,9,223,2022-08-23 14:55:09,7.0,0.0,,0.0,449.16,7.0,8.432,2.0,0.0,50.524119,-84.8142113,8.432,26.5,89.0,23.0,82.0,50.0,25.0,2022,8,23,14,0.76,203.0
90,9,206,2022-08-23 14:55:10,7.0,0.0,,0.0,457.96,7.0,8.504,2.0,0.0,50.524119,-84.8140839,8.504,23.5,81.5,23.0,82.0,48.0,25.0,2022,8,23,14,0.76,203.0
90,10,212,2022-08-23 14:55:11,7.199999999999989,0.0,,0.0,466.67,7.199999999999989,8.341,2.0,0.0,50.524117,-84.8139609,8.341,26.0,90.5,22.5,80.0,45.0,25.0,2022,8,23,14,0.76,203.0
90,10,209,2022-08-23 14:55:12,7.199999999999989,0.0,,0.0,475.26,7.199999999999989,8.356,2.0,0.0,50.5241145,-84.8138387,8.356,25.5,87.0,22.0,77.5,42.0,25.0,2022,8,23,14,0.76,203.0
90,10,197,2022-08-23 14:55:13,7.399999999999977,0.0,,0.0,483.74,7.399999999999977,8.3,2.0,0.0,50.5241166,-84.8137149,8.3,24.0,81.5,21.0,75.5,44.0,25.0,2022,8,23,14,0.76,203.0
89,10,189,2022-08-23 14:55:14,7.399999999999977,0.0,,0.0,492.26,7.399999999999977,8.13,2.0,0.0,50.5241211,-84.8135924,8.13,22.5,76.0,20.5,73.5,44.0,25.0,2022,8,23,14,0.76,203.0
88,10,163,2022-08-23 14:55:15,7.600000000000023,0.0,,0.0,500.58,7.600000000000023,7.938,2.0,0.0,50.5241236,-84.8134692,7.938,21.0,73.0,21.0,75.5,41.0,25.0,2022,8,23,14,0.76,203.0
87,11,164,2022-08-23 14:55:16,7.800000000000011,0.0,,0.0,508.83,7.800000000000011,8.215,2.0,0.0,50.5241256,-84.8133483,8.215,20.0,70.0,22.0,77.5,51.0,25.0,2022,8,23,14,0.76,203.0
88,11,190,2022-08-23 14:55:17,8.0,0.0,,0.0,517.59,8.0,8.728,2.0,0.0,50.5241301,-84.8132222,8.728,23.0,80.0,22.0,78.5,51.0,25.0,2022,8,23,14,0.76,203.0
88,11,247,2022-08-23 14:55:18,8.0,0.0,,0.0,526.95,8.0,8.808,3.0,0.0,50.5241327,-84.8130882,8.808,27.5,93.0,22.5,79.5,50.0,25.0,2022,8,23,14,0.76,203.0
89,11,275,2022-08-23 14:55:19,8.0,0.0,,0.0,536.24,8.0,8.496,2.0,0.0,50.5241369,-84.812955,8.496,29.0,95.5,23.0,82.5,45.0,25.0,2022,8,23,14,0.76,203.0
64,11,277,2022-08-23 14:55:20,8.199999999999989,0.0,,0.0,545.29,8.199999999999989,8.24,2.0,0.0,50.5241481,-84.8128276,8.24,25.0,84.0,25.0,85.0,38.0,25.0,2022,8,23,14,0.76,203.0
35,11,276,2022-08-23 14:55:21,8.199999999999989,0.0,,0.0,553.8,8.199999999999989,7.66,2.0,0.0,50.5241533,-84.8127044,7.66,20.5,73.0,27.0,88.0,30.0,25.0,2022,8,23,14,0.76,203.0
5,11,274,2022-08-23 14:55:22,8.399999999999977,0.0,,0.0,561.21,8.399999999999977,6.509,2.0,0.0,50.5241488,-84.8125945,6.509,16.0,67.5,26.0,85.5,22.0,25.0,2022,8,23,14,0.76,203.0
0,11,0,2022-08-23 14:55:23,8.600000000000023,0.0,,0.0,567.48,8.600000000000023,5.387,2.0,0.0,50.5241463,-84.812503,5.387,11.0,66.0,24.0,79.5,15.0,25.0,2022,8,23,14,0.76,203.0
19,11,1,2022-08-23 14:55:24,8.800000000000011,2.0,85.0,0.0,572.99,8.800000000000011,5.169,2.0,0.9,50.5241443,-84.8124253,5.169,5.5,64.5,21.5,74.0,7.0,25.0,2022,8,23,14,0.76,203.0
21,11,28,2022-08-23 14:55:25,8.800000000000011,2.0,,0.0,578.18,8.800000000000011,5.333,2.0,1.2,50.5241439,-84.8123522,5.333,0.5,62.5,19.5,68.0,10.0,25.0,2022,8,23,14,0.76,203.0
30,12,73,2022-08-23 14:55:26,9.0,2.0,,0.0,583.52,9.0,5.33,2.0,1.28,50.5241484,-84.8122753,5.33,12.0,61.0,5.5,68.0,90.0,25.0,2022,8,23,14,0.76,203.0
45,12,94,2022-08-23 14:55:27,9.0,3.0,,0.0,589.15,9.0,5.56,2.0,1.44,50.524153,-84.8121934,5.56,23.5,78.0,8.5,68.5,70.0,25.0,2022,8,23,14,0.76,203.0
61,12,114,2022-08-23 14:55:28,9.0,3.0,,0.0,594.49,9.0,5.394,2.0,1.58,50.5241533,-84.8121155,5.394,29.5,96.0,21.0,76.5,52.0,25.0,2022,8,23,14,0.76,203.0
56,12,134,2022-08-23 14:55:29,9.199999999999989,3.0,,0.0,599.22,9.199999999999989,4.902,2.0,1.64,50.5241467,-84.812047,4.902,29.5,96.0,30.0,93.0,49.0,25.0,2022,8,23,14,0.76,203.0
68,12,180,2022-08-23 14:55:30,9.199999999999989,3.0,,0.0,604.07,9.199999999999989,4.872,2.0,1.62,50.5241167,-84.8119959,4.872,26.0,94.0,22.0,88.0,51.0,25.0,2022,8,23,14,0.76,203.0
74,12,233,2022-08-23 14:55:31,9.199999999999989,3.0,,0.0,609.32,9.199999999999989,5.149,2.0,1.54,50.5240641,-84.8119637,5.149,21.0,75.5,22.0,87.0,53.0,25.0,2022,8,23,14,0.76,203.0
75,13,255,2022-08-23 14:55:32,9.199999999999989,3.0,,0.0,614.39,9.199999999999989,5.226,2.0,1.43,50.5240142,-84.8119375,5.226,21.0,73.5,22.0,83.5,56.0,25.0,2022,8,23,14,0.76,203.0
77,13,265,2022-08-23 14:55:33,9.399999999999977,3.0,,0.0,619.8,9.399999999999977,5.731,2.0,1.28,50.5239607,-84.8119071,5.731,29.5,98.5,21.5,78.0,53.0,25.0,2022,8,23,14,0.76,203.0
78,13,279,2022-08-23 14:55:34,9.399999999999977,3.0,,0.0,625.85,9.399999999999977,6.215,2.0,1.2,50.5239013,-84.811873,6.215,29.5,96.5,27.0,93.5,42.0,25.0,2022,8,23,14,0.76,203.0
79,14,263,2022-08-23 14:55:35,9.600000000000023,3.0,,0.0,631.96,9.600000000000023,6.21,2.0,1.14,50.5238399,-84.8118456,6.21,31.5,95.5,30.5,93.5,43.0,25.0,2022,8,23,14,0.76,203.0
79,14,244,2022-08-23 14:55:36,9.600000000000023,3.0,,0.0,638.28,9.600000000000023,6.199,2.0,1.11,50.5237757,-84.8118138,6.199,31.0,96.0,31.0,93.0,42.0,25.0,2022,8,23,14,0.76,203.0
79,14,232,2022-08-23 14:55:37,9.800000000000011,3.0,,0.0,644.37,9.800000000000011,5.958,2.0,1.13,50.5237144,-84.8117818,5.958,28.5,93.0,28.5,89.0,41.0,25.0,2022,8,23,14,0.76,203.0
67,14,185,2022-08-23 14:55:38,9.800000000000011,3.0,,0.0,650.34,9.800000000000011,5.941,2.0,1.19,50.5236551,-84.8117544,5.941,23.0,81.5,22.5,78.5,42.0,25.0,2022,8,23,14,0.76,203.0
73,14,153,2022-08-23 14:55:39,10.0,3.0,,0.0,655.41,10.0,5.847,2.0,1.28,50.5236084,-84.8117188,5.847,18.0,62.0,16.5,62.5,43.0,25.0,2022,8,23,14,0.76,203.0
77,15,186,2022-08-23 14:55:40,10.0,4.0,,0.0,660.18,10.0,5.915,2.0,1.36,50.5235666,-84.8116818,5.915,25.5,83.0,26.5,85.5,43.0,25.0,2022,8,23,14,0.76,203.0
80,15,219,2022-08-23 14:55:41,10.199999999999989,4.0,,0.0,666.3,10.199999999999989,6.313,2.0,1.43,50.5235056,-84.8116544,6.313,26.0,87.0,29.0,94.0,43.0,25.0,2022,8,23,14,0.76,203.0
85,15,241,2022-08-23 14:55:42,10.199999999999989,4.0,,0.0,673.95,10.199999999999989,6.805,2.0,1.48,50.5234285,-84.8116144,6.805,25.0,86.0,29.0,91.5,43.0,25.0,2022,8,23,14,0.76,203.0
87,15,305,2022-08-23 14:55:43,10.399999999999977,4.0,,0.0,682.39,10.399999999999977,7.242,2.0,1.5,50.5233441,-84.8115639,7.242,27.0,94.0,31.5,89.0,41.0,25.0,2022,8,23,14,0.76,203.0
90,16,328,2022-08-23 14:55:44,10.399999999999977,4.0,,0.0,690.51,10.399999999999977,7.357,2.0,1.48,50.5232644,-84.8115185,7.357,26.5,92.0,30.0,90.5,39.0,25.0,2022,8,23,14,0.76,203.0
92,16,325,2022-08-23 14:55:45,10.399999999999977,4.0,,0.0,698.88,10.399999999999977,7.365,2.0,1.37,50.5231828,-84.811473,7.365,26.0,90.0,28.0,92.5,44.0,25.0,2022,8,23,14,0.76,203.0
93,16,339,2022-08-23 14:55:46,10.399999999999977,4.0,,0.0,707.5,10.399999999999977,7.404,2.0,1.22,50.5230963,-84.8114274,7.404,26.5,91.5,27.5,92.0,40.0,25.0,2022,8,23,14,0.76,203.0
95,17,350,2022-08-23 14:55:47,10.600000000000023,4.0,,0.0,715.77,10.600000000000023,7.169,2.0,1.06,50.5230139,-84.8113776,7.169,27.0,94.5,28.5,92.5,42.0,25.0,2022,8,23,14,0.76,203.0
96,17,352,2022-08-23 14:55:48,10.800000000000011,4.0,,0.0,723.48,10.800000000000011,6.757,2.0,0.94,50.5229404,-84.811327,6.757,27.5,95.0,30.5,95.0,46.0,25.0,2022,8,23,14,0.76,203.0
96,17,347,2022-08-23 14:55:49,10.800000000000011,4.0,,0.0,730.78,10.800000000000011,6.985,2.0,0.91,50.5228679,-84.8112858,6.985,24.5,87.0,30.5,95.0,46.0,25.0,2022,8,23,14,0.76,203.0
96,18,340,2022-08-23 14:55:50,11.0,4.0,,0.0,738.62,11.0,7.596,2.0,0.94,50.5227869,-84.8112496,7.596,24.5,88.0,30.5,95.0,41.0,25.0,2022,8,23,14,0.76,203.0
96,18,324,2022-08-23 14:55:51,11.0,5.0,,0.0,747.03,11.0,7.558,2.0,1.01,50.5227004,-84.8112132,7.558,23.5,84.5,29.5,93.5,42.0,25.0,2022,8,23,14,0.76,203.0
