cadence,calories,distance,enhanced_speed,gps_accuracy,position_lat,position_long,power,speed,timestamp,battery_soc,left_pedal_smoothness,left_torque_effectiveness,right_pedal_smoothness,right_torque_effectiveness,temperature,left_right_balance,altitude,ascent,descent,enhanced_altitude,grade,year,month,day,hour,wind_speed,wind_direction
74,2,128.8,6.871,3,50.5133496,-84.8132263,179,6.871,2023-04-27 14:32:08,,18.5,63.0,22.0,79.0,19.0,49.0,,,,,,2023,4,27,14,2.56,149.0
55,2,135.39,6.83,3,50.5133907,-84.8131508,149,6.83,2023-04-27 14:32:09,,17.5,61.0,19.5,79.0,19.0,49.0,,,,,,2023,4,27,14,2.56,149.0
36,2,142.98,6.839,4,50.5134415,-84.8130651,119,6.839,2023-04-27 14:32:10,,18.0,63.0,13.5,85.5,19.0,49.0,,,,,,2023,4,27,14,2.56,149.0
54,2,149.74,6.795,3,50.5134847,-84.8129834,88,6.795,2023-04-27 14:32:11,,18.0,64.5,7.5,92.0,19.0,50.0,,,,,,2023,4,27,14,2.56,149.0
77,2,156.7,6.874,3,50.513526,-84.8129009,105,6.874,2023-04-27 14:32:12,,18.5,66.5,1.5,98.5,19.0,50.0,,,,,,2023,4,27,14,2.56,149.0
67,3,163.58,6.878,3,50.5135671,-84.8128185,130,6.878,2023-04-27 14:32:13,,18.5,67.5,15.0,87.0,19.0,50.0,,,,,,2023,4,27,14,2.56,149.0
48,3,170.17,6.673,3,50.5136035,-84.8127369,151,6.673,2023-04-27 14:32:14,,19.0,69.0,23.5,79.0,19.0,,,,,,,2023,4,27,14,2.56,149.0
28,3,176.44,6.367,3,50.5136353,-84.8126549,171,6.367,2023-04-27 14:32:15,,20.0,70.5,23.0,79.0,19.0,,,,,,,2023,4,27,14,2.56,149.0
9,3,181.94,5.713,3,50.5136605,-84.812582,191,5.713,2023-04-27 14:32:16,,21.0,72.5,23.0,78.5,19.0,,,,,,,2023,4,27,14,2.56,149.0
0,3,186.42,4.8,3,50.5136807,-84.8125276,0,4.8,2023-04-27 14:32:17,,22.0,74.0,23.0,78.0,19.0,,,,,,,2023,4,27,14,2.56,149.0
0,3,190.07,3.922,3,50.5137014,-84.8124818,0,3.922,2023-04-27 14:32:18,,22.5,75.5,22.5,77.5,19.0,,,,,,,2023,4,27,14,2.56,149.0
0,3,192.95,3.143,3,50.5137174,-84.8124452,0,3.143,2023-04-27 14:32:19,,23.5,77.5,22.5,77.0,19.0,,,,,,,2023,4,27,14,2.56,149.0
0,3,194.96,2.293,3,50.5137265,-84.8124224,0,2.293,2023-04-27 14:32:20,,24.5,79.0,22.5,76.5,19.0,,,,,,,2023,4,27,14,2.56,149.0
0,3,196.13,1.449,3,50.5137334,-84.8124086,0,1.449,2023-04-27 14:32:21,,25.5,80.5,22.0,76.0,19.0,,,,,,,2023,4,27,14,2.56,149.0
0,3,196.57,0.557,3,50.513738,-84.8123995,0,0.557,2023-04-27 14:32:22,,26.5,82.5,22.0,75.5,19.0,,,,,,,2023,4,27,14,2.56,149.0
0,3,197.7,2.708,3,50.5137701,-84.8122786,0,2.708,2023-04-27 14:32:31,,34.5,97.5,20.5,71.0,19.0,,3.3999999999999773,0.0,0.0,3.3999999999999773,0.0,2023,4,27,14,2.56,149.0
7,3,200.34,3.06,3,50.5137819,-84.8122418,1,3.06,2023-04-27 14:32:32,,35.5,99.5,20.0,70.5,19.0,,3.1999999999999886,0.0,0.0,3.1999999999999886,0.0,2023,4,27,14,2.56,149.0
27,3,205.39,3.799,3,50.5138077,-84.8121784,62,3.799,2023-04-27 14:32:33,,33.5,98.5,26.5,83.5,19.0,60.0,3.1999999999999886,0.0,0.0,3.1999999999999886,0.0,2023,4,27,14,2.56,149.0
53,3,209.92,4.278,3,50.5138333,-84.8121224,92,4.278,2023-04-27 14:32:34,,30.0,97.0,35.0,99.5,19.0,58.0,3.1999999999999886,0.0,0.0,3.1999999999999886,0.0,2023,4,27,14,2.56,149.0
60,3,214.76,4.719,3,50.5138605,-84.8120636,121,4.719,2023-04-27 14:32:35,,31.0,98.0,35.5,98.5,19.0,56.0,3.1999999999999886,0.0,0.0,3.1999999999999886,0.0,2023,4,27,14,2.56,149.0
69,3,220.07,5.132,3,50.5138903,-84.8119992,229,5.132,2023-04-27 14:32:36,,31.5,99.0,36.5,98.0,19.0,53.0,3.1999999999999886,0.0,0.0,3.1999999999999886,0.0,2023,4,27,14,2.56,149.0
76,4,225.52,5.351,3,50.5139109,-84.8119263,229,5.351,2023-04-27 14:32:37,,27.5,92.0,29.5,94.5,19.0,54.0,3.0,0.0,0.0,3.0,0.0,2023,4,27,14,2.56,149.0
81,4,231.21,5.587,3,50.5139315,-84.8118485,195,5.587,2023-04-27 14:32:38,,23.5,84.0,24.0,89.0,18.0,55.0,3.0,0.0,0.0,3.0,0.0,2023,4,27,14,2.56,149.0
83,4,237.2,5.861,4,50.5139243,-84.8117802,181,5.861,2023-04-27 14:32:39,,21.0,77.5,22.5,85.0,18.0,51.0,2.8000000000000114,0.0,0.0,2.8000000000000114,0.0,2023,4,27,14,2.56,149.0
85,4,243.46,5.995,5,50.5139154,-84.8117033,171,5.995,2023-04-27 14:32:40,,20.5,73.0,22.5,85.0,18.0,47.0,2.8000000000000114,0.0,0.0,2.8000000000000114,0.0,2023,4,27,14,2.56,149.0
83,4,250.39,6.097,5,50.5139539,-84.8116171,184,6.097,2023-04-27 14:32:41,,21.5,75.5,23.0,87.0,18.0,49.0,2.8000000000000114,0.0,0.0,2.8000000000000114,0.0,2023,4,27,14,2.56,149.0
79,4,257.39,6.441,4,50.5140017,-84.8115397,194,6.441,2023-04-27 14:32:42,,22.5,78.0,24.0,88.5,18.0,51.0,2.8000000000000114,0.0,0.0,2.8000000000000114,0.0,2023,4,27,14,2.56,149.0
80,5,264.29,6.951,4,50.5140468,-84.8114586,218,6.951,2023-04-27 14:32:43,,23.0,80.5,24.5,90.5,18.0,53.0,2.8000000000000114,0.0,0.0,2.8000000000000114,0.0,2023,4,27,14,2.56,149.0
83,5,271.47,7.114,4,50.5140881,-84.8113715,235,7.114,2023-04-27 14:32:44,,24.0,83.0,25.0,91.5,18.0,54.0,2.8000000000000114,0.0,0.0,2.8000000000000114,0.0,2023,4,27,14,2.56,149.0
85,5,278.73,7.163,4,50.5141295,-84.8112842,214,7.163,2023-04-27 14:32:45,,23.5,81.5,23.5,87.5,18.0,56.0,2.8000000000000114,0.0,0.0,2.8000000000000114,0.0,2023,4,27,14,2.56,149.0
87,5,285.97,7.261,3,50.51417,-84.8111942,205,7.261,2023-04-27 14:32:46,,23.5,81.5,23.0,84.5,18.0,55.0,2.8000000000000114,0.0,0.0,2.8000000000000114,0.0,2023,4,27,14,2.56,149.0
87,5,293.23,7.277,3,50.5142086,-84.8111033,178,7.277,2023-04-27 14:32:47,,21.5,75.5,22.5,82.0,18.0,56.0,2.8000000000000114,0.0,0.0,2.8000000000000114,0.0,2023,4,27,14,2.56,149.0
87,6,300.59,7.294,3,50.5142499,-84.8110115,166,7.294,2023-04-27 14:32:48,,20.0,70.5,21.0,77.5,18.0,57.0,2.8000000000000114,0.0,0.0,2.8000000000000114,0.0,2023,4,27,14,2.56,149.0
85,6,307.95,7.333,3,50.5142932,-84.8109203,166,7.333,2023-04-27 14:32:49,,21.5,76.5,18.0,70.0,18.0,57.0,2.8000000000000114,0.0,0.0,2.8000000000000114,0.0,2023,4,27,14,2.56,149.0
85,6,315.25,7.356,3,50.5143359,-84.8108351,175,7.356,2023-04-27 14:32:50,,23.0,83.5,21.0,86.0,18.0,60.0,2.8000000000000114,0.0,0.0,2.8000000000000114,0.0,2023,4,27,14,2.56,149.0
85,6,322.64,7.405,3,50.5143766,-84.8107448,188,7.405,2023-04-27 14:32:51,,24.0,86.0,19.5,79.0,18.0,63.0,2.8000000000000114,0.0,0.0,2.8000000000000114,0.0,2023,4,27,14,2.56,149.0
86,6,330.17,7.45,3,50.5144181,-84.8106479,185,7.45,2023-04-27 14:32:52,,27.5,90.5,19.0,72.5,18.0,67.0,2.8000000000000114,0.0,0.0,2.8000000000000114,0.0,2023,4,27,14,2.56,149.0
86,7,337.6,7.423,3,50.514459,-84.8105569,189,7.423,2023-04-27 14:32:53,,29.0,92.5,20.0,72.5,18.0,63.0,2.6000000000000227,0.0,0.0,2.6000000000000227,0.0,2023,4,27,14,2.56,149.0
86,7,344.97,7.435,3,50.5144994,-84.8104672,193,7.435,2023-04-27 14:32:54,,24.5,87.0,21.0,78.0,18.0,57.0,2.6000000000000227,0.0,0.0,2.6000000000000227,0.0,2023,4,27,14,2.56,149.0
88,7,352.47,7.573,3,50.5145418,-84.8103734,205,7.573,2023-04-27 14:32:55,,28.5,93.0,21.0,78.0,18.0,55.0,2.6000000000000227,0.0,0.0,2.6000000000000227,0.0,2023,4,27,14,2.56,149.0
89,7,360.32,7.717,3,50.5145883,-84.8102755,218,7.717,2023-04-27 14:32:56,,28.0,92.5,22.0,81.5,18.0,55.0,2.6000000000000227,0.0,0.0,2.6000000000000227,0.0,2023,4,27,14,2.56,149.0
89,7,368.19,7.717,3,50.5146366,-84.8101836,214,7.717,2023-04-27 14:32:57,,27.0,90.5,23.5,86.0,18.0,56.0,2.6000000000000227,0.0,0.0,2.6000000000000227,0.0,2023,4,27,14,2.56,149.0
87,8,375.99,7.726,3,50.5146845,-84.8100923,190,7.726,2023-04-27 14:32:58,,26.0,89.0,23.5,86.5,18.0,56.0,2.6000000000000227,0.0,0.0,2.6000000000000227,0.0,2023,4,27,14,2.56,149.0
84,8,383.77,7.666,3,50.5147303,-84.8100007,168,7.666,2023-04-27 14:32:59,,26.0,87.0,20.5,79.0,18.0,57.0,2.6000000000000227,0.0,0.0,2.6000000000000227,0.0,2023,4,27,14,2.56,149.0
84,8,391.56,7.635,3,50.5147822,-84.8099104,166,7.635,2023-04-27 14:33:00,,26.0,85.0,17.5,71.0,18.0,60.0,2.6000000000000227,0.0,0.0,2.6000000000000227,0.0,2023,4,27,14,2.56,149.0
84,8,399.49,7.703,3,50.5148393,-84.8098236,168,7.703,2023-04-27 14:33:01,,26.0,90.0,20.5,81.0,18.0,56.0,2.6000000000000227,0.0,0.0,2.6000000000000227,0.0,2023,4,27,14,2.56,149.0
85,8,407.42,7.758,3,50.5148958,-84.8097377,192,7.758,2023-04-27 14:33:02,,24.0,86.0,22.5,90.5,18.0,55.0,2.6000000000000227,0.0,0.0,2.6000000000000227,0.0,2023,4,27,14,2.56,149.0
86,9,415.4,7.709,3,50.5149571,-84.8096559,196,7.709,2023-04-27 14:33:03,,22.0,78.0,22.5,92.0,18.0,54.0,2.8000000000000114,0.0,0.0,2.8000000000000114,0.0,2023,4,27,14,2.56,149.0
87,9,423.5,7.67,3,50.5150215,-84.8095777,185,7.67,2023-04-27 14:33:04,,21.5,76.0,21.5,84.5,18.0,55.0,2.8000000000000114,0.0,0.0,2.8000000000000114,0.0,2023,4,27,14,2.56,149.0
88,9,431.25,7.8,3,50.5150781,-84.8094962,172,7.8,2023-04-27 14:33:05,,21.5,74.0,20.5,76.5,18.0,59.0,2.8000000000000114,0.0,0.0,2.8000000000000114,0.0,2023,4,27,14,2.56,149.0
88,9,438.77,7.766,3,50.5151304,-84.8094143,165,7.766,2023-04-27 14:33:06,,21.0,69.0,18.5,69.5,18.0,63.0,2.8000000000000114,0.0,0.0,2.8000000000000114,0.0,2023,4,27,14,2.56,149.0
88,9,446.08,7.633,3,50.5151828,-84.8093323,161,7.633,2023-04-27 14:33:07,,20.5,68.0,16.5,61.5,18.0,63.0,2.8000000000000114,0.0,0.0,2.8000000000000114,0.0,2023,4,27,14,2.56,149.0
88,9,453.37,7.66,3,50.5152346,-84.8092511,160,7.66,2023-04-27 14:33:08,,20.0,70.5,15.5,59.0,18.0,61.0,2.8000000000000114,0.0,0.0,2.8000000000000114,0.0,2023,4,27,14,2.56,149.0
90,9,461.22,7.822,3,50.5152915,-84.8091691,165,7.822,2023-04-27 14:33:09,,20.5,75.0,17.5,66.5,18.0,59.0,2.6000000000000227,0.0,0.0,2.6000000000000227,0.0,2023,4,27,14,2.56,149.0
90,10,469.56,8.142,3,50.5153559,-84.8090862,172,8.142,2023-04-27 14:33:10,,22.5,79.5,20.0,71.5,18.0,58.0,2.8000000000000114,0.0,0.0,2.8000000000000114,0.0,2023,4,27,14,2.56,149.0
89,10,478.06,8.377,3,50.5154241,-84.8090045,177,8.377,2023-04-27 14:33:11,,23.5,81.5,19.0,69.0,18.0,57.0,2.8000000000000114,0.0,0.0,2.8000000000000114,0.0,2023,4,27,14,2.56,149.0
89,10,486.46,8.288,3,50.5154898,-84.8089229,181,8.288,2023-04-27 14:33:12,,23.0,81.0,18.5,67.5,18.0,58.0,2.6000000000000227,0.0,0.0,2.6000000000000227,0.0,2023,4,27,14,2.56,149.0
89,10,494.7,8.041,3,50.515554,-84.8088403,166,8.041,2023-04-27 14:33:13,,22.0,78.5,18.5,67.5,18.0,58.0,2.8000000000000114,0.0,0.0,2.8000000000000114,0.0,2023,4,27,14,2.56,149.0
89,10,502.87,7.956,3,50.5156178,-84.8087584,159,7.956,2023-04-27 14:33:14,,21.0,76.0,18.5,67.0,18.0,58.0,2.8000000000000114,0.0,0.0,2.8000000000000114,0.0,2023,4,27,14,2.56,149.0
89,10,511.07,8.018,3,50.5156811,-84.8086769,158,8.018,2023-04-27 14:33:15,,20.0,73.5,18.5,67.0,18.0,58.0,2.8000000000000114,0.0,0.0,2.8000000000000114,0.0,2023,4,27,14,2.56,149.0
89,11,519.3,8.041,3,50.5157461,-84.8085962,156,8.041,2023-04-27 14:33:16,,19.5,71.0,18.5,67.0,18.0,57.0,2.8000000000000114,0.0,0.0,2.8000000000000114,0.0,2023,4,27,14,2.56,149.0
80,11,527.58,7.824,3,50.5158144,-84.8085186,144,7.824,2023-04-27 14:33:17,,19.5,70.5,18.5,65.5,18.0,58.0,2.8000000000000114,0.0,0.0,2.8000000000000114,0.0,2023,4,27,14,2.56,149.0
57,11,535.3,7.561,3,50.5158763,-84.8084411,122,7.561,2023-04-27 14:33:18,,19.5,68.5,17.0,63.5,18.0,68.0,2.8000000000000114,0.0,0.0,2.8000000000000114,0.0,2023,4,27,14,2.56,149.0
35,11,542.53,7.307,3,50.5159306,-84.8083683,100,7.307,2023-04-27 14:33:19,,16.5,61.0,12.0,63.0,18.0,83.0,2.8000000000000114,0.0,0.0,2.8000000000000114,0.0,2023,4,27,14,2.56,149.0
37,11,549.6,6.972,3,50.5159859,-84.8083039,78,6.972,2023-04-27 14:33:20,,14.0,53.5,7.5,63.0,18.0,98.0,2.8000000000000114,0.0,0.0,2.8000000000000114,0.0,2023,4,27,14,2.56,149.0
44,11,556.08,6.742,3,50.516036,-84.8082357,28,6.742,2023-04-27 14:33:21,,11.0,46.0,3.0,62.5,18.0,100.0,2.8000000000000114,0.0,0.0,2.8000000000000114,0.0,2023,4,27,14,2.56,149.0
35,11,562.48,6.666,3,50.5160837,-84.8081675,23,6.666,2023-04-27 14:33:22,,10.0,43.0,0.5,62.0,18.0,98.0,2.8000000000000114,0.0,0.0,2.8000000000000114,0.0,2023,4,27,14,2.56,149.0
25,11,569.05,6.759,3,50.516134,-84.8081033,18,6.759,2023-04-27 14:33:23,,11.5,46.5,2.5,62.0,18.0,94.0,2.8000000000000114,0.0,0.0,2.8000000000000114,0.0,2023,4,27,14,2.56,149.0
16,11,575.39,6.568,3,50.5161815,-84.8080356,13,6.568,2023-04-27 14:33:24,,12.5,50.5,4.0,61.5,18.0,91.0,2.8000000000000114,0.0,0.0,2.8000000000000114,0.0,2023,4,27,14,2.56,149.0
6,11,581.56,6.204,3,50.516227,-84.8079673,8,6.204,2023-04-27 14:33:25,,14.0,54.0,6.0,61.5,18.0,87.0,3.0,0.0,0.0,3.0,0.0,2023,4,27,14,2.56,149.0
0,11,587.49,6.061,3,50.5162729,-84.8079076,0,6.061,2023-04-27 14:33:26,,15.0,58.0,7.5,61.0,18.0,84.0,3.0,0.0,0.0,3.0,0.0,2023,4,27,14,2.56,149.0
0,11,593.13,5.889,3,50.5163178,-84.8078537,0,5.889,2023-04-27 14:33:27,,16.5,61.5,9.5,60.5,18.0,80.0,3.0,0.0,0.0,3.0,0.0,2023,4,27,14,2.56,149.0
0,11,598.8,5.747,3,50.5163582,-84.8077958,0,5.747,2023-04-27 14:33:28,,17.5,65.5,11.0,60.5,18.0,77.0,3.0,0.0,0.0,3.0,0.0,2023,4,27,14,2.56,149.0
0,11,604.61,5.582,3,50.5163951,-84.8077313,0,5.582,2023-04-27 14:33:29,,19.0,69.0,13.0,60.0,18.0,74.0,3.1999999999999886,0.0,0.0,3.1999999999999886,0.0,2023,4,27,14,2.56,149.0
0,11,610.16,5.4,3,50.516432,-84.8076666,0,5.4,2023-04-27 14:33:30,,20.5,73.0,14.5,60.0,18.0,70.0,3.1999999999999886,0.0,0.0,3.1999999999999886,0.0,2023,4,27,14,2.56,149.0
0,11,615.61,5.428,3,50.5164728,-84.8076076,0,5.428,2023-04-27 14:33:31,,21.5,76.5,16.5,59.5,18.0,67.0,3.1999999999999886,0.0,0.0,3.1999999999999886,0.0,2023,4,27,14,2.56,149.0
41,11,621.46,5.631,3,50.5165227,-84.8075576,20,5.631,2023-04-27 14:33:32,,23.0,80.5,18.0,59.5,17.0,63.0,3.1999999999999886,0.0,0.0,3.1999999999999886,0.0,2023,4,27,14,2.56,149.0
61,11,627.26,5.417,3,50.5165774,-84.8075209,72,5.417,2023-04-27 14:33:33,,23.5,82.0,19.5,60.5,17.0,58.0,3.1999999999999886,0.0,0.0,3.1999999999999886,0.0,2023,4,27,14,2.56,149.0
47,11,632.55,4.593,3,50.516632,-84.8074981,80,4.593,2023-04-27 14:33:34,,20.0,72.5,21.5,71.5,17.0,49.0,3.3999999999999773,0.0,0.0,3.3999999999999773,0.0,2023,4,27,14,2.56,149.0
30,11,637.07,3.582,3,50.51668,-84.8074889,81,3.582,2023-04-27 14:33:35,,16.5,62.5,23.0,82.5,17.0,41.0,3.6000000000000227,0.0,0.0,3.6000000000000227,0.0,2023,4,27,14,2.56,149.0
14,11,640.46,2.705,3,50.5167142,-84.8074978,81,2.705,2023-04-27 14:33:36,,,,,,17.0,,3.6000000000000227,0.0,0.0,3.6000000000000227,0.0,2023,4,27,14,2.56,149.0
0,11,643.22,2.125,3,50.5167391,-84.8075204,0,2.125,2023-04-27 14:33:37,,,,,,17.0,,3.8000000000000114,0.0,0.0,3.8000000000000114,0.0,2023,4,27,14,2.56,149.0
0,11,645.6,1.767,3,50.5167574,-84.8075476,0,1.767,2023-04-27 14:33:38,,,,,,17.0,,3.8000000000000114,0.0,0.0,3.8000000000000114,0.0,2023,4,27,14,2.56,149.0
0,11,647.66,1.488,3,50.5167712,-84.8075706,0,1.488,2023-04-27 14:33:39,,,,,,17.0,,3.8000000000000114,0.0,0.0,3.8000000000000114,0.0,2023,4,27,14,2.56,149.0
0,11,649.44,1.211,3,50.5167826,-84.807589,0,1.211,2023-04-27 14:33:40,,,,,,17.0,,3.8000000000000114,0.0,0.0,3.8000000000000114,0.0,2023,4,27,14,2.56,149.0
0,11,651.04,1.186,3,50.5167917,-84.8076117,0,1.186,2023-04-27 14:33:41,,,,,,17.0,,4.0,0.0,0.0,4.0,0.0,2023,4,27,14,2.56,149.0
0,11,652.58,1.39,3,50.5168008,-84.8076299,0,1.39,2023-04-27 14:33:42,,,,,,17.0,,4.0,0.0,0.0,4.0,0.0,2023,4,27,14,2.56,149.0
0,11,653.31,0.753,3,50.5168099,-84.8076435,0,0.753,2023-04-27 14:33:43,,,,,,17.0,,4.0,0.0,0.0,4.0,0.0,2023,4,27,14,2.56,149.0
0,11,654.55,2.362,1,50.5168728,-84.8077237,0,2.362,2023-04-27 14:33:54,,,,,,17.0,,3.8000000000000114,0.0,0.0,3.8000000000000114,0.0,2023,4,27,14,2.56,149.0
0,11,657.51,2.836,1,50.5168945,-84.8077594,0,2.836,2023-04-27 14:33:55,,,,,,17.0,,3.8000000000000114,0.0,0.0,3.8000000000000114,0.0,2023,4,27,14,2.56,149.0
0,11,661.27,3.454,1,50.5169228,-84.8077971,0,3.454,2023-04-27 14:33:56,,,,,,17.0,,3.8000000000000114,0.0,0.0,3.8000000000000114,0.0,2023,4,27,14,2.56,149.0
29,11,665.44,4.033,1,50.5169517,-84.8078411,10,4.033,2023-04-27 14:33:57,,,,,,17.0,,3.8000000000000114,0.0,0.0,3.8000000000000114,0.0,2023,4,27,14,2.56,149.0
44,11,670.08,4.418,1,50.5169839,-84.8078921,61,4.418,2023-04-27 14:33:58,,,,,,17.0,,3.8000000000000114,0.0,0.0,3.8000000000000114,0.0,2023,4,27,14,2.56,149.0
56,12,675.08,4.814,1,50.5170186,-84.8079429,166,4.814,2023-04-27 14:33:59,,27.0,87.5,0.0,0.0,17.0,42.0,3.8000000000000114,0.0,0.0,3.8000000000000114,0.0,2023,4,27,14,2.56,149.0
61,12,680.55,5.282,2,50.5170597,-84.8080024,190,5.282,2023-04-27 14:34:00,,29.0,90.5,7.5,24.0,17.0,62.0,3.8000000000000114,0.0,0.0,3.8000000000000114,0.0,2023,4,27,14,2.56,149.0
66,12,686.4,5.735,2,50.5171049,-84.8080657,229,5.735,2023-04-27 14:34:01,,30.5,93.5,15.0,47.5,17.0,64.0,3.6000000000000227,0.0,0.0,3.6000000000000227,0.0,2023,4,27,14,2.56,149.0
72,12,692.76,6.202,2,50.5171507,-84.8081342,283,6.202,2023-04-27 14:34:02,,32.5,96.5,23.0,71.5,17.0,58.0,3.6000000000000227,0.0,0.0,3.6000000000000227,0.0,2023,4,27,14,2.56,149.0
77,13,699.61,6.629,2,50.517199,-84.8082078,325,6.629,2023-04-27 14:34:03,,34.5,100.0,30.5,95.0,17.0,52.0,3.6000000000000227,0.0,0.0,3.6000000000000227,0.0,2023,4,27,14,2.56,149.0
83,13,706.79,7.055,2,50.5172537,-84.8082807,353,7.055,2023-04-27 14:34:04,,31.0,99.5,30.5,98.5,17.0,55.0,3.6000000000000227,0.0,0.0,3.6000000000000227,0.0,2023,4,27,14,2.56,149.0
87,13,714.31,7.41,2,50.517313,-84.8083538,339,7.41,2023-04-27 14:34:05,,28.0,97.5,28.5,98.5,17.0,56.0,3.3999999999999773,0.0,0.0,3.3999999999999773,0.0,2023,4,27,14,2.56,149.0
90,14,721.8,7.545,2,50.517371,-84.8084251,323,7.545,2023-04-27 14:34:06,,25.5,94.5,26.5,96.0,17.0,59.0,3.3999999999999773,0.0,0.0,3.3999999999999773,0.0,2023,4,27,14,2.56,149.0
88,14,729.9,7.86,2,50.5174419,-84.8084925,291,7.86,2023-04-27 14:34:07,,24.0,90.0,25.0,90.0,17.0,61.0,3.1999999999999886,0.0,0.0,3.1999999999999886,0.0,2023,4,27,14,2.56,149.0
88,14,738.58,8.181,2,50.5175238,-84.8085577,262,8.181,2023-04-27 14:34:08,,22.0,85.5,23.5,84.5,17.0,62.0,3.0,0.0,0.0,3.0,0.0,2023,4,27,14,2.56,149.0
89,14,746.73,8.347,2,50.5175994,-84.8086174,225,8.347,2023-04-27 14:34:09,,22.5,82.0,21.0,79.0,17.0,60.0,2.8000000000000114,0.0,0.0,2.8000000000000114,0.0,2023,4,27,14,2.56,149.0
90,15,754.9,8.582,2,50.5176785,-84.8086672,190,8.582,2023-04-27 14:34:10,,22.5,77.0,19.5,71.0,17.0,59.0,2.8000000000000114,0.0,0.0,2.8000000000000114,0.0,2023,4,27,14,2.56,149.0
91,15,763.32,8.542,2,50.5177628,-84.8087128,210,8.542,2023-04-27 14:34:11,,22.5,74.5,19.5,67.5,17.0,59.0,2.8000000000000114,0.0,0.0,2.8000000000000114,0.0,2023,4,27,14,2.56,149.0
91,15,771.87,8.514,2,50.5178476,-84.8087586,220,8.514,2023-04-27 14:34:12,,23.0,77.0,20.0,71.5,17.0,61.0,2.8000000000000114,0.0,0.0,2.8000000000000114,0.0,2023,4,27,14,2.56,149.0
89,15,780.31,8.53,2,50.5179316,-84.8087995,225,8.53,2023-04-27 14:34:13,,24.0,79.5,21.0,75.5,17.0,60.0,2.8000000000000114,0.0,0.0,2.8000000000000114,0.0,2023,4,27,14,2.56,149.0
