cadence,calories,distance,enhanced_speed,gps_accuracy,position_lat,position_long,power,speed,timestamp,battery_soc,heart_rate,left_pedal_smoothness,left_right_balance,left_torque_effectiveness,right_pedal_smoothness,right_torque_effectiveness,temperature,altitude,enhanced_altitude,ascent,descent,grade,year,month,day,hour,wind_speed,wind_direction
42.0,2,111.75,3.208,3,39.0474766,-139.840598,59.0,3.208,2022-07-11 00:42:24,,103.0,21.0,52.0,74.5,19.5,80.0,27.0,20.799999999999955,20.799999999999955,0.0,0.0,0.82,2022,7,11,0,2.75,80.0
39.0,2,114.44,2.777,3,39.0474956,-139.8406165,75.0,2.777,2022-07-11 00:42:25,,104.0,22.0,53.0,76.5,19.0,80.0,27.0,21.0,21.0,0.0,0.0,1.68,2022,7,11,0,2.75,80.0
41.0,2,117.14,3.101,3,39.0474956,-139.8406534,107.0,3.101,2022-07-11 00:42:26,,104.0,22.5,54.0,78.5,18.5,80.0,27.0,21.200000000000045,21.200000000000045,1.0,0.0,2.45,2022,7,11,0,2.75,80.0
51.0,2,120.67,3.72,3,39.0474819,-139.8406989,119.0,3.72,2022-07-11 00:42:27,,104.0,24.5,52.0,85.0,19.0,80.0,27.0,21.0,21.0,1.0,0.0,3.2,2022,7,11,0,2.75,80.0
64.0,2,124.57,4.203,3,39.0474688,-139.8407425,225.0,4.203,2022-07-11 00:42:28,,104.0,28.0,50.0,99.0,19.5,80.0,27.0,21.0,21.0,1.0,0.0,3.54,2022,7,11,0,2.75,80.0
74.0,2,129.37,4.798,3,39.0474547,-139.8407987,304.0,4.798,2022-07-11 00:42:29,,106.0,27.5,47.0,95.0,22.0,83.5,27.0,20.799999999999955,20.799999999999955,1.0,0.0,3.35,2022,7,11,0,2.75,80.0
83.0,3,134.48,5.133,3,39.0474456,-139.8408623,365.0,5.133,2022-07-11 00:42:30,,105.0,26.5,45.0,91.5,24.5,87.0,27.0,20.600000000000023,20.600000000000023,1.0,0.0,2.48,2022,7,11,0,2.75,80.0
91.0,3,139.81,5.293,3,39.0474367,-139.8409342,387.0,5.293,2022-07-11 00:42:31,,104.0,26.0,42.0,87.5,27.0,90.5,27.0,20.600000000000023,20.600000000000023,1.0,0.0,1.14,2022,7,11,0,2.75,80.0
95.0,4,145.27,5.478,3,39.0474229,-139.8409988,324.0,5.478,2022-07-11 00:42:32,,105.0,26.0,42.0,86.0,27.5,89.5,27.0,20.600000000000023,20.600000000000023,1.0,1.0,-0.07,2022,7,11,0,2.75,80.0
97.0,4,150.78,5.451,3,39.0474138,-139.8410712,293.0,5.451,2022-07-11 00:42:33,,105.0,27.0,43.0,88.0,25.0,82.5,27.0,20.799999999999955,20.799999999999955,1.0,1.0,-0.18,2022,7,11,0,2.75,80.0
96.0,4,156.11,5.346,3,39.0474046,-139.8411362,336.0,5.346,2022-07-11 00:42:34,,104.0,25.5,44.0,90.0,27.0,94.0,27.0,20.799999999999955,20.799999999999955,1.0,1.0,0.0,2022,7,11,0,2.75,80.0
95.0,5,161.47,5.343,3,39.0473958,-139.8412065,367.0,5.343,2022-07-11 00:42:35,,103.0,26.0,46.0,91.5,28.5,96.0,27.0,21.0,21.0,1.0,1.0,0.0,2022,7,11,0,2.75,80.0
94.0,5,166.82,5.319,3,39.0473865,-139.8412718,381.0,5.319,2022-07-11 00:42:36,,102.0,27.0,47.0,93.0,29.5,97.0,27.0,21.399999999999977,21.399999999999977,1.0,1.0,0.0,2022,7,11,0,2.75,80.0
94.0,5,172.12,5.353,3,39.0473728,-139.8413358,386.0,5.353,2022-07-11 00:42:37,,101.0,27.5,48.0,94.5,31.0,97.5,27.0,21.600000000000023,21.600000000000023,1.0,1.0,0.62,2022,7,11,0,2.75,80.0
93.0,6,177.53,5.183,3,39.0473592,-139.8414084,383.0,5.183,2022-07-11 00:42:38,,101.0,28.5,47.0,96.0,32.5,98.5,27.0,21.799999999999955,21.799999999999955,2.0,1.0,1.54,2022,7,11,0,2.75,80.0
91.0,6,182.65,5.175,3,39.0473501,-139.8414726,368.0,5.175,2022-07-11 00:42:39,,101.0,30.0,47.0,96.5,31.5,96.0,27.0,22.0,22.0,2.0,1.0,2.29,2022,7,11,0,2.75,80.0
91.0,6,186.52,5.154,7,39.0473635,-139.841517,358.0,5.154,2022-07-11 00:42:40,,101.0,29.5,47.0,96.5,31.0,94.5,27.0,22.399999999999977,22.399999999999977,2.0,1.0,2.96,2022,7,11,0,2.75,80.0
90.0,7,192.64,5.189,6,39.0473546,-139.8415907,364.0,5.189,2022-07-11 00:42:41,,102.0,28.0,47.0,96.5,31.0,94.5,27.0,22.600000000000023,22.600000000000023,3.0,1.0,3.52,2022,7,11,0,2.75,80.0
90.0,7,198.16,5.097,5,39.0473455,-139.8416632,372.0,5.097,2022-07-11 00:42:42,,103.0,28.0,47.0,97.0,30.5,96.5,27.0,22.799999999999955,22.799999999999955,3.0,1.0,4.02,2022,7,11,0,2.75,80.0
90.0,8,203.04,5.207,5,39.0473364,-139.841727,373.0,5.207,2022-07-11 00:42:43,,102.0,28.0,47.0,96.0,30.5,96.5,27.0,23.399999999999977,23.399999999999977,3.0,1.0,4.6,2022,7,11,0,2.75,80.0
89.0,8,208.09,4.879,5,39.0473182,-139.8417817,370.0,4.879,2022-07-11 00:42:44,,100.0,28.5,50.0,95.5,30.0,96.0,27.0,23.799999999999955,23.799999999999955,3.0,1.0,5.17,2022,7,11,0,2.75,80.0
88.0,8,212.84,4.893,5,39.0473,-139.8418362,360.0,4.893,2022-07-11 00:42:45,,101.0,28.5,49.0,95.0,30.5,96.0,27.0,24.0,24.0,4.0,1.0,5.54,2022,7,11,0,2.75,80.0
87.0,9,217.53,4.898,4,39.0472818,-139.8419,346.0,4.898,2022-07-11 00:42:46,,101.0,28.0,49.0,95.5,31.0,96.5,27.0,24.200000000000045,24.200000000000045,4.0,1.0,5.64,2022,7,11,0,2.75,80.0
87.0,9,222.46,4.905,4,39.0472684,-139.8419537,341.0,4.905,2022-07-11 00:42:47,,102.0,28.0,48.0,95.0,31.5,96.5,27.0,24.600000000000023,24.600000000000023,5.0,1.0,5.55,2022,7,11,0,2.75,80.0
87.0,9,227.68,4.93,4,39.047259,-139.8420186,336.0,4.93,2022-07-11 00:42:48,,102.0,25.5,47.0,89.5,30.0,92.5,27.0,24.799999999999955,24.799999999999955,5.0,1.0,5.42,2022,7,11,0,2.75,80.0
87.0,10,232.91,5.126,4,39.0472455,-139.8420907,340.0,5.126,2022-07-11 00:42:49,,102.0,23.5,51.0,84.0,28.5,88.5,27.0,25.0,25.0,5.0,1.0,5.18,2022,7,11,0,2.75,80.0
89.0,10,238.46,5.011,4,39.0472317,-139.842155,332.0,5.011,2022-07-11 00:42:50,,101.0,21.5,55.0,78.5,27.0,85.0,27.0,25.200000000000045,25.200000000000045,5.0,1.0,4.88,2022,7,11,0,2.75,80.0
90.0,10,243.67,5.239,4,39.0472142,-139.8422162,301.0,5.239,2022-07-11 00:42:51,,100.0,19.5,58.0,73.0,25.5,81.0,27.0,25.399999999999977,25.399999999999977,6.0,1.0,4.57,2022,7,11,0,2.75,80.0
89.0,10,249.42,5.454,4,39.0471999,-139.842291,277.0,5.454,2022-07-11 00:42:52,,101.0,17.5,62.0,67.5,24.5,77.5,27.0,25.600000000000023,25.600000000000023,6.0,1.0,4.22,2022,7,11,0,2.75,80.0
88.0,11,255.23,5.594,4,39.0471862,-139.8423644,253.0,5.594,2022-07-11 00:42:53,,101.0,17.0,64.0,64.5,25.0,78.0,27.0,25.600000000000023,25.600000000000023,6.0,1.0,3.94,2022,7,11,0,2.75,80.0
85.0,11,261.3,5.922,4,39.0471726,-139.8424371,179.0,5.922,2022-07-11 00:42:54,,101.0,16.5,60.0,61.5,25.0,79.0,27.0,25.600000000000023,25.600000000000023,6.0,1.0,3.65,2022,7,11,0,2.75,80.0
69.0,11,267.35,6.105,4,39.0471544,-139.8425097,174.0,6.105,2022-07-11 00:42:55,,101.0,16.5,56.0,58.0,25.5,79.5,27.0,25.600000000000023,25.600000000000023,6.0,1.0,3.16,2022,7,11,0,2.75,80.0
52.0,11,273.63,6.522,4,39.0471409,-139.8425907,168.0,6.522,2022-07-11 00:42:56,,100.0,16.0,52.0,56.0,25.5,80.0,27.0,25.399999999999977,25.399999999999977,6.0,1.0,1.15,2022,7,11,0,2.75,80.0
35.0,11,280.56,7.06,3,39.047127,-139.8426741,163.0,7.06,2022-07-11 00:42:57,,100.0,17.0,48.0,58.0,23.5,81.5,27.0,25.399999999999977,25.399999999999977,6.0,1.0,0.0,2022,7,11,0,2.75,80.0
19.0,11,287.82,7.393,3,39.0471134,-139.8427647,157.0,7.393,2022-07-11 00:42:58,,99.0,17.5,49.0,60.0,22.0,82.5,27.0,25.200000000000045,25.200000000000045,6.0,1.0,0.0,2022,7,11,0,2.75,80.0
2.0,11,295.41,7.812,3,39.0470951,-139.8428656,0.0,7.812,2022-07-11 00:42:59,,100.0,18.0,49.0,62.0,20.5,84.0,27.0,24.600000000000023,24.600000000000023,6.0,1.0,0.0,2022,7,11,0,2.75,80.0
0.0,11,303.39,7.952,3,39.0470769,-139.8429565,0.0,7.952,2022-07-11 00:43:00,,100.0,19.0,50.0,64.0,19.0,85.0,27.0,24.200000000000045,24.200000000000045,6.0,1.0,-0.76,2022,7,11,0,2.75,80.0
0.0,11,311.05,7.845,3,39.0470634,-139.8430553,0.0,7.845,2022-07-11 00:43:01,,101.0,19.5,50.0,66.0,17.5,86.5,27.0,23.600000000000023,23.600000000000023,6.0,1.0,-1.79,2022,7,11,0,2.75,80.0
0.0,11,318.74,7.602,3,39.0470453,-139.843155,0.0,7.602,2022-07-11 00:43:02,,100.0,20.0,51.0,68.5,16.0,87.5,27.0,23.0,23.0,6.0,2.0,-2.69,2022,7,11,0,2.75,80.0
0.0,11,326.2,7.075,3,39.0470224,-139.8432381,0.0,7.075,2022-07-11 00:43:03,,102.0,21.0,52.0,70.5,14.5,88.5,27.0,22.399999999999977,22.399999999999977,6.0,2.0,-3.61,2022,7,11,0,2.75,80.0
0.0,11,332.92,6.473,3,39.0470043,-139.8433284,0.0,6.473,2022-07-11 00:43:04,,102.0,21.5,52.0,72.5,13.0,90.0,27.0,22.0,22.0,6.0,3.0,-4.5,2022,7,11,0,2.75,80.0
0.0,11,339.16,5.771,3,39.0469905,-139.8434019,0.0,5.771,2022-07-11 00:43:05,,102.0,22.0,53.0,74.5,11.0,91.0,27.0,21.399999999999977,21.399999999999977,6.0,3.0,-5.33,2022,7,11,0,2.75,80.0
0.0,11,344.79,5.741,3,39.0469905,-139.8434747,0.0,5.741,2022-07-11 00:43:06,,102.0,23.0,53.0,76.5,9.5,92.5,27.0,21.200000000000045,21.200000000000045,6.0,4.0,-6.04,2022,7,11,0,2.75,80.0
0.0,11,350.71,5.349,3,39.046995,-139.8435472,0.0,5.349,2022-07-11 00:43:07,,101.0,23.5,54.0,78.5,8.0,93.5,27.0,21.0,21.0,6.0,5.0,-6.47,2022,7,11,0,2.75,80.0
0.0,11,355.93,5.365,3,39.0469906,-139.8436187,0.0,5.365,2022-07-11 00:43:08,,101.0,24.0,55.0,81.0,6.5,95.0,27.0,20.799999999999955,20.799999999999955,6.0,5.0,-6.46,2022,7,11,0,2.75,80.0
0.0,11,361.56,5.698,3,39.0469906,-139.8436846,0.0,5.698,2022-07-11 00:43:09,,101.0,25.0,55.0,83.0,5.0,96.0,27.0,21.0,21.0,6.0,5.0,-5.99,2022,7,11,0,2.75,80.0
0.0,11,366.88,5.22,3,39.0470085,-139.8437562,0.0,5.22,2022-07-11 00:43:10,,101.0,25.5,56.0,85.0,3.5,97.5,27.0,21.0,21.0,6.0,5.0,-5.19,2022,7,11,0,2.75,80.0
52.0,11,372.18,5.208,3,39.047045,-139.8438024,45.0,5.208,2022-07-11 00:43:11,,101.0,26.0,56.0,87.0,2.0,98.5,27.0,21.0,21.0,6.0,5.0,-4.09,2022,7,11,0,2.75,80.0
75.0,11,377.25,5.352,3,39.0470919,-139.8438365,173.0,5.352,2022-07-11 00:43:12,,100.0,27.0,57.0,89.0,0.5,100.0,27.0,20.799999999999955,20.799999999999955,6.0,5.0,-2.89,2022,7,11,0,2.75,80.0
83.0,11,383.01,5.719,3,39.0471542,-139.8438479,266.0,5.719,2022-07-11 00:43:13,,100.0,23.5,55.0,81.5,17.0,90.0,27.0,20.799999999999955,20.799999999999955,6.0,5.0,-1.04,2022,7,11,0,2.75,80.0
84.0,12,389.3,5.811,3,39.0472225,-139.843848,297.0,5.811,2022-07-11 00:43:14,,100.0,22.5,43.0,78.0,25.0,87.5,27.0,20.799999999999955,20.799999999999955,6.0,5.0,0.0,2022,7,11,0,2.75,80.0
75.0,12,395.49,5.952,3,39.0472864,-139.8438388,291.0,5.952,2022-07-11 00:43:15,,99.0,19.0,18.0,81.5,25.5,87.0,27.0,20.799999999999955,20.799999999999955,6.0,5.0,0.0,2022,7,11,0,2.75,80.0
67.0,12,402.21,6.41,2,39.0473593,-139.8438206,284.0,6.41,2022-07-11 00:43:16,,100.0,10.0,2.0,90.5,24.5,81.5,27.0,20.799999999999955,20.799999999999955,6.0,5.0,0.0,2022,7,11,0,2.75,80.0
58.0,12,408.49,5.876,2,39.0474272,-139.8438116,225.0,5.876,2022-07-11 00:43:17,,101.0,1.0,6.0,99.0,23.0,76.0,27.0,20.799999999999955,20.799999999999955,6.0,5.0,0.0,2022,7,11,0,2.75,80.0
46.0,12,414.44,5.765,2,39.0474911,-139.8438116,205.0,5.765,2022-07-11 00:43:18,,101.0,6.5,10.0,96.5,22.5,76.0,27.0,20.799999999999955,20.799999999999955,6.0,5.0,0.0,2022,7,11,0,2.75,80.0
35.0,12,420.17,5.678,2,39.0475501,-139.8438025,186.0,5.678,2022-07-11 00:43:19,,100.0,13.5,15.0,93.0,21.5,77.0,27.0,20.799999999999955,20.799999999999955,6.0,5.0,0.0,2022,7,11,0,2.75,80.0
24.0,12,425.04,5.059,2,39.0476048,-139.8437934,166.0,5.059,2022-07-11 00:43:20,,99.0,20.5,19.0,89.0,21.0,78.0,27.0,20.799999999999955,20.799999999999955,6.0,5.0,0.0,2022,7,11,0,2.75,80.0
60.0,12,429.91,5.294,2,39.0476542,-139.8437844,86.0,5.294,2022-07-11 00:43:21,,99.0,23.0,23.0,75.0,21.0,78.0,27.0,20.799999999999955,20.799999999999955,6.0,5.0,0.0,2022,7,11,0,2.75,80.0
48.0,13,435.36,5.325,2,39.0477139,-139.8437752,90.0,5.325,2022-07-11 00:43:22,,100.0,2.0,34.0,7.0,23.5,75.0,27.0,21.0,21.0,6.0,5.0,0.0,2022,7,11,0,2.75,80.0
38.0,13,441.17,5.795,2,39.0477737,-139.843766,94.0,5.795,2022-07-11 00:43:23,,100.0,6.5,76.0,23.5,26.5,80.5,27.0,21.0,21.0,6.0,5.0,0.0,2022,7,11,0,2.75,80.0
63.0,13,447.3,6.378,2,39.0478419,-139.8437568,119.0,6.378,2022-07-11 00:43:24,,100.0,13.5,68.0,47.0,29.5,87.5,27.0,21.0,21.0,6.0,5.0,0.0,2022,7,11,0,2.75,80.0
90.0,13,453.4,5.825,2,39.0479055,-139.8437387,213.0,5.825,2022-07-11 00:43:25,,100.0,20.5,55.0,71.0,32.0,94.5,27.0,21.200000000000045,21.200000000000045,6.0,5.0,0.0,2022,7,11,0,2.75,80.0
94.0,14,459.4,6.145,3,39.0479645,-139.8437114,345.0,6.145,2022-07-11 00:43:26,,100.0,28.0,48.0,92.0,34.0,100.0,27.0,21.0,21.0,6.0,5.0,0.0,2022,7,11,0,2.75,80.0
93.0,14,465.84,6.847,3,39.0480189,-139.843666,400.0,6.847,2022-07-11 00:43:27,,98.0,36.5,49.0,99.5,32.5,99.5,27.0,21.0,21.0,6.0,5.0,0.0,2022,7,11,0,2.75,80.0
95.0,14,473.34,7.453,3,39.0480831,-139.843602,378.0,7.453,2022-07-11 00:43:28,,98.0,31.5,49.0,97.0,32.5,99.0,27.0,21.0,21.0,6.0,5.0,0.0,2022,7,11,0,2.75,80.0
86.0,15,480.46,7.0,3,39.0481469,-139.8435563,335.0,7.0,2022-07-11 00:43:29,,99.0,23.0,47.0,77.5,32.0,99.5,27.0,21.0,21.0,6.0,5.0,0.0,2022,7,11,0,2.75,80.0
60.0,15,487.08,6.612,3,39.0482054,-139.8435023,291.0,6.612,2022-07-11 00:43:30,,100.0,18.5,45.0,64.0,30.5,99.0,27.0,21.0,21.0,6.0,5.0,0.0,2022,7,11,0,2.75,80.0
34.0,15,493.88,6.134,3,39.0482694,-139.8434565,246.0,6.134,2022-07-11 00:43:31,,97.0,21.0,43.0,71.0,29.0,97.0,27.0,21.0,21.0,6.0,5.0,0.0,2022,7,11,0,2.75,80.0
9.0,15,499.95,5.413,2,39.0483243,-139.8434201,201.0,5.413,2022-07-11 00:43:32,,98.0,23.5,41.0,77.5,27.0,95.0,27.0,21.200000000000045,21.200000000000045,6.0,5.0,0.0,2022,7,11,0,2.75,80.0
0.0,15,505.58,5.239,2,39.0483829,-139.843402,0.0,5.239,2022-07-11 00:43:33,,98.0,26.0,39.0,84.0,25.0,93.0,27.0,21.200000000000045,21.200000000000045,6.0,5.0,0.0,2022,7,11,0,2.75,80.0
0.0,15,511.6,5.844,2,39.0484467,-139.8433838,0.0,5.844,2022-07-11 00:43:34,,99.0,29.0,63.0,91.0,23.0,91.0,27.0,21.399999999999977,21.399999999999977,6.0,5.0,0.0,2022,7,11,0,2.75,80.0
62.0,15,518.48,6.552,2,39.0485199,-139.8433838,113.0,6.552,2022-07-11 00:43:35,,101.0,31.5,84.0,97.5,21.0,89.0,27.0,21.600000000000023,21.600000000000023,6.0,5.0,0.0,2022,7,11,0,2.75,80.0
92.0,15,525.38,6.639,2,39.0485924,-139.8434019,210.0,6.639,2022-07-11 00:43:36,,100.0,29.5,53.0,93.0,22.5,90.0,27.0,21.600000000000023,21.600000000000023,6.0,5.0,0.0,2022,7,11,0,2.75,80.0
92.0,15,532.34,6.405,2,39.048665,-139.8434201,189.0,6.405,2022-07-11 00:43:37,,102.0,27.0,51.0,87.0,24.0,91.5,27.0,21.600000000000023,21.600000000000023,6.0,5.0,0.0,2022,7,11,0,2.75,80.0
92.0,15,539.1,6.388,2,39.0487415,-139.8434202,177.0,6.388,2022-07-11 00:43:38,,101.0,25.0,51.0,81.5,25.5,93.0,27.0,21.600000000000023,21.600000000000023,6.0,5.0,0.0,2022,7,11,0,2.75,80.0
94.0,16,546.14,6.682,2,39.0488159,-139.843411,219.0,6.682,2022-07-11 00:43:39,,100.0,23.0,51.0,76.0,27.5,94.0,27.0,21.799999999999955,21.799999999999955,6.0,5.0,0.0,2022,7,11,0,2.75,80.0
96.0,16,553.23,6.963,2,39.0488886,-139.8434019,212.0,6.963,2022-07-11 00:43:40,,99.0,20.5,51.0,70.5,29.0,95.5,27.0,21.799999999999955,21.799999999999955,6.0,5.0,0.0,2022,7,11,0,2.75,80.0
96.0,16,560.39,7.312,2,39.0489645,-139.843384,194.0,7.312,2022-07-11 00:43:41,,99.0,18.0,50.0,63.0,21.0,73.5,27.0,21.600000000000023,21.600000000000023,6.0,5.0,0.0,2022,7,11,0,2.75,80.0
93.0,16,567.96,7.295,2,39.0490428,-139.8433565,169.0,7.295,2022-07-11 00:43:42,,99.0,17.5,49.0,61.0,18.5,66.0,27.0,21.399999999999977,21.399999999999977,6.0,5.0,0.0,2022,7,11,0,2.75,80.0
93.0,16,574.91,6.496,2,39.0491158,-139.8433292,148.0,6.496,2022-07-11 00:43:43,,98.0,17.5,48.0,62.0,19.5,65.5,27.0,21.399999999999977,21.399999999999977,6.0,5.0,0.0,2022,7,11,0,2.75,80.0
72.0,16,581.18,5.865,2,39.0491791,-139.843302,133.0,5.865,2022-07-11 00:43:44,,96.0,18.0,49.0,63.5,20.5,65.5,27.0,21.399999999999977,21.399999999999977,6.0,5.0,0.0,2022,7,11,0,2.75,80.0
50.0,16,586.9,5.095,2,39.0492341,-139.8432746,115.0,5.095,2022-07-11 00:43:45,,97.0,19.5,54.0,70.0,20.5,65.5,27.0,21.399999999999977,21.399999999999977,6.0,5.0,0.0,2022,7,11,0,2.75,80.0
27.0,16,591.95,5.115,2,39.0492882,-139.8432565,97.0,5.115,2022-07-11 00:43:46,,97.0,20.5,58.0,76.0,20.5,65.5,27.0,21.399999999999977,21.399999999999977,6.0,5.0,0.0,2022,7,11,0,2.75,80.0
36.0,17,597.37,5.302,2,39.0493432,-139.8432291,100.0,5.302,2022-07-11 00:43:47,,98.0,22.0,63.0,82.0,20.5,65.5,27.0,21.399999999999977,21.399999999999977,6.0,5.0,0.0,2022,7,11,0,2.75,80.0
78.0,17,602.94,5.918,2,39.0493939,-139.8431922,140.0,5.918,2022-07-11 00:43:48,,99.0,22.5,56.0,85.0,22.0,71.0,27.0,21.600000000000023,21.600000000000023,6.0,5.0,0.0,2022,7,11,0,2.75,80.0
87.0,17,609.25,6.927,2,39.0494433,-139.8431383,207.0,6.927,2022-07-11 00:43:49,,97.0,22.0,48.0,83.0,25.5,83.5,27.0,21.600000000000023,21.600000000000023,6.0,5.0,0.0,2022,7,11,0,2.75,80.0
89.0,17,616.29,7.208,2,39.0495023,-139.8430838,322.0,7.208,2022-07-11 00:43:50,,97.0,22.0,44.0,81.5,29.0,96.5,27.0,21.399999999999977,21.399999999999977,6.0,5.0,0.0,2022,7,11,0,2.75,80.0
90.0,18,623.64,7.227,2,39.0495664,-139.8430197,303.0,7.227,2022-07-11 00:43:51,,96.0,21.0,39.0,76.5,27.5,91.0,27.0,21.200000000000045,21.200000000000045,6.0,5.0,0.0,2022,7,11,0,2.75,80.0
91.0,18,630.88,7.548,2,39.0496298,-139.8429653,284.0,7.548,2022-07-11 00:43:52,,97.0,20.0,43.0,71.5,26.0,84.0,27.0,21.399999999999977,21.399999999999977,6.0,5.0,0.0,2022,7,11,0,2.75,80.0
92.0,18,638.71,7.969,2,39.0496983,-139.8429105,269.0,7.969,2022-07-11 00:43:53,,97.0,19.5,48.0,69.0,22.5,77.5,27.0,21.399999999999977,21.399999999999977,6.0,5.0,0.0,2022,7,11,0,2.75,80.0
93.0,18,646.9,8.402,2,39.0497756,-139.8428651,217.0,8.402,2022-07-11 00:43:54,,96.0,21.0,51.0,76.0,13.5,71.5,27.0,21.600000000000023,21.600000000000023,6.0,5.0,0.0,2022,7,11,0,2.75,80.0
96.0,19,655.36,8.437,2,39.0498572,-139.8428197,250.0,8.437,2022-07-11 00:43:55,,95.0,25.0,54.0,91.0,22.0,77.5,26.0,21.399999999999977,21.399999999999977,6.0,5.0,0.0,2022,7,11,0,2.75,80.0
98.0,19,664.09,8.427,2,39.0499438,-139.8427832,274.0,8.427,2022-07-11 00:43:56,,95.0,25.0,44.0,90.0,24.5,78.0,26.0,21.399999999999977,21.399999999999977,6.0,5.0,0.0,2022,7,11,0,2.75,80.0
98.0,19,672.56,8.332,2,39.0500313,-139.8427464,272.0,8.332,2022-07-11 00:43:57,,97.0,23.0,43.0,82.5,24.0,76.5,26.0,21.0,21.0,6.0,5.0,0.0,2022,7,11,0,2.75,80.0
98.0,19,680.85,8.18,2,39.0501201,-139.8427198,251.0,8.18,2022-07-11 00:43:58,,97.0,21.0,47.0,75.0,23.0,74.5,26.0,20.600000000000023,20.600000000000023,6.0,5.0,0.0,2022,7,11,0,2.75,80.0
